Pathway,EPC1 TARGET GENES,SOX11 TARGET GENES,ZNF236 TARGET GENES,PPARGC1A TARGET GENES,HSF2 TARGET GENES,CASP8AP2 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ELF5 TARGET GENES,NR1H4 TARGET GENES,DLX2 TARGET GENES,SIX1 TARGET GENES,TAFAZZIN TARGET GENES,GTF2E2 TARGET GENES,MED16 TARGET GENES,MED25 TARGET GENES,MAML1 TARGET GENES,CSHL1 TARGET GENES,LCORL TARGET GENES,ZZZ3 TARGET GENES,ZNF532 TARGET GENES,ZNF512 TARGET GENES,FOXR2 TARGET GENES,ZNF581 TARGET GENES,HOXA13 TARGET GENES,NR1I2 TARGET GENES,HOXA10 TARGET GENES,NPAT TARGET GENES,CREBL2 TARGET GENES,NPM1 TARGET GENES,SRPK1 TARGET GENES,RUVBL1 TARGET GENES,PSMB5 TARGET GENES,PER1 TARGET GENES,MIER1 TARGET GENES,ATOH8 TARGET GENES,SQSTM1 TARGET GENES,"METHYLCYTOSINE DIOXYGENASE TET UNIPROT
A0A023HHK9 UNREVIEWED TARGET GENES",ZNF138 TARGET GENES,CREB3L2 TARGET GENES
EPC1 TARGET GENES,1.0,0.017811704834605598,0.06361323155216285,0.010178117048346057,0.04071246819338423,0.03816793893129771,0.07888040712468193,0.035623409669211195,0.06361323155216285,0.015267175572519083,0.02544529262086514,0.017811704834605598,0.02544529262086514,0.05089058524173028,0.007633587786259542,0.010178117048346057,0.020356234096692113,0.035623409669211195,0.030534351145038167,0.035623409669211195,0.002544529262086514,0.04071246819338423,0.03816793893129771,0.030534351145038167,0.015267175572519083,0.05597964376590331,0.035623409669211195,0.03307888040712468,0.0,0.05089058524173028,0.03816793893129771,0.022900763358778626,0.04580152671755725,0.0,0.01272264631043257,0.002544529262086514,0.005089058524173028,0.027989821882951654,0.0,0.030534351145038167
SOX11 TARGET GENES,0.14893617021276595,1.0,0.1276595744680851,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0,0.0425531914893617,0.0851063829787234,0.0,0.0,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
ZNF236 TARGET GENES,0.0946969696969697,0.022727272727272728,1.0,0.011363636363636364,0.04924242424242424,0.026515151515151516,0.026515151515151516,0.045454545454545456,0.07196969696969698,0.022727272727272728,0.03409090909090909,0.007575757575757576,0.01893939393939394,0.07954545454545454,0.011363636363636364,0.015151515151515152,0.015151515151515152,0.026515151515151516,0.07196969696969698,0.015151515151515152,0.011363636363636364,0.026515151515151516,0.007575757575757576,0.056818181818181816,0.011363636363636364,0.022727272727272728,0.07196969696969698,0.022727272727272728,0.0,0.06060606060606061,0.056818181818181816,0.026515151515151516,0.06060606060606061,0.007575757575757576,0.015151515151515152,0.003787878787878788,0.0,0.007575757575757576,0.0,0.007575757575757576
PPARGC1A TARGET GENES,0.039603960396039604,0.009900990099009901,0.0297029702970297,1.0,0.49504950495049505,0.06930693069306931,0.06930693069306931,0.04950495049504951,0.07920792079207921,0.019801980198019802,0.009900990099009901,0.0,0.0,0.019801980198019802,0.0297029702970297,0.0,0.0297029702970297,0.04950495049504951,0.0594059405940594,0.0594059405940594,0.0,0.009900990099009901,0.019801980198019802,0.06930693069306931,0.0,0.04950495049504951,0.0,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.07920792079207921,0.0,0.07920792079207921,0.0,0.019801980198019802,0.019801980198019802,0.0,0.0
HSF2 TARGET GENES,0.0642570281124498,0.008032128514056224,0.05220883534136546,0.20080321285140562,1.0,0.05622489959839357,0.04819277108433735,0.040160642570281124,0.04819277108433735,0.028112449799196786,0.0642570281124498,0.01606425702811245,0.028112449799196786,0.0321285140562249,0.024096385542168676,0.024096385542168676,0.008032128514056224,0.028112449799196786,0.04417670682730924,0.0321285140562249,0.0,0.01606425702811245,0.012048192771084338,0.10441767068273092,0.008032128514056224,0.0321285140562249,0.020080321285140562,0.024096385542168676,0.0,0.024096385542168676,0.0321285140562249,0.020080321285140562,0.04819277108433735,0.004016064257028112,0.0321285140562249,0.008032128514056224,0.012048192771084338,0.008032128514056224,0.0,0.020080321285140562
CASP8AP2 TARGET GENES,0.043731778425655975,0.008746355685131196,0.02040816326530612,0.02040816326530612,0.04081632653061224,1.0,0.30612244897959184,0.15160349854227406,0.14285714285714285,0.014577259475218658,0.014577259475218658,0.014577259475218658,0.03498542274052478,0.11661807580174927,0.011661807580174927,0.043731778425655975,0.011661807580174927,0.03498542274052478,0.03498542274052478,0.04664723032069971,0.0029154518950437317,0.03498542274052478,0.023323615160349854,0.04081632653061224,0.011661807580174927,0.04081632653061224,0.043731778425655975,0.15160349854227406,0.0029154518950437317,0.04081632653061224,0.026239067055393587,0.07580174927113703,0.06705539358600583,0.0029154518950437317,0.03206997084548105,0.0,0.011661807580174927,0.03498542274052478,0.0,0.03498542274052478
ALKBH3 TARGET GENES,0.06997742663656885,0.002257336343115124,0.01580135440180587,0.01580135440180587,0.02708803611738149,0.23702031602708803,1.0,0.3047404063205418,0.17155756207674944,0.024830699774266364,0.01805869074492099,0.020316027088036117,0.03160270880361174,0.1309255079006772,0.004514672686230248,0.02708803611738149,0.011286681715575621,0.02708803611738149,0.04740406320541761,0.056433408577878104,0.009029345372460496,0.03837471783295711,0.03160270880361174,0.029345372460496615,0.011286681715575621,0.040632054176072234,0.060948081264108354,0.020316027088036117,0.002257336343115124,0.060948081264108354,0.024830699774266364,0.05417607223476298,0.045146726862302484,0.002257336343115124,0.029345372460496615,0.0,0.006772009029345372,0.006772009029345372,0.0,0.05417607223476298
RORA TARGET GENES,0.05263157894736842,0.0037593984962406013,0.045112781954887216,0.018796992481203006,0.03759398496240601,0.19548872180451127,0.5075187969924813,1.0,0.15413533834586465,0.015037593984962405,0.06390977443609022,0.007518796992481203,0.015037593984962405,0.10150375939849623,0.0,0.02631578947368421,0.007518796992481203,0.022556390977443608,0.02631578947368421,0.10150375939849623,0.0037593984962406013,0.05263157894736842,0.041353383458646614,0.03383458646616541,0.018796992481203006,0.05263157894736842,0.03759398496240601,0.02631578947368421,0.0,0.03007518796992481,0.041353383458646614,0.07142857142857142,0.02631578947368421,0.007518796992481203,0.03007518796992481,0.0,0.007518796992481203,0.018796992481203006,0.0,0.07142857142857142
ELF5 TARGET GENES,0.05154639175257732,0.002061855670103093,0.03917525773195876,0.016494845360824743,0.024742268041237112,0.10103092783505155,0.15670103092783505,0.08453608247422681,1.0,0.016494845360824743,0.018556701030927835,0.020618556701030927,0.041237113402061855,0.05154639175257732,0.008247422680412371,0.01443298969072165,0.01443298969072165,0.020618556701030927,0.04742268041237113,0.041237113402061855,0.006185567010309278,0.024742268041237112,0.03917525773195876,0.04742268041237113,0.004123711340206186,0.041237113402061855,0.04329896907216495,0.026804123711340205,0.0,0.05360824742268041,0.049484536082474224,0.03505154639175258,0.016494845360824743,0.002061855670103093,0.03917525773195876,0.006185567010309278,0.0,0.010309278350515464,0.0,0.020618556701030927
NR1H4 TARGET GENES,0.013793103448275862,0.0,0.013793103448275862,0.004597701149425287,0.016091954022988506,0.011494252873563218,0.02528735632183908,0.009195402298850575,0.01839080459770115,1.0,0.0367816091954023,0.03218390804597701,0.04827586206896552,0.013793103448275862,0.006896551724137931,0.020689655172413793,0.01839080459770115,0.009195402298850575,0.059770114942528735,0.004597701149425287,0.0,0.027586206896551724,0.009195402298850575,0.016091954022988506,0.0022988505747126436,0.01839080459770115,0.009195402298850575,0.004597701149425287,0.0,0.0022988505747126436,0.009195402298850575,0.009195402298850575,0.02528735632183908,0.0,0.016091954022988506,0.006896551724137931,0.0,0.004597701149425287,0.0,0.006896551724137931
