"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.6","1","4","ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=389); Enrichr--Queries(rank=465); ARCHS4--Coexpression(rank=800)","94","rank=1; score=7.8842; p=1.3055e-08","rank=7; score=4.2637; direction=Activated","rank=1; score=755.36; p=2.1832e-08; adjP=2.8818e-06","rank=1; score=7.6608; p=2.1835e-08","rank=3; score=3.6216; p=1.2003e-07; direction=Activated"
"2","NFKB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","4","4","ARCHS4--Coexpression(rank=100); ReMap--ChIP-seq(rank=225); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=1119)","234","rank=12; score=2.0024; p=0.0099451","rank=31; score=2.6432; direction=Activated","rank=13; score=47.492; p=0.00056339; adjP=0.022012","rank=4; score=3.0339; p=0.00092482","rank=35; score=2.3354; p=0.0016158; direction=Activated"
"3","FOSL1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.4","19","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=62); GTEx--Coexpression(rank=223)","56","rank=30; score=1.262; p=0.054704","rank=32; score=2.5787; direction=Activated","rank=19; score=109.89; p=0.00051499; adjP=0.025018","rank=26; score=1.3469; p=0.044984","rank=30; score=1.7649; p=0.00092159; direction=Activated"
"4","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.6","4","6","Literature--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=101); GTEx--Coexpression(rank=136); ReMap--ChIP-seq(rank=284); Enrichr--Queries(rank=682); ARCHS4--Coexpression(rank=931)","318","rank=18; score=1.5986; p=0.025202","rank=4; score=4.6351; direction=Repressed","rank=89; score=15.849; p=0.031236; adjP=0.13262","rank=19; score=1.5053; p=0.031236","rank=13; score=3.5176; p=0.00011301; direction=Activated"
"5","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.2","12","6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=105); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=131); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=759)","305","rank=57; score=0.73377; p=0.1846","rank=14; score=3.2161; direction=Activated","rank=34; score=12.952; p=0.0062677; adjP=0.087502","rank=34; score=1.1638; p=0.068576","rank=12; score=2.9871; p=7.2003e-05; direction=Activated"
"6","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.0","9","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=664); GTEx--Coexpression(rank=1134); ARCHS4--Coexpression(rank=1295)","52","rank=54; score=0.77661; p=0.16726","rank=38; score=2.5194; direction=Activated","rank=12; score=42.428; p=1.0863e-05; adjP=0.0025782","rank=9; score=2.3514; p=0.0044525","rank=57; score=2.2342; p=0.0052769; direction=Activated"
"7","JUN","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.0","5","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=38)","4","rank=6; score=2.4644; p=0.0034327","rank=36; score=2.5405; direction=Activated","rank=16; score=48.842; p=0.0010006; adjP=0.022012","rank=5; score=2.9997; p=0.0010006","rank=127; score=2.0677; p=0.025172; direction=Activated"
"8","TP53","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.0","11","5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=655); ARCHS4--Coexpression(rank=909); Enrichr--Queries(rank=1039)","859","rank=11; score=2.0529; p=0.0088534","rank=25; score=2.907; direction=Activated","rank=45; score=6.452; p=0.042494; adjP=0.23409","rank=73; score=0.6905; p=0.20394","rank=61; score=1.5646; p=0.0057396; direction=Activated"
"9","ATF3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.2","5","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=5); Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=48)","1","rank=19; score=1.57; p=0.026918","rank=159; score=1.1619; direction=Repressed","rank=7; score=90.501; p=2.1361e-06; adjP=0.00076046","rank=41; score=1.1047; p=0.07858","rank=5; score=3.8837; p=4.7084e-07; direction=Activated"
"10","FOS","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.4","14","5","GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=16); Enrichr--Queries(rank=20); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=456)","33","rank=14; score=1.9594; p=0.01098","rank=69; score=1.9456; direction=Activated","rank=82; score=24.341; p=0.034276; adjP=0.13262","rank=21; score=1.465; p=0.034276","rank=86; score=1.8311; p=0.01267; direction=Activated"
