"Plot_Category","Analysis_Name","Display_Name","Genes_Plotted","Up","Down","Not_Significant","X_Min","X_Max","Y_Max","PDF_Width","PDF_Height","PDF_File","PNG_File"
"ATF3_high_low_DE","Liver_metastasis","Liver_metastasis","15330","151","181","14998","-4.5","4.5","4","7.33","6.20","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Liver_metastasis/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Liver_metastasis/png/volcano_plot.png"
"ATF3_high_low_DE","Normal_colon","Normal_colon","15609","235","286","15088","-4.0","4.0","6","7.33","6.20","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Normal_colon/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Normal_colon/png/volcano_plot.png"
"ATF3_high_low_DE","Primary_tumor","Primary_tumor","15455","178","230","15047","-4.0","4.0","5","7.33","6.20","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Primary_tumor/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/ATF3_high_low_DE/Primary_tumor/png/volcano_plot.png"
"Main_DE","Liver_metastasis_vs_normal","Liver_metastasis_vs_normal","17028","3859","3815","9354","-10.0","10.0","15","7.69","6.56","results/ngs/GSE50760/plots/volcano/Main_DE/Liver_metastasis_vs_normal/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/Main_DE/Liver_metastasis_vs_normal/png/volcano_plot.png"
"Main_DE","Liver_metastasis_vs_primary","Liver_metastasis_vs_primary","17062","1445","1370","14247","-10.0","10.0","12","7.57","6.44","results/ngs/GSE50760/plots/volcano/Main_DE/Liver_metastasis_vs_primary/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/Main_DE/Liver_metastasis_vs_primary/png/volcano_plot.png"
"Main_DE","Primary_tumor_vs_normal","Primary_tumor_vs_normal","16962","2841","3003","11118","-7.0","7.0","10","7.49","6.36","results/ngs/GSE50760/plots/volcano/Main_DE/Primary_tumor_vs_normal/pdf/volcano_plot.pdf","results/ngs/GSE50760/plots/volcano/Main_DE/Primary_tumor_vs_normal/png/volcano_plot.png"
