"TF","RKO","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","-5.74830045247221744","6.27985664048405212","0.26577809400591734","6.01407854647813522","Activated","1","viper","1","6.01407854647813522",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=159); ReMap--ChIP-seq(rank=269); ARCHS4--Coexpression(rank=811); Enrichr--Queries(rank=1132); GTEx--Coexpression(rank=1338)","256","0.059319999999999998","ENCODE ChIP-seq,0.05932"
"MYC","-7.01354852713843613","-3.80222394739343050","-5.40788623726593354","5.40788623726593354","Repressed","2","viper","2","5.40788623726593354",NA,NA,"6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1132)","643","0.177999999999999992","ENCODE ChIP-seq,0.178"
"E2F4","-9.94553187036516917","-0.68953148849175783","-5.31753167942846350","5.31753167942846350","Repressed","3","viper","3","5.31753167942846350",NA,NA,"6","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=125); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=808); Enrichr--Queries(rank=1227); GTEx--Coexpression(rank=1510)","1213","0.420899999999999996","ReMap ChIP-seq,0.4209"
"TEAD1","4.88667082632229999","5.45038854449199128","5.16852968540714564","5.16852968540714564","Activated","4","viper","4","5.16852968540714564",NA,NA,"4","ReMap--ChIP-seq(rank=70); ARCHS4--Coexpression(rank=246); GTEx--Coexpression(rank=288); Enrichr--Queries(rank=303)","558","0.151100000000000012","ARCHS4 Coexpression,0.1511"
"MEF2A","4.92376697532787588","5.07863927411105642","5.00120312471946615","5.00120312471946615","Activated","5","viper","5","5.00120312471946615",NA,NA,"6","ENCODE--ChIP-seq(rank=47); Literature--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=304); Enrichr--Queries(rank=334)","624","0.171399999999999997","ARCHS4 Coexpression,0.1714"
"MAFB","6.43735310179684639","3.52607492159230285","4.98171401169457440","4.98171401169457440","Activated","6","viper","6","4.98171401169457440",NA,NA,"4","ReMap--ChIP-seq(rank=12); Enrichr--Queries(rank=83); ARCHS4--Coexpression(rank=189); GTEx--Coexpression(rank=339)","180","0.040399999999999998","ReMap ChIP-seq,0.0404"
"FOXP1","-5.32329128194244117","-4.35136956155860144","-4.83733042175052130","4.83733042175052130","Repressed","7","viper","7","4.83733042175052130",NA,NA,"5","Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=109); ReMap--ChIP-seq(rank=157); Enrichr--Queries(rank=732); ARCHS4--Coexpression(rank=1273)","282","0.067830000000000001","GTEx Coexpression,0.06783"
"STAT1","5.20369491683402341","4.23787650195043231","4.72078570939222786","4.72078570939222786","Activated","8","viper","8","4.72078570939222786",NA,NA,"6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","0.020879999999999999","ARCHS4 Coexpression,0.02088"
"PRDM14","6.02766912346866324","-2.78445025006881730","1.62160943669992297","4.40605968676874049","Activated","9","viper","9","4.40605968676874049",NA,NA,"5","Literature--ChIP-seq(rank=125); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=1036); ARCHS4--Coexpression(rank=1362); GTEx--Coexpression(rank=1419)","1569","0.737900000000000000","Enrichr Queries,0.7379"
"MAZ","-1.14723430394437509","-7.20290505549308691","-4.17506967971873078","4.17506967971873078","Repressed","10","viper","10","4.17506967971873078",NA,NA,"5","ENCODE--ChIP-seq(rank=40); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=1011); Enrichr--Queries(rank=1393); GTEx--Coexpression(rank=1439)","1048","0.339000000000000024","ENCODE ChIP-seq,0.339"
