"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Sample_ID","Title","culture_model","treatment_class","liver_niche_model","hepatocyte_coculture","J2_coculture"
"GSE282081","2D_none","liver_niche_model","2D_none","GSM8635706","2D culture, SW480 cells, rep1","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2"
"GSE282081","2D_none","liver_niche_model","2D_none","GSM8635707","2D culture, SW480 cells, rep2","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2"
"GSE282081","2D_none","liver_niche_model","2D_none","GSM8635708","2D culture, SW480 cells, rep3","2D_culture","None","2D_none","No_hepatocyte_coculture","No_J2"
"GSE282081","2D_J2","liver_niche_model","2D_J2","GSM8635709","2D culture, SW480 cells cultured with J2 cells, rep1","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture"
"GSE282081","2D_J2","liver_niche_model","2D_J2","GSM8635710","2D culture, SW480 cells cultured with J2 cells, rep2","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture"
"GSE282081","2D_J2","liver_niche_model","2D_J2","GSM8635711","2D culture, SW480 cells cultured with J2 cells, rep3","2D_culture","J2_coculture","2D_J2","No_hepatocyte_coculture","J2_coculture"
"GSE282081","2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GSM8635712","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep1","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
"GSE282081","2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GSM8635713","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep2","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
"GSE282081","2D_J2_hepatocyte","liver_niche_model","2D_J2_hepatocyte","GSM8635714","2D culture, SW480 cells cultured with J2 cells and hepatocytes, rep3","2D_culture","J2_hepatocyte_coculture","2D_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
"GSE282081","3D_organoid_none","liver_niche_model","3D_organoid_none","GSM8635700","3D organoid, SW480 cells, rep1","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2"
"GSE282081","3D_organoid_none","liver_niche_model","3D_organoid_none","GSM8635701","3D organoid, SW480 cells, rep2","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2"
"GSE282081","3D_organoid_none","liver_niche_model","3D_organoid_none","GSM8635702","3D organoid, SW480 cells, rep3","3D_organoid","None","3D_organoid_none","No_hepatocyte_coculture","No_J2"
"GSE282081","3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GSM8635703","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep1","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
"GSE282081","3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GSM8635704","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep2","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
"GSE282081","3D_organoid_J2_hepatocyte","liver_niche_model","3D_organoid_J2_hepatocyte","GSM8635705","3D organoid, SW480 cells cultured with J2 cells and hepatocytes, rep3","3D_organoid","J2_hepatocyte_coculture","3D_organoid_J2_hepatocyte","Hepatocyte_coculture","J2_coculture"
