"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=7.2723; direction=Repressed","rank=1; score=7.244; p=4.3559e-13; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","3","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=15; score=3.3689; direction=Repressed","rank=3; score=4.8012; p=1.5771e-06; direction=Repressed"
"3","CDX2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","10","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=10; score=3.7919; direction=Activated","rank=14; score=2.7927; p=0.0052278; direction=Activated"
"4","NFYA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.5","5","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","rank=24; score=3.0079; direction=Repressed","rank=5; score=3.7874; p=0.00015224; direction=Repressed"
"5","HNF1B","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","21.5","6","3","ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=583); Enrichr--Queries(rank=681)","1106","rank=6; score=3.953; direction=Activated","rank=37; score=2.4623; p=0.013805; direction=Activated"
"6","HNF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.5","2","3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","rank=55; score=2.3144; direction=Activated","rank=2; score=5.0259; p=5.0103e-07; direction=Activated"
"7","ZBTB33","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","30.5","8","5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=321); ARCHS4--Coexpression(rank=1047); Enrichr--Queries(rank=1130)","705","rank=8; score=3.8152; direction=Repressed","rank=53; score=2.3055; p=0.021136; direction=Activated"
"8","HNF4A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.0","7","6","Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=111); ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=176); Enrichr--Queries(rank=458)","259","rank=7; score=3.8601; direction=Activated","rank=59; score=2.2048; p=0.027467; direction=Activated"
"9","PPARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","35","3","ARCHS4--Coexpression(rank=569); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=1328)","1103","rank=36; score=2.6486; direction=Activated","rank=35; score=2.4785; p=0.013194; direction=Activated"
"10","MEIS1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","37.0","7","5","Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=966); ARCHS4--Coexpression(rank=1232); GTEx--Coexpression(rank=1351)","1442","rank=67; score=2.1258; direction=Activated","rank=7; score=3.5586; p=0.00037288; direction=Activated"
