"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","ARNTL","ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","11.00000000000000","1","4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=119); GTEx--Coexpression(rank=1202)","30","rank=30; score=0.007371","rank=1; score=1982.4; p=8.7649e-05; adjP=0.0095538","rank=2; score=4.0572; p=8.7653e-05"
"2","ATF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.66666666666667","5","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=5; score=0.001245","rank=33; score=90.184; p=0.00050031; adjP=0.025593","rank=21; score=1.4145; p=0.038502"
"3","JUN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.66666666666666","2","6","GTEx--Coexpression(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=61)","2","rank=2; score=0.0006223","rank=8; score=39.655; p=8.2254e-05; adjP=0.018233","rank=58; score=0.51273; p=0.30709"
"4","CEBPB","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.33333333333333","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=33; score=0.008475","rank=5; score=52.561; p=0.00014889; adjP=0.043672","rank=50; score=0.86312; p=0.13705"
"5","STAT1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.33333333333333","9","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","rank=27; score=0.006734","rank=9; score=31.747; p=8.0533e-05; adjP=0.018233","rank=55; score=0.72918; p=0.18656"
"6","ETS1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.66666666666666","11","6","ENCODE--ChIP-seq(rank=3); GTEx--Coexpression(rank=33); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=124); ARCHS4--Coexpression(rank=136); Literature--ChIP-seq(rank=147)","78","rank=78; score=0.02054","rank=11; score=45.37; p=0.0017333; adjP=0.080692","rank=12; score=1.794; p=0.016068"
"7","FOS","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.66666666666666","8","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=3); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=44)","8","rank=8; score=0.001867","rank=47; score=15.063; p=0.021359; adjP=0.15151","rank=49; score=0.88387; p=0.13066"
"8","NFE2L2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.00000000000000","4","5","Literature--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=68); ReMap--ChIP-seq(rank=143); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=524)","148","rank=148; score=0.04177","rank=4; score=90.184; p=0.003155; adjP=0.077823","rank=22; score=1.4145; p=0.038502"
"9","HIF1A","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.66666666666667","23","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=23; score=0.006098","rank=30; score=73.498; p=0.00034403; adjP=0.022452","rank=141; score=0; p=1"
"10","STAT3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.00000000000000","6","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=623); GTEx--Coexpression(rank=958)","151","rank=151; score=0.04268","rank=38; score=49.094; p=0.0042271; adjP=0.050028","rank=6; score=2.2937; p=0.0050853"
