"TF","HMVL_CRC29"
"AHR","-0.659688915899307116"
"AR","0.775633753509917923"
"ARID2","-1.567747291483773786"
"ARID3A","2.343272846602852511"
"ARNT","-0.210628747331317534"
"ARNTL","0.383419550791366248"
"ASCL1","2.892036707867400303"
"ATF1","-1.595375192441982337"
"ATF2","1.361704910304253779"
"ATF3","-0.873032052851766549"
"ATF4","-0.327969361893803268"
"ATF6","-2.897088784847903220"
"ATF7","-0.184281480926806129"
"BACH1","-0.162175390786611084"
"BACH2","-1.458108408635681030"
"BATF","-2.596243864378474875"
"BCL11A","-0.194656689129544092"
"BCL6","-1.231670706530643367"
"BHLHE22","-0.155446013570755381"
"BHLHE40","-1.695105720650514902"
"CDX2","0.571055161992049420"
"CEBPA","-0.154404199821686794"
"CEBPB","0.761176939800006447"
"CEBPD","0.596751243640997742"
"CEBPG","-1.149586171980393923"
"CLOCK","0.569878181429632202"
"CREB1","-2.233600992283813813"
"CREB3","-0.588187510017996074"
"CREB3L1","1.665827228029278739"
"CREM","-0.263298536567887431"
"CTCF","-0.225724625451733857"
"CTCFL","1.656002966166314705"
"CUX1","0.908061275780967403"
"DUX4","-0.642523750873617239"
"E2F1","-5.228251126186313158"
"E2F2","-4.226079432507716227"
"E2F3","-3.188771850063338853"
"E2F4","-7.261966560290789019"
"E2F5","-1.917078702894131625"
"E2F6","-0.064720868943150892"
"E2F7","-1.187158856572404497"
"EBF1","1.601972481706471330"
"EGR1","1.506371201918759173"
"EHF","1.433449515625629722"
"ELF1","-0.590881983852844850"
"ELF3","-0.226254995528414854"
"ELF5","0.761427543368054294"
"ELK1","1.194417289434768659"
"ELK4","-1.650719478709262944"
"EOMES","0.888755833606000079"
"EPAS1","-0.093320281067938382"
"ERG","2.018152370683903740"
"ESR1","0.873882299632424697"
"ESR2","2.098101098100606077"
"ESRRA","2.643506498524642812"
"ETS1","0.287232570637290796"
"ETS2","-0.904943767835209578"
"ETV1","0.308346124294452129"
"ETV4","0.403923753165292776"
"FLI1","-1.011841280816548005"
"FOS","0.899829836977778297"
"FOSL2","-0.613272317180501791"
"FOXA1","0.078635407604683571"
"FOXA2","0.638643465693732981"
"FOXJ2","-0.464449288771127788"
"FOXK2","-0.668997290041246195"
"FOXL2","2.117690505597769501"
"FOXM1","-1.529448891325184245"
"FOXO1","-0.187422058634688637"
"FOXO3","0.047046434925455238"
"FOXO4","1.019013802219156384"
"FOXP1","1.857945123932844167"
"FOXP2","-0.332395492656887614"
"GABPA","-0.877607428320942962"
"GATA1","-0.283933155301062778"
"GATA2","0.347013625387742997"
"GATA3","0.527871385563154827"
"GATA4","0.535719122023804561"
"GATA6","1.233053443365662361"
"GFI1B","0.242657451197250046"
"GLI2","-0.047543660129079748"
"GRHL2","0.748598309812051776"
"HBP1","1.257004883543667795"
"HHEX","-0.234822120862853340"
"HIF1A","-0.370146144801235200"
"HINFP","-1.122582791965925919"
"HMBOX1","-0.182677561121069448"
"HNF1B","-0.930961112660934398"
"HNF4A","1.923564185997795661"
"HNF4G","0.905491393319681093"
"HOXA9","1.477285318705681361"
"HOXB13","-0.496408030247385446"
"HSF1","0.399024091836008010"
"IKZF1","-1.249245680134534409"
"IRF1","0.369038759315484632"
"IRF2","-0.498174905009693691"
"IRF3","3.575066045216745092"
"IRF4","-0.790305446241547971"
"IRF9","1.403566379197970893"
"JUN","1.231047765135573124"
"JUNB","0.623569260212052057"
"JUND","-0.563892582787431706"
"KDM5B","0.609326228944941373"
"KLF1","3.479423958121090177"
"KLF13","-0.783229884529001663"
"KLF3","-2.172867455243590928"
"KLF4","-0.233615717710858734"
"KLF5","6.483804508091941088"
"KLF6","0.413669225864029821"
"KLF9","3.003005523218831296"
"KMT2A","0.556357506030133453"
"LEF1","-0.913849091139225189"
"LHX2","1.405193006167633651"
"LYL1","2.539465114226408637"
"MAF","0.338673084437315586"
"MAFB","0.774440830206801323"
"MAFF","-0.658174765321891231"
"MAFG","0.752842769574605608"
"MAFK","-0.437482144960829822"
"MAX","2.077656416040919218"
"MAZ","3.221132492774085421"
"MBD1","-1.434937759418609016"
"MBD2","3.142192848497511015"
"MEF2A","-1.278405024310929283"
"MEF2B","0.735205187276047445"
"MEF2C","-1.078467958365545654"
"MEIS1","0.172983397165438590"
"MEIS2","-0.919107461978039608"
"MITF","0.328462764671590635"
"MNT","-1.863522423918934745"
"MXI1","-1.388290411937147084"
"MYB","0.413866232168970061"
"MYBL2","-1.033627270277462706"
"MYC","-4.554384747437880243"
"MYCN","-1.765068765145616503"
"MYOD1","1.358818439487574858"
"NANOG","0.914095168267330727"
"NCOA1","-0.297180611087741464"
"NCOA2","0.427246851890906609"
"NCOA3","-2.017032939053183593"
"NEUROD1","3.640906713787860127"
"NFATC1","1.297599846881596353"
"NFE2","1.074386920968364301"
"NFE2L1","-0.354150463189460030"
"NFE2L2","1.370261765360777373"
"NFIC","-0.093967762773910612"
"NFKB1","2.654843987368421754"
"NFKB2","-0.034812304778651541"
"NFYA","-0.848327959655716057"
"NFYB","-0.792636589282563420"
"NR1H2","2.399866660355760128"
"NR1H3","1.867833241368443087"
"NR2C2","-2.128337932343474126"
"NR2F1","3.444203618220296192"
"NR2F6","-0.547607614447434554"
"NR3C1","-0.001337036745149974"
