"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","E2F1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=12; score=0.003111","rank=3; score=120.53; p=1.0285e-24; adjP=1.5428e-22","rank=1; score=8.0024; p=9.9439e-09"
"2","TFDP1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.000000000000000","4","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","rank=10; score=0.002489","rank=7; score=295.38; p=6.2259e-06; adjP=0.00058834","rank=4; score=5.2058; p=6.2263e-06"
"3","E2F4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666666","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=20; score=0.006734","rank=1; score=1790.7; p=3.7756e-95; adjP=3.9266e-93","rank=2; score=6.6502; p=2.2379e-07"
"4","TP53","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.666666666666668","3","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=33; score=0.01044","rank=5; score=46.151; p=7.5764e-07; adjP=9.5463e-05","rank=3; score=6.1205; p=7.5772e-07"
"5","FOXM1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=2; score=0.0006223","rank=2; score=5779.7; p=2.2426e-84; adjP=1.6819e-81","rank=47; score=1.1487; p=0.071001"
"6","E2F3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.666666666666668","8","3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","rank=47; score=0.01351","rank=19; score=76.976; p=0.00055022; adjP=0.025998","rank=8; score=3.2594; p=0.00055024"
"7","MYBL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.000000000000000","8","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=9); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=30)","8","rank=8; score=0.002137","rank=20; score=47.89; p=2.1501e-11; adjP=2.0157e-09","rank=50; score=1.1323; p=0.073748"
"8","CTCF","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.000000000000000","21","6","ARCHS4--Coexpression(rank=11); ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=155); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=981)","21","rank=21; score=0.006757","rank=21; score=14.35; p=0.0070889; adjP=0.12604","rank=87; score=0.60509; p=0.24826"
"9","MYC","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","71.000000000000000","6","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=19); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=567)","193","rank=193; score=0.05128","rank=14; score=33.247; p=5.395e-05; adjP=0.0033989","rank=6; score=4.268; p=5.3953e-05"
"10","MYCN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","74.333333333333329","38","5","Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=54); Enrichr--Queries(rank=120); ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=845)","121","rank=121; score=0.03317","rank=38; score=32.832; p=2.5934e-06; adjP=0.00014962","rank=64; score=0.93722; p=0.11555"
