Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,Plot_Type,PDF_File,PNG_File,Terms_Plotted,Matrix_File,Term_Metadata_File,Figure_Width_In,Figure_Height_In,Heatmap_Side_In,Top_Bar_Height_In,Status_Strip_Width_In,Bottom_Margin_In,Right_Label_Width_In,Label_Font_Size,Status,Error_Message,Top_N,Term_Selection_Method,Overlap_Method,Clustering_Method,PValue_Transform,Pathway_Gene_Source_Priority,Label_Wrap_Width,Text_Font_Family,Text_Font_Weight,Keep_Color,Exclude_Color,Heatmap_High_Color,Bar_Color,Workers_Used
ngs,GSE114012,Main_DE,ALL,C6,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/C6/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/C6/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/C6/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/C6/pathway_overlap_heatmap_terms.csv,16.08,14.136,10.2,1.836,0.32,1.7,2.8,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,CP_BIOCARTA,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_BIOCARTA/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_BIOCARTA/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_BIOCARTA/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_BIOCARTA/pathway_overlap_heatmap_terms.csv,16.08,14.136,10.2,1.836,0.32,1.7,2.8,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,CP_KEGG_LEGACY,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_KEGG_LEGACY/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_KEGG_LEGACY/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_KEGG_LEGACY/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_KEGG_LEGACY/pathway_overlap_heatmap_terms.csv,16.99,14.396,10.2,1.836,0.32,1.96,3.71,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,CP_KEGG_MEDICUS,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_KEGG_MEDICUS/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_KEGG_MEDICUS/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_KEGG_MEDICUS/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_KEGG_MEDICUS/pathway_overlap_heatmap_terms.csv,17.44,14.926,10.2,1.836,0.32,2.49,4.16,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,CP_REACTOME,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_REACTOME/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_REACTOME/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_REACTOME/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_REACTOME/pathway_overlap_heatmap_terms.csv,17.44,14.926,10.2,1.836,0.32,2.49,4.16,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,CP_WIKIPATHWAYS,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_WIKIPATHWAYS/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/CP_WIKIPATHWAYS/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_WIKIPATHWAYS/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/CP_WIKIPATHWAYS/pathway_overlap_heatmap_terms.csv,17.32,14.706,10.2,1.836,0.32,2.27,4.04,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,GO_BP,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_BP/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_BP/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_BP/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_BP/pathway_overlap_heatmap_terms.csv,17.32,14.706,10.2,1.836,0.32,2.27,4.04,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,GO_CC,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_CC/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_CC/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_CC/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_CC/pathway_overlap_heatmap_terms.csv,17.13,14.456,10.2,1.836,0.32,2.02,3.85,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,GO_MF,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_MF/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/GO_MF/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_MF/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/GO_MF/pathway_overlap_heatmap_terms.csv,17.32,14.706,10.2,1.836,0.32,2.27,4.04,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
ngs,GSE114012,Main_DE,ALL,HPO,pathway_overlap_combo_heatmap,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/HPO/pdf/pathway_overlap_heatmap.pdf,results/ngs/GSE114012/plots/PathwayDenester/Main_DE/ALL/HPO/png/pathway_overlap_heatmap.png,40,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/HPO/pathway_overlap_matrix.csv,results/ngs/GSE114012/tables/PathwayDenester/Main_DE/ALL/HPO/pathway_overlap_heatmap_terms.csv,17.32,14.706,10.2,1.836,0.32,2.27,4.04,6.7333,OK,,40,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering,row_pathway_coverage_intersection_over_row_pathway_size,complete_linkage_on_one_minus_symmetrized_overlap,-log10(raw_GSEA_pvalue),GMT_full_gene_set_then_selected_genes_fallback,45,Helvetica,bold,#7D8BC5,#F9C4DA,#33469D,#33469D,10
