Pathway,KRAS.KIDNEY UP.V1 UP,KRAS.300 UP.V1 UP,KRAS.600 UP.V1 UP,KRAS.50 UP.V1 UP,CAHOY NEURONAL,IL21 UP.V1 DN,LEF1 UP.V1 UP,PRC1 BMI UP.V1 UP,PTEN DN.V1 UP,JNK DN.V1 DN,SNF5 DN.V1 DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,RPS14 DN.V1 UP,HOXA9 DN.V1 UP,EGFR UP.V1 UP,LTE2 UP.V1 UP,ATF2 S UP.V1 DN,ATF2 UP.V1 DN,AKT UP.V1 DN,AKT UP MTOR DN.V1 DN,CAHOY ASTROGLIAL,RELA DN.V1 UP,IL2 UP.V1 UP,IL15 UP.V1 UP,PDGF UP.V1 UP,PDGF ERK DN.V1 DN,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,MTOR UP.V1 UP,LEF1 UP.V1 DN,LTE2 UP.V1 DN,CRX NRL DN.V1 DN,ESC V6.5 UP EARLY.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,ESC J1 UP LATE.V1 UP,TBK1.DF DN,TBK1.DN.48HRS DN,RB P107 DN.V1 DN
KRAS.KIDNEY UP.V1 UP,1.0,0.3142857142857143,0.4142857142857143,0.14285714285714285,0.05714285714285714,0.04285714285714286,0.05,0.03571428571428571,0.02142857142857143,0.05714285714285714,0.03571428571428571,0.02142857142857143,0.02857142857142857,0.02142857142857143,0.05714285714285714,0.02142857142857143,0.02857142857142857,0.02142857142857143,0.05714285714285714,0.05714285714285714,0.02142857142857143,0.014285714285714285,0.02142857142857143,0.02857142857142857,0.02142857142857143,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.07857142857142857,0.014285714285714285,0.02142857142857143,0.02857142857142857,0.0,0.02142857142857143,0.007142857142857143,0.0,0.0
KRAS.300 UP.V1 UP,0.3076923076923077,1.0,1.0,0.3356643356643357,0.03496503496503497,0.04195804195804196,0.055944055944055944,0.027972027972027972,0.03496503496503497,0.02097902097902098,0.04895104895104895,0.04895104895104895,0.055944055944055944,0.02097902097902098,0.06993006993006994,0.013986013986013986,0.055944055944055944,0.02097902097902098,0.04195804195804196,0.02097902097902098,0.013986013986013986,0.013986013986013986,0.013986013986013986,0.02097902097902098,0.04195804195804196,0.03496503496503497,0.006993006993006993,0.013986013986013986,0.013986013986013986,0.0,0.0,0.04195804195804196,0.0,0.027972027972027972,0.0,0.013986013986013986,0.013986013986013986,0.027972027972027972,0.0,0.013986013986013986
KRAS.600 UP.V1 UP,0.2078853046594982,0.5125448028673835,1.0,0.17204301075268819,0.02867383512544803,0.03225806451612903,0.07526881720430108,0.035842293906810034,0.03942652329749104,0.025089605734767026,0.03942652329749104,0.04659498207885305,0.06093189964157706,0.02867383512544803,0.05734767025089606,0.014336917562724014,0.05734767025089606,0.035842293906810034,0.02867383512544803,0.03225806451612903,0.021505376344086023,0.035842293906810034,0.010752688172043012,0.017921146953405017,0.035842293906810034,0.035842293906810034,0.021505376344086023,0.007168458781362007,0.014336917562724014,0.007168458781362007,0.007168458781362007,0.03225806451612903,0.0035842293906810036,0.025089605734767026,0.025089605734767026,0.010752688172043012,0.017921146953405017,0.014336917562724014,0.007168458781362007,0.007168458781362007
KRAS.50 UP.V1 UP,0.4166666666666667,1.0,1.0,1.0,0.08333333333333333,0.041666666666666664,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.0625,0.10416666666666667,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.10416666666666667,0.0,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0625,0.0,0.0625,0.0,0.041666666666666664,0.041666666666666664,0.0625,0.0,0.041666666666666664
CAHOY NEURONAL,0.08,0.05,0.08,0.04,1.0,0.03,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.01,0.01,0.02,0.0,0.0,0.02,0.0,0.01,0.01
IL21 UP.V1 DN,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.0106951871657754,0.016042780748663103,1.0,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.016042780748663103,0.026737967914438502,0.016042780748663103,0.0213903743315508,0.0053475935828877,0.016042780748663103,0.0,0.016042780748663103,0.0213903743315508,0.016042780748663103,0.0374331550802139,0.0053475935828877,0.0053475935828877,0.0106951871657754,0.0213903743315508,0.0,0.0,0.0,0.0106951871657754,0.0106951871657754,0.016042780748663103,0.026737967914438502,0.0106951871657754,0.0106951871657754,0.0053475935828877,0.0106951871657754,0.0,0.0213903743315508,0.0106951871657754,0.0,0.0
LEF1 UP.V1 UP,0.03608247422680412,0.041237113402061855,0.10824742268041238,0.015463917525773196,0.005154639175257732,0.010309278350515464,1.0,0.05154639175257732,0.03608247422680412,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.02577319587628866,0.03608247422680412,0.005154639175257732,0.030927835051546393,0.04639175257731959,0.020618556701030927,0.04639175257731959,0.03608247422680412,0.03608247422680412,0.020618556701030927,0.015463917525773196,0.06701030927835051,0.05154639175257732,0.030927835051546393,0.005154639175257732,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.02577319587628866,0.015463917525773196,0.030927835051546393,0.015463917525773196,0.005154639175257732,0.03608247422680412,0.010309278350515464,0.005154639175257732
PRC1 BMI UP.V1 UP,0.02702702702702703,0.021621621621621623,0.05405405405405406,0.005405405405405406,0.010810810810810811,0.02702702702702703,0.05405405405405406,1.0,0.03783783783783784,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.032432432432432434,0.032432432432432434,0.032432432432432434,0.021621621621621623,0.021621621621621623,0.005405405405405406,0.021621621621621623,0.03783783783783784,0.005405405405405406,0.005405405405405406,0.0,0.005405405405405406,0.03783783783783784,0.043243243243243246,0.005405405405405406,0.005405405405405406,0.021621621621621623,0.010810810810810811,0.0,0.010810810810810811,0.016216216216216217,0.021621621621621623,0.0,0.0,0.010810810810810811,0.04864864864864865,0.0,0.021621621621621623
PTEN DN.V1 UP,0.016129032258064516,0.026881720430107527,0.05913978494623656,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.03763440860215054,0.03763440860215054,1.0,0.021505376344086023,0.026881720430107527,0.016129032258064516,0.005376344086021506,0.016129032258064516,0.043010752688172046,0.005376344086021506,0.016129032258064516,0.021505376344086023,0.03225806451612903,0.016129032258064516,0.005376344086021506,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.026881720430107527,0.0,0.0,0.016129032258064516,0.010752688172043012,0.005376344086021506,0.010752688172043012,0.03763440860215054,0.016129032258064516,0.005376344086021506,0.005376344086021506,0.026881720430107527,0.005376344086021506,0.005376344086021506,0.005376344086021506
JNK DN.V1 DN,0.042105263157894736,0.015789473684210527,0.03684210526315789,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.031578947368421054,0.02631578947368421,0.021052631578947368,1.0,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.005263157894736842,0.042105263157894736,0.042105263157894736,0.021052631578947368,0.031578947368421054,0.021052631578947368,0.031578947368421054,0.010526315789473684,0.02631578947368421,0.031578947368421054,0.04736842105263158,0.005263157894736842,0.02631578947368421,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.0,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.005263157894736842,0.0
