"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"otherCells_EPIC","0.005341843508937375","-0.13039456486013407","0.0427347480714990","2.2723088389279851","**","IOBR::batch_cor","0.005","0.043","**","*"
"CAFs_EPIC","0.035266804780859404","0.09872746080721967","0.1410672191234376","1.4526338862043993","*","IOBR::batch_cor","0.035","0.141","*","ns"
"CD4_Tcells_EPIC","0.054882612386987807","0.09006657613195986","0.1463536330319675","1.2605652245926484","+","IOBR::batch_cor","0.055","0.146","ns","ns"
"Macrophages_EPIC","0.108771661424434077","0.07528478940489143","0.2175433228488682","0.9634842378187164","+","IOBR::batch_cor","0.109","0.218","ns","ns"
"CD8_Tcells_EPIC","0.339455129594847249","-0.04488334526590960","0.5431282073517556","0.4692176242030108","+","IOBR::batch_cor","0.339","0.543","ns","ns"
"Bcells_EPIC","0.418927873538155637","0.03798368336972557","0.5585704980508741","0.3778607427156799","+","IOBR::batch_cor","0.419","0.559","ns","ns"
"Endothelial_EPIC","0.573196402120214388","0.02647847167902814","0.5912794071362524","0.2416965442765099","","IOBR::batch_cor","0.573","0.591","ns","ns"
"NKcells_EPIC","0.591279407136252377","-0.02523956451617013","0.5912794071362524","0.2282072461874808","","IOBR::batch_cor","0.591","0.591","ns","ns"
