"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","Single_Pathway_Plots","CSV_File","PDF_File","PNG_File"
"ALL","hallmark","computed","12964","34","21","13","10","results/ngs/GSE114012/tables/ALL/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/ALL/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/ALL/hallmark/png/dotplot.png"
"DLD1","hallmark","computed","12901","34","23","11","10","results/ngs/GSE114012/tables/DLD1/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1/hallmark/png/dotplot.png"
"DLD1_HCT15","hallmark","computed","13094","27","16","11","10","results/ngs/GSE114012/tables/DLD1_HCT15/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15/hallmark/png/dotplot.png"
"DLD1_HCT15_SW48","hallmark","computed","12840","32","18","14","10","results/ngs/GSE114012/tables/DLD1_HCT15_SW48/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15_SW48/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15_SW48/hallmark/png/dotplot.png"
"HCT15","hallmark","computed","13150","25","18","7","10","results/ngs/GSE114012/tables/HCT15/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/HCT15/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/HCT15/hallmark/png/dotplot.png"
"HT55","hallmark","computed","12653","34","28","6","10","results/ngs/GSE114012/tables/HT55/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/HT55/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/HT55/hallmark/png/dotplot.png"
"RKO","hallmark","computed","12031","32","18","14","10","results/ngs/GSE114012/tables/RKO/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/RKO/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/RKO/hallmark/png/dotplot.png"
"SW48","hallmark","computed","12428","29","19","10","10","results/ngs/GSE114012/tables/SW48/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/SW48/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/SW48/hallmark/png/dotplot.png"
"SW948","hallmark","computed","12851","26","20","6","10","results/ngs/GSE114012/tables/SW948/GSEA/hallmark/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/SW948/hallmark/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/SW948/hallmark/png/dotplot.png"
"ALL","CP_BIOCARTA","computed","12964","44","23","18","10","results/ngs/GSE114012/tables/ALL/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/ALL/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/ALL/CP_BIOCARTA/png/dotplot.png"
"DLD1","CP_BIOCARTA","computed","12901","47","10","34","10","results/ngs/GSE114012/tables/DLD1/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1/CP_BIOCARTA/png/dotplot.png"
"DLD1_HCT15","CP_BIOCARTA","computed","13094","38","17","18","10","results/ngs/GSE114012/tables/DLD1_HCT15/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15/CP_BIOCARTA/png/dotplot.png"
"DLD1_HCT15_SW48","CP_BIOCARTA","computed","12840","41","22","16","10","results/ngs/GSE114012/tables/DLD1_HCT15_SW48/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15_SW48/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE114012/plots/GSEA/DLD1_HCT15_SW48/CP_BIOCARTA/png/dotplot.png"
