Pathway,OCCIPITAL MENINGOCELE,ABNORMAL RIB MORPHOLOGY,ABNORMAL RIB CAGE MORPHOLOGY,ABNORMAL LOWER LIMB EPIPHYSIS MORPHOLOGY,MALIGNANT GENITOURINARY TRACT TUMOR,"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY",ABSENT THUMB,PERSISTENCE OF HEMOGLOBIN F,THICK UPPER LIP VERMILION,"DECREASED ACTIVITY OF THE PYRUVATE
DEHYDROGENASE COMPLEX",SINUS BRADYCARDIA,ABNORMAL CARDIAC EXERCISE STRESS TEST,TORSADE DE POINTES,EDEMA OF THE DORSUM OF FEET,UNDETECTABLE VISUAL EVOKED POTENTIALS,ABSENT FINGERNAIL,ANONYCHIA,GENERALIZED TONIC SEIZURE,ABNORMAL SCLERA MORPHOLOGY,SOFT DOUGHY SKIN,HYPEREXTENSIBLE SKIN,FRAGILE SKIN,POOR WOUND HEALING,EARLY ONSET OF SEXUAL MATURATION,CONSTIPATION,MALE SEXUAL DYSFUNCTION,FEMALE SEXUAL DYSFUNCTION,PARASOMNIA,DECREASED CIRCULATING ANDROGEN CONCENTRATION,EAR PAIN,"ABNORMAL CIRCULATING ADRENOCORTICOTROPIN
CONCENTRATION",ABNORMAL POSTERIOR PITUITARY MORPHOGENESIS,PROMINENT EYELASHES,OVERLAPPING FINGERS,ABNORMAL SACRUM MORPHOLOGY,CAUDAL APPENDAGE,LIMITED PRONATION SUPINATION OF FOREARM,LAMBDOIDAL CRANIOSYNOSTOSIS,ENURESIS,IMPAIRMENT OF ACTIVITIES OF DAILY LIVING
OCCIPITAL MENINGOCELE,1.0,0.75,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.125,0.0,0.125,0.125,0.125,0.25,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
ABNORMAL RIB MORPHOLOGY,0.01775147928994083,1.0,1.0,0.10650887573964497,0.005917159763313609,0.008875739644970414,0.038461538461538464,0.014792899408284023,0.01775147928994083,0.0,0.005917159763313609,0.0029585798816568047,0.0029585798816568047,0.0029585798816568047,0.0,0.020710059171597635,0.03254437869822485,0.0029585798816568047,0.11538461538461539,0.020710059171597635,0.047337278106508875,0.01775147928994083,0.01775147928994083,0.10650887573964497,0.17159763313609466,0.020710059171597635,0.005917159763313609,0.011834319526627219,0.020710059171597635,0.008875739644970414,0.014792899408284023,0.020710059171597635,0.005917159763313609,0.029585798816568046,0.14201183431952663,0.0029585798816568047,0.008875739644970414,0.011834319526627219,0.0029585798816568047,0.0621301775147929
ABNORMAL RIB CAGE MORPHOLOGY,0.014925373134328358,0.8407960199004975,1.0,0.09950248756218906,0.007462686567164179,0.007462686567164179,0.03482587064676617,0.012437810945273632,0.01990049751243781,0.0,0.004975124378109453,0.0024875621890547263,0.004975124378109453,0.0024875621890547263,0.0,0.01990049751243781,0.029850746268656716,0.0024875621890547263,0.11691542288557213,0.017412935323383085,0.06218905472636816,0.017412935323383085,0.022388059701492536,0.10199004975124377,0.15920398009950248,0.01990049751243781,0.004975124378109453,0.012437810945273632,0.01990049751243781,0.007462686567164179,0.014925373134328358,0.017412935323383085,0.004975124378109453,0.02736318407960199,0.12437810945273632,0.0024875621890547263,0.007462686567164179,0.017412935323383085,0.004975124378109453,0.05970149253731343
ABNORMAL LOWER LIMB EPIPHYSIS MORPHOLOGY,0.010752688172043012,0.3870967741935484,0.43010752688172044,1.0,0.0,0.0,0.0,0.03225806451612903,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.13978494623655913,0.053763440860215055,0.10752688172043011,0.043010752688172046,0.03225806451612903,0.08602150537634409,0.22580645161290322,0.010752688172043012,0.0,0.0,0.0,0.0,0.053763440860215055,0.053763440860215055,0.010752688172043012,0.021505376344086023,0.0967741935483871,0.010752688172043012,0.0,0.010752688172043012,0.0,0.021505376344086023
MALIGNANT GENITOURINARY TRACT TUMOR,0.0,0.05555555555555555,0.08333333333333333,0.0,1.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.2777777777777778,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776
"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY",0.0,0.1111111111111111,0.1111111111111111,0.0,0.9629629629629629,1.0,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0
ABSENT THUMB,0.0,0.22413793103448276,0.2413793103448276,0.0,0.4482758620689655,0.4482758620689655,1.0,0.4482758620689655,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.034482758620689655,0.0,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.017241379310344827,0.034482758620689655,0.0,0.017241379310344827
PERSISTENCE OF HEMOGLOBIN F,0.0,0.13513513513513514,0.13513513513513514,0.08108108108108109,0.7027027027027027,0.7027027027027027,0.7027027027027027,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0
THICK UPPER LIP VERMILION,0.0,0.2,0.26666666666666666,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.1,0.03333333333333333,0.1,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333
"DECREASED ACTIVITY OF THE PYRUVATE
DEHYDROGENASE COMPLEX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
