"GeneID","Symbol","Ensembl","Entrez"
"ENSG00000059804","SLC2A3","ENSG00000059804","6515"
"ENSG00000285069","SESN2","ENSG00000285069","83667"
"ENSG00000140853","NLRC5","ENSG00000140853","84166"
"ENSG00000153233","PTPRR","ENSG00000153233","5801"
"ENSG00000198832","SELENOM","ENSG00000198832","140606"
"ENSG00000175197","DDIT3","ENSG00000175197","1649"
"ENSG00000184678","H2BC21","ENSG00000184678","8349"
"ENSG00000132823","OSER1","ENSG00000132823","51526"
"ENSG00000179094","PER1","ENSG00000179094","5187"
"ENSG00000184613","NELL2","ENSG00000184613","4753"
"ENSG00000288859","H2AC19","ENSG00000288859","723790"
"ENSG00000288825","H2AC18","ENSG00000288825","8337"
"ENSG00000126368","NR1D1","ENSG00000126368","9572"
"ENSG00000229341","TNXB","ENSG00000229341","7148"
"ENSG00000100292","HMOX1","ENSG00000100292","3162"
"ENSG00000122884","P4HA1","ENSG00000122884","5033"
"ENSG00000280501","CEACAM7","ENSG00000280501","1087"
"ENSG00000078804","TP53INP2","ENSG00000078804","58476"
"ENSG00000160179","ABCG1","ENSG00000160179","9619"
"ENSG00000211445","GPX3","ENSG00000211445","2878"
"ENSG00000152952","PLOD2","ENSG00000152952","5352"
"ENSG00000104419","NDRG1","ENSG00000104419","10397"
"ENSG00000223573","TINCR","ENSG00000223573","257000"
"ENSG00000164266","SPINK1","ENSG00000164266","6690"
"ENSG00000149564","ESAM","ENSG00000149564","90952"
"ENSG00000118515","SGK1","ENSG00000118515","6446"
"ENSG00000118503","TNFAIP3","ENSG00000118503","7128"
"ENSG00000135917","SLC19A3","ENSG00000135917","80704"
"ENSG00000186472","PCLO","ENSG00000186472","27445"
"ENSG00000142871","CCN1","ENSG00000142871","3491"
"ENSG00000198515","CNGA1","ENSG00000198515","1259"
"ENSG00000181016","LSMEM1","ENSG00000181016","286006"
"ENSG00000185022","MAFF","ENSG00000185022","23764"
"ENSG00000144655","CSRNP1","ENSG00000144655","64651"
"ENSG00000183486","MX2","ENSG00000183486","4600"
"ENSG00000104140","RHOV","ENSG00000104140","171177"
"ENSG00000134107","BHLHE40","ENSG00000134107","8553"
"ENSG00000116741","RGS2","ENSG00000116741","5997"
"ENSG00000165507","DEPP1","ENSG00000165507","11067"
"ENSG00000147883","CDKN2B","ENSG00000147883","1030"
"ENSG00000128965","CHAC1","ENSG00000128965","79094"
"ENSG00000015520","NPC1L1","ENSG00000015520","29881"
"ENSG00000162645","GBP2","ENSG00000162645","2634"
"ENSG00000116991","SIPA1L2","ENSG00000116991","57568"
"ENSG00000139890","REM2","ENSG00000139890","161253"
"ENSG00000277075","H2AC8","ENSG00000277075","3012"
"ENSG00000131016","AKAP12","ENSG00000131016","9590"
"ENSG00000148053","NTRK2","ENSG00000148053","4915"
"ENSG00000130775","THEMIS2","ENSG00000130775","9473"
