"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=1; score=29.935; p=1.1618e-30","rank=2; score=7.9716; p=1.0675e-08","rank=1; score=12.111; p=9.224e-34; direction=Repressed"
"2","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.000000000000000","1","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=3; score=8.1156; p=7.6633e-09","rank=1; score=9.722; p=1.8968e-10","rank=2; score=4; p=6.334e-05; direction=Repressed"
"3","E2F3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.666666666666667","3","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=10; score=1.9356; p=0.011599","rank=3; score=6.4077; p=3.9109e-07","rank=10; score=3.1072; p=0.0018886; direction=Repressed"
"4","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.666666666666666","5","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=15; score=1.5606; p=0.027502","rank=9; score=2.7416; p=0.0018132","rank=5; score=3.3494; p=0.00080993; direction=Repressed"
"5","ARID3A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.333333333333336","32","5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=312); Enrichr--Queries(rank=621); ARCHS4--Coexpression(rank=1021)","690","rank=45; score=0.55989; p=0.27549","rank=35; score=1.1285; p=0.074393","rank=32; score=1.9798; p=0.04773; direction=Repressed"
"6","TP53","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.333333333333329","4","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=4; score=4.0473; p=8.9682e-05","rank=4; score=5.8535; p=1.4013e-06","rank=107; score=1.4968; p=0.13445; direction=Repressed"
"7","RXRA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.666666666666664","25","6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=223); ARCHS4--Coexpression(rank=1263); Enrichr--Queries(rank=1361)","500","rank=25; score=0.84384; p=0.14327","rank=68; score=0.64353; p=0.22723","rank=77; score=1.589; p=0.11206; direction=Activated"
"8","RUNX1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","57.333333333333336","35","5","Literature--ChIP-seq(rank=78); ReMap--ChIP-seq(rank=255); ARCHS4--Coexpression(rank=757); GTEx--Coexpression(rank=853); Enrichr--Queries(rank=1167)","1315","rank=35; score=0.62501; p=0.23713","rank=93; score=0.39471; p=0.40298","rank=44; score=1.8422; p=0.065452; direction=Activated"
"9","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.666666666666671","6","4","Literature--ChIP-seq(rank=21); GTEx--Coexpression(rank=876); Enrichr--Queries(rank=898); ARCHS4--Coexpression(rank=1322)","461","rank=150; score=0; p=1","rank=20; score=1.6612; p=0.021818","rank=6; score=3.3344; p=0.00085487; direction=Activated"
"10","FOXM1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.333333333333336","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=11.004; p=9.9145e-12","rank=64; score=0.70608; p=0.19675","rank=112; score=1.4753; p=0.14014; direction=Repressed"
