Pathway,E2F TARGETS,G2M CHECKPOINT,MYC TARGETS V1,MYC TARGETS V2,MTORC1 SIGNALING,CHOLESTEROL HOMEOSTASIS,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,UV RESPONSE UP,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,GLYCOLYSIS,HYPOXIA,MYOGENESIS,COAGULATION,COMPLEMENT,HEME METABOLISM,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,OXIDATIVE PHOSPHORYLATION,ADIPOGENESIS,UNFOLDED PROTEIN RESPONSE,PANCREAS BETA CELLS,DNA REPAIR
E2F TARGETS,1.0,0.365,0.175,0.06,0.07,0.0,0.01,0.01,0.015,0.005,0.0,0.035,0.01,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.01,0.03,0.0,0.075
G2M CHECKPOINT,0.365,1.0,0.145,0.03,0.045,0.01,0.025,0.015,0.015,0.01,0.0,0.035,0.015,0.01,0.0,0.0,0.015,0.005,0.0,0.0,0.005,0.03,0.0,0.01
MYC TARGETS V1,0.175,0.145,1.0,0.09,0.095,0.0,0.005,0.005,0.03,0.005,0.0,0.025,0.01,0.005,0.0,0.0,0.005,0.02,0.0,0.055,0.015,0.05,0.0,0.04
MYC TARGETS V2,0.20689655172413793,0.10344827586206896,0.3103448275862069,1.0,0.15517241379310345,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.08620689655172414,0.0,0.0
MTORC1 SIGNALING,0.07,0.045,0.095,0.045,1.0,0.095,0.05,0.025,0.055,0.01,0.005,0.135,0.155,0.025,0.015,0.025,0.05,0.06,0.03,0.035,0.07,0.085,0.005,0.015
CHOLESTEROL HOMEOSTASIS,0.0,0.02702702702702703,0.0,0.013513513513513514,0.25675675675675674,1.0,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.04054054054054054,0.0945945945945946,0.04054054054054054,0.04054054054054054,0.08108108108108109,0.0,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.05405405405405406,0.013513513513513514,0.0,0.0
TNFA SIGNALING VIA NFKB,0.01,0.025,0.005,0.01,0.05,0.03,1.0,0.255,0.1,0.11,0.02,0.025,0.145,0.025,0.035,0.08,0.01,0.035,0.005,0.0,0.03,0.025,0.0,0.005
INFLAMMATORY RESPONSE,0.01,0.015,0.005,0.005,0.025,0.01,0.255,1.0,0.05,0.065,0.015,0.025,0.055,0.02,0.045,0.105,0.015,0.025,0.015,0.0,0.005,0.005,0.0,0.01
UV RESPONSE UP,0.0189873417721519,0.0189873417721519,0.0379746835443038,0.0,0.06962025316455696,0.012658227848101266,0.12658227848101267,0.06329113924050633,1.0,0.04430379746835443,0.006329113924050633,0.0189873417721519,0.05063291139240506,0.0189873417721519,0.0189873417721519,0.06329113924050633,0.056962025316455694,0.06962025316455696,0.0,0.0379746835443038,0.0379746835443038,0.03164556962025317,0.0,0.0189873417721519
EPITHELIAL MESENCHYMAL TRANSITION,0.005,0.01,0.005,0.0,0.01,0.01,0.11,0.065,0.035,1.0,0.06,0.07,0.09,0.1,0.09,0.06,0.005,0.025,0.0,0.0,0.015,0.005,0.0,0.0
