"Feature","AUC","Direction"
"Endothelial_cells_MCPcounter","0.5886853698121954",">"
"NK_cells_MCPcounter","0.5703879743411397",">"
"Myeloid_dendritic_cells_MCPcounter","0.5590656155808018",">"
"Cytotoxic_lymphocytes_MCPcounter","0.5489605069943588",">"
"Fibroblasts_MCPcounter","0.5476080068011441",">"
"B_lineage_MCPcounter","0.5449030064147150",">"
"Monocytic_lineage_MCPcounter","0.5431447561635365",">"
"Neutrophils_MCPcounter","0.5375028982147000",">"
"T_cells_MCPcounter","0.5135056805008115",">"
"CD8_T_cells_MCPcounter","0.5126168946595562",">"
