"Analysis_Name","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","Single_Pathway_Plots","CSV_File","PDF_File","PNG_File"
"COAD_01A_ATF3_median_high_vs_low","hallmark","computed","17401","38","30","8","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_hallmark_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_hallmark_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_hallmark_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","CP_BIOCARTA","computed","17401","106","104","2","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_CP_BIOCARTA_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_CP_BIOCARTA_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_CP_BIOCARTA_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","CP_KEGG_MEDICUS","computed","17401","131","95","36","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_MEDICUS_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_MEDICUS_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_MEDICUS_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","CP_KEGG_LEGACY","computed","17401","81","52","29","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_LEGACY_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_LEGACY_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_CP_KEGG_LEGACY_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","CP_REACTOME","computed","17401","493","247","246","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_CP_REACTOME_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_CP_REACTOME_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_CP_REACTOME_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","CP_WIKIPATHWAYS","computed","17401","350","291","59","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_CP_WIKIPATHWAYS_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_CP_WIKIPATHWAYS_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_CP_WIKIPATHWAYS_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","TFT_TFT_LEGACY","computed","17401","364","356","8","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_TFT_TFT_LEGACY_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_TFT_TFT_LEGACY_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_TFT_TFT_LEGACY_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","TFT_GTRD","computed","17401","80","33","44","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_TFT_GTRD_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_TFT_GTRD_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_TFT_GTRD_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","GO_BP","computed","17401","1921","1612","306","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_GO_BP_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_GO_BP_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_GO_BP_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","GO_CC","computed","17401","224","111","111","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_GO_CC_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_GO_CC_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_GO_CC_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","GO_MF","computed","17401","303","183","117","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_GO_MF_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_GO_MF_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_GO_MF_dotplot.png"
"COAD_01A_ATF3_median_high_vs_low","HPO","computed","17401","706","269","437","0","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/tables/GSEA/COAD_01A_ATF3_median_high_vs_low_HPO_gsea_result.csv","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/pdf/COAD_01A_ATF3_median_high_vs_low_HPO_dotplot.pdf","/Users/solomon/Projects/CRLM_dormancy/results/quickanalysis/local_tcga/ATF3_deg/plots/GSEA/png/COAD_01A_ATF3_median_high_vs_low_HPO_dotplot.png"
