Pathway,FOXR2 TARGET GENES,RBMX TARGET GENES,SETBP1 TARGET GENES,SOX11 TARGET GENES,EPC1 TARGET GENES,ZNF774 TARGET GENES,HDAC8 TARGET GENES,RAX2 TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,NR0B1 TARGET GENES,PITX1 TARGET GENES,RUVBL1 TARGET GENES,MYBL1 TARGET GENES,PSMB5 TARGET GENES,RBM15 TARGET GENES,TERF1 TARGET GENES,MAML1 TARGET GENES,PRDM5 TARGET GENES,ZNF585B TARGET GENES,ZNF486 TARGET GENES,RORA TARGET GENES,ALKBH3 TARGET GENES,ZNF667 TARGET GENES,CASP8AP2 TARGET GENES,ZNF524 TARGET GENES,ZNF548 TARGET GENES,ZNF512B TARGET GENES,ZNF791 TARGET GENES,ZNF558 TARGET GENES,TSHZ1 TARGET GENES,ZNF488 TARGET GENES,ZZZ3 TARGET GENES,NPM1 TARGET GENES,STN1 TARGET GENES,NFXL1 TARGET GENES,CARM1 TARGET GENES,FOXQ1 TARGET GENES,DMRT1 TARGET GENES,DLX2 TARGET GENES
FOXR2 TARGET GENES,1.0,0.01282051282051282,0.05555555555555555,0.01282051282051282,0.0641025641025641,0.008547008547008548,0.029914529914529916,0.01282051282051282,0.008547008547008548,0.0,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.03418803418803419,0.017094017094017096,0.01282051282051282,0.021367521367521368,0.021367521367521368,0.008547008547008548,0.017094017094017096,0.01282051282051282,0.04700854700854701,0.05982905982905983,0.02564102564102564,0.03418803418803419,0.029914529914529916,0.0,0.0,0.004273504273504274,0.02564102564102564,0.01282051282051282,0.0,0.05555555555555555,0.05128205128205128,0.0,0.021367521367521368,0.0,0.0,0.0641025641025641,0.0
RBMX TARGET GENES,0.3,1.0,0.4,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
SETBP1 TARGET GENES,0.06532663316582915,0.020100502512562814,1.0,0.010050251256281407,0.07035175879396985,0.02512562814070352,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.005025125628140704,0.0,0.010050251256281407,0.0,0.035175879396984924,0.01507537688442211,0.0,0.02512562814070352,0.035175879396984924,0.010050251256281407,0.0,0.005025125628140704,0.010050251256281407,0.0,0.02512562814070352,0.01507537688442211,0.03015075376884422,0.0,0.010050251256281407,0.005025125628140704,0.04522613065326633,0.02512562814070352,0.0,0.01507537688442211,0.02512562814070352,0.0,0.010050251256281407,0.0,0.005025125628140704,0.03015075376884422,0.035175879396984924
SOX11 TARGET GENES,0.06382978723404255,0.02127659574468085,0.0425531914893617,1.0,0.14893617021276595,0.0,0.06382978723404255,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0851063829787234,0.06382978723404255,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.0425531914893617,0.0,0.0,0.0,0.0425531914893617,0.10638297872340426,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0851063829787234,0.02127659574468085
EPC1 TARGET GENES,0.03816793893129771,0.0,0.035623409669211195,0.017811704834605598,1.0,0.015267175572519083,0.03816793893129771,0.007633587786259542,0.010178117048346057,0.010178117048346057,0.05089058524173028,0.05089058524173028,0.022900763358778626,0.06615776081424936,0.04580152671755725,0.022900763358778626,0.01272264631043257,0.020356234096692113,0.0,0.005089058524173028,0.007633587786259542,0.035623409669211195,0.07888040712468193,0.01272264631043257,0.03816793893129771,0.061068702290076333,0.0,0.04071246819338423,0.005089058524173028,0.03816793893129771,0.04580152671755725,0.005089058524173028,0.035623409669211195,0.05089058524173028,0.002544529262086514,0.022900763358778626,0.002544529262086514,0.0,0.04834605597964377,0.02544529262086514
ZNF774 TARGET GENES,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.0,0.21428571428571427,1.0,0.10714285714285714,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0
HDAC8 TARGET GENES,0.041176470588235294,0.011764705882352941,0.029411764705882353,0.01764705882352941,0.08823529411764706,0.01764705882352941,1.0,0.011764705882352941,0.011764705882352941,0.0058823529411764705,0.058823529411764705,0.0058823529411764705,0.01764705882352941,0.052941176470588235,0.03529411764705882,0.041176470588235294,0.01764705882352941,0.01764705882352941,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.023529411764705882,0.047058823529411764,0.0,0.023529411764705882,0.023529411764705882,0.0,0.023529411764705882,0.0058823529411764705,0.023529411764705882,0.023529411764705882,0.0058823529411764705,0.01764705882352941,0.0,0.0,0.041176470588235294,0.0,0.0,0.041176470588235294,0.029411764705882353
RAX2 TARGET GENES,0.041666666666666664,0.0,0.041666666666666664,0.013888888888888888,0.041666666666666664,0.027777777777777776,0.027777777777777776,1.0,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.027777777777777776,0.0,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.125,0.1527777777777778,0.027777777777777776,0.013888888888888888,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.041666666666666664,0.06944444444444445,0.0,0.013888888888888888,0.0,0.027777777777777776,0.1111111111111111,0.013888888888888888
PRMT5 TARGET GENES,0.01904761904761905,0.0,0.01904761904761905,0.0,0.0380952380952381,0.0,0.01904761904761905,0.0,1.0,0.18095238095238095,0.09523809523809523,0.009523809523809525,0.05714285714285714,0.02857142857142857,0.0761904761904762,0.01904761904761905,0.0,0.01904761904761905,0.0,0.009523809523809525,0.0,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.047619047619047616,0.01904761904761905,0.0,0.02857142857142857,0.009523809523809525,0.06666666666666667,0.06666666666666667,0.0,0.02857142857142857,0.009523809523809525,0.0,0.02857142857142857,0.0,0.0,0.009523809523809525,0.06666666666666667
MED25 TARGET GENES,0.0,0.0,0.007042253521126761,0.007042253521126761,0.028169014084507043,0.0,0.007042253521126761,0.007042253521126761,0.13380281690140844,1.0,0.11971830985915492,0.014084507042253521,0.04225352112676056,0.08450704225352113,0.11267605633802817,0.035211267605633804,0.007042253521126761,0.014084507042253521,0.028169014084507043,0.0,0.014084507042253521,0.04929577464788732,0.08450704225352113,0.007042253521126761,0.1056338028169014,0.02112676056338028,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.04929577464788732,0.07042253521126761,0.007042253521126761,0.014084507042253521,0.028169014084507043,0.0,0.07746478873239436,0.014084507042253521,0.007042253521126761,0.09859154929577464,0.11971830985915492
