Pathway,AP2ALPHA 01,AP2GAMMA 01,AP2 Q6 01,AP2 Q6,SP1 Q6 01,SP1 Q6,SP1 Q4 01,GTGGGTGK UNKNOWN,EGR Q6,NGFIC 01,NMYC 01,USF Q6,HIF1 Q3,MYCMAX B,SOX9 B1,CATTGTYY SOX9 B1,SYATTGTG UNKNOWN,E2F Q2,SMAD Q6,STAT1 02,CMYB 01,TTCNRGNNNNTTC HSF Q6,MEIS1 01,KMCATNNWGGA UNKNOWN,GCCATNTTG YY1 Q6,CCAWNWWNNNGGC UNKNOWN,AAGWWRNYGGC UNKNOWN,HNF4 01 B,AR Q2,E2A Q2,MYOD Q6,TAL1ALPHAE47 01,E47 02,PTF1BETA Q6,GCM Q2,FREAC2 01,P53 02,ZF5 B,CCCNNGGGAR OLF1 01,ATF4 Q2
AP2ALPHA 01,1.0,0.7901234567901234,0.2674897119341564,0.18930041152263374,0.0823045267489712,0.102880658436214,0.11522633744855967,0.09053497942386832,0.11934156378600823,0.102880658436214,0.06584362139917696,0.037037037037037035,0.06584362139917696,0.08641975308641975,0.03292181069958848,0.0823045267489712,0.05761316872427984,0.053497942386831275,0.06995884773662552,0.0411522633744856,0.08641975308641975,0.037037037037037035,0.04938271604938271,0.024691358024691357,0.06172839506172839,0.01646090534979424,0.0205761316872428,0.04526748971193416,0.024691358024691357,0.037037037037037035,0.06584362139917696,0.053497942386831275,0.053497942386831275,0.06995884773662552,0.07818930041152264,0.06584362139917696,0.06584362139917696,0.07818930041152264,0.13580246913580246,0.06584362139917696
AP2GAMMA 01,0.7619047619047619,1.0,0.3253968253968254,0.2261904761904762,0.1111111111111111,0.11507936507936507,0.12301587301587301,0.07142857142857142,0.12301587301587301,0.07539682539682539,0.07142857142857142,0.03571428571428571,0.051587301587301584,0.07936507936507936,0.047619047619047616,0.07936507936507936,0.05555555555555555,0.07936507936507936,0.05555555555555555,0.03968253968253968,0.09523809523809523,0.03968253968253968,0.05555555555555555,0.01984126984126984,0.06349206349206349,0.007936507936507936,0.015873015873015872,0.03571428571428571,0.027777777777777776,0.07142857142857142,0.07142857142857142,0.051587301587301584,0.04365079365079365,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.03968253968253968,0.06746031746031746,0.1349206349206349,0.06349206349206349
AP2 Q6 01,0.23985239852398524,0.3025830258302583,1.0,0.3025830258302583,0.1070110701107011,0.12915129151291513,0.13284132841328414,0.07380073800738007,0.11070110701107011,0.08487084870848709,0.03690036900369004,0.04797047970479705,0.08487084870848709,0.12915129151291513,0.033210332103321034,0.07380073800738007,0.06273062730627306,0.04797047970479705,0.06273062730627306,0.03690036900369004,0.05904059040590406,0.02214022140221402,0.05904059040590406,0.01107011070110701,0.05904059040590406,0.014760147601476014,0.01845018450184502,0.055350553505535055,0.007380073800738007,0.07380073800738007,0.07011070110701106,0.04428044280442804,0.03690036900369004,0.07011070110701106,0.08856088560885608,0.06642066420664207,0.03690036900369004,0.0996309963099631,0.1033210332103321,0.04059040590405904
AP2 Q6,0.1776061776061776,0.22007722007722008,0.3166023166023166,1.0,0.07722007722007722,0.09652509652509653,0.08494208494208494,0.05791505791505792,0.07722007722007722,0.08494208494208494,0.05791505791505792,0.05791505791505792,0.05791505791505792,0.0888030888030888,0.04633204633204633,0.04633204633204633,0.05019305019305019,0.05791505791505792,0.06177606177606178,0.03088803088803089,0.06177606177606178,0.019305019305019305,0.05019305019305019,0.015444015444015444,0.07335907335907337,0.023166023166023165,0.02702702702702703,0.03474903474903475,0.007722007722007722,0.05791505791505792,0.03474903474903475,0.03474903474903475,0.05019305019305019,0.06177606177606178,0.09652509652509653,0.03088803088803089,0.04633204633204633,0.07722007722007722,0.1274131274131274,0.05791505791505792
SP1 Q6 01,0.08064516129032258,0.11290322580645161,0.11693548387096774,0.08064516129032258,1.0,0.5201612903225806,0.4798387096774194,0.06854838709677419,0.11693548387096774,0.07661290322580645,0.056451612903225805,0.06048387096774194,0.04032258064516129,0.06451612903225806,0.028225806451612902,0.04838709677419355,0.024193548387096774,0.04435483870967742,0.05241935483870968,0.03225806451612903,0.04435483870967742,0.012096774193548387,0.024193548387096774,0.016129032258064516,0.04838709677419355,0.004032258064516129,0.024193548387096774,0.04435483870967742,0.004032258064516129,0.06451612903225806,0.04032258064516129,0.04435483870967742,0.036290322580645164,0.028225806451612902,0.04435483870967742,0.012096774193548387,0.020161290322580645,0.05241935483870968,0.06854838709677419,0.04032258064516129
SP1 Q6,0.09615384615384616,0.11153846153846154,0.1346153846153846,0.09615384615384616,0.49615384615384617,1.0,0.8307692307692308,0.06923076923076923,0.16923076923076924,0.11153846153846154,0.07307692307692308,0.03461538461538462,0.046153846153846156,0.06538461538461539,0.038461538461538464,0.057692307692307696,0.03461538461538462,0.03461538461538462,0.05,0.023076923076923078,0.038461538461538464,0.023076923076923078,0.026923076923076925,0.011538461538461539,0.057692307692307696,0.0038461538461538464,0.03461538461538462,0.04230769230769231,0.007692307692307693,0.06538461538461539,0.05,0.05384615384615385,0.046153846153846156,0.038461538461538464,0.05384615384615385,0.03076923076923077,0.038461538461538464,0.06923076923076923,0.046153846153846156,0.038461538461538464
SP1 Q4 01,0.10810810810810811,0.11969111969111969,0.138996138996139,0.08494208494208494,0.4594594594594595,0.833976833976834,1.0,0.06177606177606178,0.1583011583011583,0.11969111969111969,0.08494208494208494,0.03088803088803089,0.05791505791505792,0.0694980694980695,0.03861003861003861,0.05019305019305019,0.023166023166023165,0.023166023166023165,0.04633204633204633,0.04247104247104247,0.04633204633204633,0.011583011583011582,0.023166023166023165,0.015444015444015444,0.06177606177606178,0.003861003861003861,0.02702702702702703,0.03861003861003861,0.007722007722007722,0.05791505791505792,0.04633204633204633,0.05791505791505792,0.03474903474903475,0.03088803088803089,0.06177606177606178,0.02702702702702703,0.04633204633204633,0.05791505791505792,0.04247104247104247,0.04633204633204633
GTGGGTGK UNKNOWN,0.0738255033557047,0.06040268456375839,0.06711409395973154,0.050335570469798654,0.05704697986577181,0.06040268456375839,0.053691275167785234,1.0,0.08389261744966443,0.11409395973154363,0.06040268456375839,0.0436241610738255,0.04697986577181208,0.06711409395973154,0.03355704697986577,0.0738255033557047,0.040268456375838924,0.016778523489932886,0.07046979865771812,0.040268456375838924,0.06040268456375839,0.03355704697986577,0.06040268456375839,0.010067114093959731,0.040268456375838924,0.010067114093959731,0.006711409395973154,0.02348993288590604,0.02348993288590604,0.030201342281879196,0.0436241610738255,0.03691275167785235,0.04697986577181208,0.05704697986577181,0.07046979865771812,0.06375838926174497,0.050335570469798654,0.04697986577181208,0.08053691275167785,0.06375838926174497
EGR Q6,0.10320284697508897,0.1103202846975089,0.10676156583629894,0.0711743772241993,0.10320284697508897,0.15658362989323843,0.14590747330960854,0.08896797153024912,1.0,0.2313167259786477,0.05338078291814947,0.03914590747330961,0.07473309608540925,0.11387900355871886,0.042704626334519574,0.08540925266903915,0.03914590747330961,0.03202846975088968,0.06405693950177936,0.03914590747330961,0.05693950177935943,0.021352313167259787,0.06405693950177936,0.017793594306049824,0.06761565836298933,0.010676156583629894,0.017793594306049824,0.03914590747330961,0.017793594306049824,0.060498220640569395,0.0498220640569395,0.05693950177935943,0.03558718861209965,0.060498220640569395,0.0711743772241993,0.042704626334519574,0.028469750889679714,0.06405693950177936,0.07829181494661921,0.05338078291814947
NGFIC 01,0.09765625,0.07421875,0.08984375,0.0859375,0.07421875,0.11328125,0.12109375,0.1328125,0.25390625,1.0,0.078125,0.046875,0.07421875,0.10546875,0.05078125,0.07421875,0.0546875,0.03125,0.03515625,0.04296875,0.07421875,0.01171875,0.03515625,0.02734375,0.08203125,0.015625,0.0390625,0.05078125,0.03125,0.0390625,0.0390625,0.06640625,0.0546875,0.0390625,0.0625,0.0546875,0.04296875,0.09375,0.06640625,0.06640625
