Parameter,Value
top_n,40
term_selection_method,top_n_full_gsea_input_by_p_value_before_pathwaydenester_filtering
overlap_method,row_pathway_coverage_intersection_over_row_pathway_size
clustering_method,complete_linkage_on_one_minus_symmetrized_overlap
pathway_gene_source_priority,GMT_full_gene_set_then_selected_genes_fallback
p_value_transform,-log10(raw_GSEA_pvalue)
filter_annotation_source,PathwayDenester_Filtered_column
label_prefixes_removed,"HALLMARK,REACTOME,KEGG_MEDICUS,KEGG_LEGACY,KEGG,BIOCARTA,WIKIPATHWAYS,WP,GO_BP,GO_CC,GO_MF,GOBP,GOCC,GOMF,HPO,HP,TFT_LEGACY,TFT,GTRD"
label_wrap_width,45
text_font_family,Helvetica
text_font_weight,bold
bar_color,#33469D
bar_edge_color,#1E2F69
heatmap_low_color,#FFFFFF
heatmap_mid_low_color,#ECECF6
heatmap_mid_color,#C8C8E0
heatmap_mid_high_color,#7D8BC5
heatmap_high_color,#33469D
keep_color,#7D8BC5
exclude_color,#F9C4DA
unknown_filter_color,#D8D8D8
heatmap_cell_size_in,0.255
heatmap_min_side_in,6.6
heatmap_max_side_in,10.8
top_bar_height_ratio,0.18
top_bar_gap_in,0.12
status_strip_width_in,0.32
status_strip_gap_in,0.11
left_panel_width_in,2.25
right_label_min_width_in,2.8
right_label_max_width_in,5.8
png_dpi,300
workers,10
