Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT ASSEMBLY,RIBOSOME ASSEMBLY,DOUBLE STRAND BREAK REPAIR,RECOMBINATIONAL REPAIR,DNA REPLICATION,REGULATION OF CHROMOSOME ORGANIZATION,CELL CYCLE CHECKPOINT SIGNALING,NEGATIVE REGULATION OF CELL CYCLE PROCESS,NEGATIVE REGULATION OF CELL CYCLE,PROTEIN FOLDING,"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",RNA SPLICING,WOUND HEALING,REGULATION OF BODY FLUID LEVELS,"PHOSPHATIDYLINOSITOL 3 KINASE PROTEIN KINASE
B SIGNAL TRANSDUCTION",POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE,TAXIS,"POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION
CONCENTRATION",CELL SUBSTRATE ADHESION,REGULATION OF CELL SUBSTRATE ADHESION,AMEBOIDAL TYPE CELL MIGRATION,ACTIN FILAMENT ORGANIZATION,REGULATION OF ACTIN FILAMENT ORGANIZATION,REGULATION OF ACTIN FILAMENT BASED PROCESS,ACTIN FILAMENT BUNDLE ORGANIZATION,ACTOMYOSIN STRUCTURE ORGANIZATION,EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,ARTERY DEVELOPMENT,ARTERY MORPHOGENESIS,MITOCHONDRIAL GENE EXPRESSION,MITOCHONDRIAL TRANSLATION,TRNA METABOLIC PROCESS,INTERMEDIATE FILAMENT BASED PROCESS,INTERMEDIATE FILAMENT ORGANIZATION,VACUOLE ORGANIZATION
RIBOSOME BIOGENESIS,1.0,0.7065868263473054,0.7125748502994012,0.3413173652694611,0.23952095808383234,0.08682634730538923,0.2125748502994012,0.011976047904191617,0.008982035928143712,0.029940119760479042,0.029940119760479042,0.014970059880239521,0.023952095808383235,0.03592814371257485,0.0,0.05089820359281437,0.0688622754491018,0.0,0.0,0.008982035928143712,0.0,0.008982035928143712,0.0,0.005988023952095809,0.005988023952095809,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.05389221556886228,0.041916167664670656,0.059880239520958084,0.0,0.0,0.0
RRNA PROCESSING,1.0,1.0,1.0,0.3728813559322034,0.2033898305084746,0.0635593220338983,0.13135593220338984,0.00847457627118644,0.00423728813559322,0.012711864406779662,0.03389830508474576,0.012711864406779662,0.0211864406779661,0.03389830508474576,0.0,0.059322033898305086,0.08050847457627118,0.0,0.0,0.00847457627118644,0.0,0.00847457627118644,0.0,0.00423728813559322,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.025423728813559324,0.012711864406779662,0.0847457627118644,0.0,0.0,0.0
RRNA METABOLIC PROCESS,0.8235294117647058,0.8166089965397924,1.0,0.3044982698961938,0.1695501730103806,0.05190311418685121,0.10726643598615918,0.020761245674740483,0.006920415224913495,0.01730103806228374,0.05190311418685121,0.01384083044982699,0.02422145328719723,0.03460207612456748,0.0,0.05190311418685121,0.06920415224913495,0.0034602076124567475,0.0,0.010380622837370242,0.0,0.006920415224913495,0.0,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.006920415224913495,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.0034602076124567475,0.020761245674740483,0.010380622837370242,0.11418685121107267,0.0,0.0,0.0034602076124567475
RIBOSOMAL SMALL SUBUNIT BIOGENESIS,1.0,0.7719298245614035,0.7719298245614035,1.0,0.043859649122807015,0.017543859649122806,0.23684210526315788,0.017543859649122806,0.008771929824561403,0.0,0.03508771929824561,0.017543859649122806,0.02631578947368421,0.02631578947368421,0.0,0.043859649122807015,0.05263157894736842,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,0.0,0.043859649122807015,0.0,0.0,0.0
RIBOSOMAL LARGE SUBUNIT BIOGENESIS,1.0,0.6,0.6125,0.0625,1.0,0.3625,0.3875,0.0125,0.0125,0.075,0.0125,0.0125,0.0375,0.05,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0125,0.0,0.0,0.0
RIBOSOMAL LARGE SUBUNIT ASSEMBLY,1.0,0.5172413793103449,0.5172413793103449,0.06896551724137931,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.20689655172413793,0.0,0.0,0.0,0.0
RIBOSOME ASSEMBLY,1.0,0.43661971830985913,0.43661971830985913,0.38028169014084506,0.43661971830985913,0.4084507042253521,1.0,0.04225352112676056,0.028169014084507043,0.0,0.014084507042253521,0.04225352112676056,0.056338028169014086,0.056338028169014086,0.0,0.028169014084507043,0.028169014084507043,0.0,0.0,0.028169014084507043,0.0,0.04225352112676056,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18309859154929578,0.15492957746478872,0.0,0.0,0.0,0.0
DOUBLE STRAND BREAK REPAIR,0.0121580547112462,0.0060790273556231,0.0182370820668693,0.0060790273556231,0.00303951367781155,0.0,0.00911854103343465,1.0,0.5896656534954408,0.25835866261398177,0.23100303951367782,0.16109422492401215,0.1702127659574468,0.17933130699088146,0.00911854103343465,0.02735562310030395,0.03951367781155015,0.015197568389057751,0.0060790273556231,0.0121580547112462,0.0121580547112462,0.0121580547112462,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.0121580547112462,0.030395136778115502,0.0060790273556231,0.0060790273556231,0.015197568389057751,0.0060790273556231,0.00303951367781155,0.0060790273556231,0.0060790273556231,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.0,0.0,0.015197568389057751
RECOMBINATIONAL REPAIR,0.015306122448979591,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.0,0.01020408163265306,0.9897959183673469,1.0,0.3520408163265306,0.20408163265306123,0.1683673469387755,0.17346938775510204,0.17857142857142858,0.01020408163265306,0.015306122448979591,0.03571428571428571,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.03571428571428571,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.0,0.0,0.0,0.02040816326530612
DNA REPLICATION,0.03115264797507788,0.009345794392523364,0.01557632398753894,0.0,0.018691588785046728,0.0,0.0,0.26479750778816197,0.21495327102803738,1.0,0.14018691588785046,0.1588785046728972,0.20249221183800623,0.2087227414330218,0.012461059190031152,0.01557632398753894,0.021806853582554516,0.01557632398753894,0.003115264797507788,0.009345794392523364,0.006230529595015576,0.006230529595015576,0.003115264797507788,0.009345794392523364,0.009345794392523364,0.0,0.01557632398753894,0.0,0.0,0.006230529595015576,0.006230529595015576,0.0,0.003115264797507788,0.003115264797507788,0.012461059190031152,0.0,0.003115264797507788,0.0,0.0,0.009345794392523364
