Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT ASSEMBLY,RIBOSOME ASSEMBLY,DOUBLE STRAND BREAK REPAIR,RECOMBINATIONAL REPAIR,DNA REPLICATION,REGULATION OF CHROMOSOME ORGANIZATION,CELL CYCLE CHECKPOINT SIGNALING,NEGATIVE REGULATION OF CELL CYCLE PROCESS,NEGATIVE REGULATION OF CELL CYCLE,PROTEIN FOLDING,"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",RNA SPLICING,WOUND HEALING,REGULATION OF BODY FLUID LEVELS,"PHOSPHATIDYLINOSITOL 3 KINASE PROTEIN KINASE
B SIGNAL TRANSDUCTION",POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE,TAXIS,"POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION
CONCENTRATION",CELL SUBSTRATE ADHESION,REGULATION OF CELL SUBSTRATE ADHESION,AMEBOIDAL TYPE CELL MIGRATION,ACTIN FILAMENT ORGANIZATION,REGULATION OF ACTIN FILAMENT ORGANIZATION,REGULATION OF ACTIN FILAMENT BASED PROCESS,ACTIN FILAMENT BUNDLE ORGANIZATION,ACTOMYOSIN STRUCTURE ORGANIZATION,EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,ARTERY DEVELOPMENT,ARTERY MORPHOGENESIS,MITOCHONDRIAL GENE EXPRESSION,MITOCHONDRIAL TRANSLATION,TRNA METABOLIC PROCESS,INTERMEDIATE FILAMENT BASED PROCESS,INTERMEDIATE FILAMENT ORGANIZATION,VACUOLE ORGANIZATION
REGULATION OF CHROMOSOME ORGANIZATION,0.039525691699604744,0.03162055335968379,0.05928853754940711,0.015810276679841896,0.003952569169960474,0.0,0.003952569169960474,0.30039525691699603,0.15810276679841898,0.17786561264822134,1.0,0.28063241106719367,0.35968379446640314,0.3675889328063241,0.04743083003952569,0.03557312252964427,0.039525691699604744,0.011857707509881422,0.011857707509881422,0.019762845849802372,0.019762845849802372,0.015810276679841896,0.003952569169960474,0.007905138339920948,0.003952569169960474,0.011857707509881422,0.011857707509881422,0.0,0.0,0.007905138339920948,0.007905138339920948,0.011857707509881422,0.003952569169960474,0.003952569169960474,0.0,0.0,0.007905138339920948,0.0,0.0,0.007905138339920948
CELL CYCLE CHECKPOINT SIGNALING,0.024509803921568627,0.014705882352941176,0.0196078431372549,0.00980392156862745,0.004901960784313725,0.004901960784313725,0.014705882352941176,0.25980392156862747,0.16176470588235295,0.25,0.3480392156862745,1.0,1.0,1.0,0.004901960784313725,0.03431372549019608,0.0392156862745098,0.029411764705882353,0.0196078431372549,0.014705882352941176,0.004901960784313725,0.014705882352941176,0.0,0.00980392156862745,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.0,0.014705882352941176,0.0,0.00980392156862745,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0,0.03431372549019608
NEGATIVE REGULATION OF CELL CYCLE PROCESS,0.023809523809523808,0.01488095238095238,0.020833333333333332,0.008928571428571428,0.008928571428571428,0.002976190476190476,0.011904761904761904,0.16666666666666666,0.10119047619047619,0.19345238095238096,0.2708333333333333,0.6071428571428571,1.0,1.0,0.005952380952380952,0.02976190476190476,0.03869047619047619,0.03273809523809524,0.011904761904761904,0.050595238095238096,0.017857142857142856,0.03273809523809524,0.008928571428571428,0.023809523809523808,0.020833333333333332,0.02976190476190476,0.023809523809523808,0.011904761904761904,0.023809523809523808,0.005952380952380952,0.008928571428571428,0.020833333333333332,0.011904761904761904,0.011904761904761904,0.0,0.0,0.002976190476190476,0.002976190476190476,0.0,0.023809523809523808
NEGATIVE REGULATION OF CELL CYCLE,0.028985507246376812,0.01932367149758454,0.024154589371980676,0.007246376811594203,0.00966183574879227,0.0024154589371980675,0.00966183574879227,0.14251207729468598,0.08454106280193237,0.16183574879227053,0.2246376811594203,0.4927536231884058,0.8115942028985508,1.0,0.007246376811594203,0.024154589371980676,0.033816425120772944,0.036231884057971016,0.00966183574879227,0.05314009661835749,0.028985507246376812,0.03864734299516908,0.016908212560386472,0.033816425120772944,0.024154589371980676,0.028985507246376812,0.028985507246376812,0.016908212560386472,0.028985507246376812,0.00966183574879227,0.012077294685990338,0.03140096618357488,0.014492753623188406,0.014492753623188406,0.004830917874396135,0.0024154589371980675,0.007246376811594203,0.0024154589371980675,0.0,0.026570048309178744
PROTEIN FOLDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01276595744680851,0.00851063829787234,0.01702127659574468,0.05106382978723404,0.00425531914893617,0.00851063829787234,0.01276595744680851,1.0,0.03829787234042553,0.05106382978723404,0.03829787234042553,0.029787234042553193,0.00851063829787234,0.00425531914893617,0.02553191489361702,0.00851063829787234,0.02553191489361702,0.02553191489361702,0.01276595744680851,0.02553191489361702,0.01276595744680851,0.01276595744680851,0.01702127659574468,0.01276595744680851,0.03829787234042553,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.01276595744680851
"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",0.04582210242587601,0.03773584905660377,0.04043126684636118,0.013477088948787063,0.0026954177897574125,0.0,0.005390835579514825,0.02425876010781671,0.008086253369272238,0.013477088948787063,0.02425876010781671,0.018867924528301886,0.026954177897574125,0.026954177897574125,0.02425876010781671,1.0,1.0,0.0026954177897574125,0.0,0.008086253369272238,0.0,0.005390835579514825,0.0,0.0026954177897574125,0.0026954177897574125,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026954177897574125,0.0026954177897574125,0.01078167115902965,0.0,0.0,0.0
RNA SPLICING,0.04609218436873747,0.03807615230460922,0.04008016032064128,0.012024048096192385,0.002004008016032064,0.0,0.004008016032064128,0.026052104208416832,0.014028056112224449,0.014028056112224449,0.02004008016032064,0.01603206412825651,0.026052104208416832,0.028056112224448898,0.02404809619238477,0.7434869739478958,1.0,0.004008016032064128,0.0,0.008016032064128256,0.0,0.006012024048096192,0.002004008016032064,0.004008016032064128,0.004008016032064128,0.002004008016032064,0.004008016032064128,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.0,0.0,0.012024048096192385,0.004008016032064128,0.04408817635270541,0.0,0.0,0.0
WOUND HEALING,0.0,0.0,0.002197802197802198,0.0,0.0,0.0,0.0,0.01098901098901099,0.004395604395604396,0.01098901098901099,0.006593406593406593,0.013186813186813187,0.024175824175824177,0.03296703296703297,0.01978021978021978,0.002197802197802198,0.004395604395604396,1.0,0.5648351648351648,0.16263736263736264,0.08571428571428572,0.15384615384615385,0.03956043956043956,0.18681318681318682,0.13186813186813187,0.10329670329670329,0.1076923076923077,0.07692307692307693,0.12087912087912088,0.07912087912087912,0.07912087912087912,0.10989010989010989,0.03736263736263736,0.03296703296703297,0.0,0.0,0.0,0.026373626373626374,0.013186813186813187,0.05054945054945055
REGULATION OF BODY FLUID LEVELS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.004975124378109453,0.0024875621890547263,0.007462686567164179,0.009950248756218905,0.009950248756218905,0.009950248756218905,0.017412935323383085,0.0,0.0,0.6393034825870647,1.0,0.11691542288557213,0.06467661691542288,0.11940298507462686,0.05223880597014925,0.12437810945273632,0.08706467661691543,0.04477611940298507,0.05721393034825871,0.029850746268656716,0.05472636815920398,0.03482587064676617,0.03482587064676617,0.06965174129353234,0.024875621890547265,0.017412935323383085,0.0,0.0,0.0,0.004975124378109453,0.004975124378109453,0.017412935323383085
"PHOSPHATIDYLINOSITOL 3 KINASE PROTEIN KINASE
B SIGNAL TRANSDUCTION",0.008670520231213872,0.005780346820809248,0.008670520231213872,0.0,0.002890173410404624,0.002890173410404624,0.005780346820809248,0.011560693641618497,0.002890173410404624,0.008670520231213872,0.014450867052023121,0.008670520231213872,0.049132947976878616,0.06358381502890173,0.005780346820809248,0.008670520231213872,0.011560693641618497,0.2138728323699422,0.13583815028901733,1.0,0.17341040462427745,0.20520231213872833,0.03757225433526012,0.13583815028901733,0.1069364161849711,0.12138728323699421,0.11560693641618497,0.0953757225433526,0.12716763005780346,0.06069364161849711,0.06936416184971098,0.08959537572254335,0.04335260115606936,0.031791907514450865,0.002890173410404624,0.002890173410404624,0.002890173410404624,0.002890173410404624,0.002890173410404624,0.028901734104046242
POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019704433497536946,0.0049261083743842365,0.009852216748768473,0.024630541871921183,0.0049261083743842365,0.029556650246305417,0.059113300492610835,0.0049261083743842365,0.0,0.0,0.1921182266009852,0.12807881773399016,0.2955665024630542,1.0,0.30049261083743845,0.09852216748768473,0.14285714285714285,0.12315270935960591,0.11822660098522167,0.08374384236453201,0.06896551724137931,0.10837438423645321,0.04926108374384237,0.059113300492610835,0.09359605911330049,0.03940886699507389,0.03940886699507389,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365
TAXIS,0.006237006237006237,0.004158004158004158,0.004158004158004158,0.002079002079002079,0.0,0.0,0.006237006237006237,0.008316008316008316,0.002079002079002079,0.004158004158004158,0.008316008316008316,0.006237006237006237,0.02286902286902287,0.033264033264033266,0.012474012474012475,0.004158004158004158,0.006237006237006237,0.14553014553014554,0.0997920997920998,0.14760914760914762,0.12681912681912683,1.0,0.1101871101871102,0.1288981288981289,0.09563409563409564,0.12681912681912683,0.09147609147609148,0.06652806652806653,0.11642411642411643,0.035343035343035345,0.033264033264033266,0.0498960498960499,0.033264033264033266,0.02702702702702703,0.004158004158004158,0.004158004158004158,0.002079002079002079,0.002079002079002079,0.002079002079002079,0.006237006237006237
"POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION
CONCENTRATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.0,0.017857142857142856,0.041666666666666664,0.011904761904761904,0.0,0.005952380952380952,0.10714285714285714,0.125,0.07738095238095238,0.11904761904761904,0.31547619047619047,1.0,0.05952380952380952,0.041666666666666664,0.03571428571428571,0.08333333333333333,0.047619047619047616,0.08928571428571429,0.03571428571428571,0.041666666666666664,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.005952380952380952
CELL SUBSTRATE ADHESION,0.005305039787798408,0.002652519893899204,0.002652519893899204,0.0,0.0,0.0,0.002652519893899204,0.007957559681697613,0.005305039787798408,0.007957559681697613,0.005305039787798408,0.005305039787798408,0.021220159151193633,0.03713527851458886,0.015915119363395226,0.002652519893899204,0.005305039787798408,0.22546419098143236,0.13262599469496023,0.1246684350132626,0.07692307692307693,0.16445623342175067,0.026525198938992044,1.0,0.5941644562334217,0.14323607427055704,0.21750663129973474,0.15915119363395225,0.20689655172413793,0.14854111405835543,0.1246684350132626,0.16976127320954906,0.03713527851458886,0.034482758620689655,0.002652519893899204,0.002652519893899204,0.0,0.007957559681697613,0.002652519893899204,0.007957559681697613
REGULATION OF CELL SUBSTRATE ADHESION,0.008928571428571428,0.004464285714285714,0.004464285714285714,0.0,0.0,0.0,0.004464285714285714,0.013392857142857142,0.008928571428571428,0.013392857142857142,0.004464285714285714,0.004464285714285714,0.03125,0.044642857142857144,0.026785714285714284,0.004464285714285714,0.008928571428571428,0.26785714285714285,0.15625,0.16517857142857142,0.11160714285714286,0.20535714285714285,0.03125,1.0,1.0,0.17857142857142858,0.2767857142857143,0.22767857142857142,0.29910714285714285,0.19196428571428573,0.16071428571428573,0.19642857142857142,0.04017857142857143,0.04017857142857143,0.004464285714285714,0.004464285714285714,0.0,0.013392857142857142,0.004464285714285714,0.0
AMEBOIDAL TYPE CELL MIGRATION,0.004081632653061225,0.0,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.0163265306122449,0.004081632653061225,0.0,0.012244897959183673,0.004081632653061225,0.04081632653061224,0.04897959183673469,0.012244897959183673,0.004081632653061225,0.004081632653061225,0.19183673469387755,0.07346938775510205,0.17142857142857143,0.09795918367346938,0.24897959183673468,0.024489795918367346,0.22040816326530613,0.16326530612244897,1.0,0.1836734693877551,0.14285714285714285,0.17551020408163265,0.1306122448979592,0.14285714285714285,0.09387755102040816,0.07755102040816327,0.06938775510204082,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.02857142857142857,0.024489795918367346,0.012244897959183673
ACTIN FILAMENT ORGANIZATION,0.0,0.0,0.0041928721174004195,0.0,0.0,0.0,0.0,0.020964360587002098,0.014675052410901468,0.010482180293501049,0.006289308176100629,0.0041928721174004195,0.016771488469601678,0.025157232704402517,0.012578616352201259,0.0,0.0041928721174004195,0.10272536687631027,0.04821802935010482,0.08385744234800839,0.03563941299790356,0.09224318658280922,0.029350104821802937,0.1719077568134172,0.129979035639413,0.09433962264150944,1.0,0.570230607966457,0.6184486373165619,0.3752620545073375,0.29979035639413,0.03563941299790356,0.010482180293501049,0.008385744234800839,0.0,0.0,0.0041928721174004195,0.0020964360587002098,0.0020964360587002098,0.012578616352201259
REGULATION OF ACTIN FILAMENT ORGANIZATION,0.0,0.0,0.003676470588235294,0.0,0.0,0.0,0.0,0.007352941176470588,0.007352941176470588,0.0,0.0,0.0,0.014705882352941176,0.025735294117647058,0.011029411764705883,0.0,0.003676470588235294,0.12867647058823528,0.04411764705882353,0.1213235294117647,0.051470588235294115,0.11764705882352941,0.029411764705882353,0.22058823529411764,0.1875,0.12867647058823528,1.0,1.0,1.0,0.44485294117647056,0.39705882352941174,0.04779411764705882,0.007352941176470588,0.007352941176470588,0.0,0.0,0.003676470588235294,0.0,0.0,0.01838235294117647
REGULATION OF ACTIN FILAMENT BASED PROCESS,0.0,0.0,0.0024875621890547263,0.0,0.0,0.0,0.0,0.004975124378109453,0.004975124378109453,0.0,0.0,0.007462686567164179,0.01990049751243781,0.029850746268656716,0.007462686567164179,0.0,0.0024875621890547263,0.13681592039800994,0.05472636815920398,0.10945273631840796,0.05472636815920398,0.13930348258706468,0.03731343283582089,0.19402985074626866,0.16666666666666666,0.10696517412935323,0.7338308457711443,0.6766169154228856,1.0,0.31592039800995025,0.3208955223880597,0.05721393034825871,0.01990049751243781,0.01990049751243781,0.0,0.0,0.0024875621890547263,0.004975124378109453,0.004975124378109453,0.014925373134328358
ACTIN FILAMENT BUNDLE ORGANIZATION,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.027932960893854747,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.0,0.0111731843575419,0.0223463687150838,0.0223463687150838,0.0,0.00558659217877095,0.2011173184357542,0.0782122905027933,0.11731843575418995,0.055865921787709494,0.09497206703910614,0.0335195530726257,0.3128491620111732,0.24022346368715083,0.1787709497206704,1.0,0.6759776536312849,0.7094972067039106,1.0,0.6480446927374302,0.0670391061452514,0.0223463687150838,0.01675977653631285,0.0,0.0,0.0,0.0,0.0,0.00558659217877095
ACTOMYOSIN STRUCTURE ORGANIZATION,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.0,0.009302325581395349,0.009302325581395349,0.009302325581395349,0.009302325581395349,0.009302325581395349,0.013953488372093023,0.023255813953488372,0.013953488372093023,0.0,0.004651162790697674,0.16744186046511628,0.06511627906976744,0.11162790697674418,0.05581395348837209,0.07441860465116279,0.03255813953488372,0.2186046511627907,0.16744186046511628,0.16279069767441862,0.6651162790697674,0.5023255813953489,0.6,0.5395348837209303,1.0,0.06976744186046512,0.037209302325581395,0.027906976744186046,0.0,0.0,0.0,0.009302325581395349,0.009302325581395349,0.009302325581395349
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0,0.0084985835694051,0.0,0.019830028328611898,0.036827195467422094,0.025495750708215296,0.0,0.0028328611898017,0.141643059490085,0.07932011331444759,0.08781869688385269,0.053824362606232294,0.0679886685552408,0.0056657223796034,0.1813031161473088,0.12464589235127478,0.06515580736543909,0.04815864022662889,0.036827195467422094,0.06515580736543909,0.0339943342776204,0.042492917847025496,1.0,0.06232294617563739,0.04815864022662889,0.0,0.0,0.0,0.0056657223796034,0.0056657223796034,0.0113314447592068
ARTERY DEVELOPMENT,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.01652892561983471,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.03305785123966942,0.049586776859504134,0.008264462809917356,0.0,0.0,0.14049586776859505,0.08264462809917356,0.12396694214876033,0.06611570247933884,0.1322314049586777,0.01652892561983471,0.11570247933884298,0.0743801652892562,0.15702479338842976,0.04132231404958678,0.01652892561983471,0.06611570247933884,0.03305785123966942,0.06611570247933884,0.18181818181818182,1.0,0.6942148760330579,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.024793388429752067
ARTERY MORPHOGENESIS,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.047619047619047616,0.07142857142857142,0.011904761904761904,0.0,0.0,0.17857142857142858,0.08333333333333333,0.13095238095238096,0.09523809523809523,0.15476190476190477,0.023809523809523808,0.15476190476190477,0.10714285714285714,0.20238095238095238,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.03571428571428571,0.07142857142857142,0.20238095238095238,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904
MITOCHONDRIAL GENE EXPRESSION,0.10588235294117647,0.03529411764705882,0.03529411764705882,0.0058823529411764705,0.03529411764705882,0.03529411764705882,0.07647058823529412,0.0058823529411764705,0.0058823529411764705,0.023529411764705882,0.0,0.0,0.0,0.011764705882352941,0.0058823529411764705,0.0058823529411764705,0.03529411764705882,0.0,0.0,0.0058823529411764705,0.0,0.011764705882352941,0.0,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7705882352941177,0.20588235294117646,0.0,0.0,0.0
MITOCHONDRIAL TRANSLATION,0.10687022900763359,0.022900763358778626,0.022900763358778626,0.0,0.04580152671755725,0.04580152671755725,0.08396946564885496,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.0,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.015267175572519083,0.0,0.0,0.007633587786259542,0.0,0.015267175572519083,0.0,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16793893129770993,0.0,0.0,0.0
TRNA METABOLIC PROCESS,0.09523809523809523,0.09523809523809523,0.15714285714285714,0.023809523809523808,0.004761904761904762,0.0,0.0,0.004761904761904762,0.0,0.004761904761904762,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.014285714285714285,0.004761904761904762,0.01904761904761905,0.10476190476190476,0.0,0.0,0.004761904761904762,0.0,0.004761904761904762,0.0,0.0,0.0,0.004761904761904762,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.10476190476190476,1.0,0.0,0.0,0.0
INTERMEDIATE FILAMENT BASED PROCESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.0,0.0,0.12371134020618557,0.020618556701030927,0.010309278350515464,0.0,0.010309278350515464,0.0,0.030927835051546393,0.030927835051546393,0.07216494845360824,0.010309278350515464,0.0,0.020618556701030927,0.0,0.020618556701030927,0.020618556701030927,0.010309278350515464,0.0,0.0,0.0,0.0,1.0,0.7731958762886598,0.041237113402061855
