"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c4_Tstr","0.00000000000000000000000000000000000000000000000000000000000008770287203812371","0.674922862901068288","0.0000000000000000000000000000000000000000000000000000000000273632960758946","61.05698618440037251","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff","0.00000000000000000000000000000000000000000000000004164348642105653056247247409","0.622185801678034500","0.0000000000000000000000000000000000000000000000064963838816848188437102479","49.38045291820947114","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm","0.00000000000000000000000000000000000010991605479076213742323416641499432585909","0.552254365157217042","0.0000000000000000000000000000000000114312696982392622920163533071594098893","36.95893886810613083","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr","0.00000000000000000000000000000000000839674087304705888508257066257380064220650","0.540019567726500282","0.0000000000000000000000000000000006549457880976705689815581208509956348273","35.07588924911764394","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al","0.00000000000000000000007579479396524467244101774302407917665773344616811850439","0.438893404300313650","0.0000000000000000000047295951434312671841613149015705380734468751297719778","22.12036062325729802","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4","0.00000000000000046945121242321577472274125319943608682221321097560728929920515","0.368191233760443160","0.0000000000000244114630460072218633043556083942873382122175363040383899715","15.32840953497685277","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Interleukins_Li_et_al","0.00000000000000077304750769883038353737053268678969825020527066941622429396830","0.365629594148026815","0.0000000000000344558317717192972075029302027557416093989442473777273789892","15.11179381565805713","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1","0.00000000000001180305783962444002584903389448185909663547720621634695703505713","0.351208332590201344","0.0000000000004603192557453531594303905114427688939453264804768650719779544","13.92800546465688072","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_accumulation_Peng_et_al","0.00000000000005941924948174010429482632192222188398226558059267432554406695999","0.342295335084576879","0.0000000000020598673153669900802722540900580031259826940814861018225201406","13.22607283802540934","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_06_PTGS2","0.00000000000018143618963936783134782150291865587601598634737154469576125848107","0.335968564243546874","0.0000000000056608091167482763178571917174041611131585227667528670281171799","12.74127608335582096","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_T_cells_Bindea_et_al","0.00000000000030514158895497602082234079443569955741779459179596756257524248213","0.332971873941036944","0.0000000000086549250685411372373491901322237532506037593904579807713162154","12.51549859660951824","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c11_Teff_SEMA4A","0.00000000000050386352201825355498885343770615193547107030225262747080705594271","0.330049581765324840","0.0000000000131004515724745918238650141706228837660402897213884898519609123","12.29768708192926674","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_05_ELL2","0.00000000000080004464302301703793790911595451182682613155972006779848015867174","0.327327553040513863","0.0000000000192010714325524072949226848902761063606070557341354287927970290","12.09688577841105150","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c6_Tcm","0.00000000000789791314732738147981196727071738711636883500943895342061296105385","0.313428861887011634","0.0000000001760106358547244923181687912180893272606763133580898283980786800","11.10248764647233521","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Cyclooxygenase_Arachidonic_Acid_Metabolism","0.00000000002738044381451386064858833520111038939762182486958863592008128762245","0.305568011862934197","0.0000000005347459194242084276858375907449331260190561465606151614338159561","10.56255951658799574","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c8_Tf17","0.00000000002742286766277992119121818135296620669999478892009392438922077417374","0.305558075126820761","0.0000000005347459194242084276858375907449331260190561465606151614338159561","10.56188713215038888","****","IOBR::batch_cor","<0.001","<0.001","***","***"
