Pathway,STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,HEPARIN BINDING,GLYCOSAMINOGLYCAN BINDING,PROTEOGLYCAN BINDING,PEPTIDASE REGULATOR ACTIVITY,PEPTIDASE INHIBITOR ACTIVITY,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,DNA BINDING TRANSCRIPTION REPRESSOR ACTIVITY,DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",PROTEIN FOLDING CHAPERONE,ATP DEPENDENT PROTEIN FOLDING CHAPERONE,UNFOLDED PROTEIN BINDING,HEAT SHOCK PROTEIN BINDING,TAU PROTEIN BINDING,"TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY","TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY",GROWTH FACTOR BINDING,ACTIN BINDING,ACTIN FILAMENT BINDING,CYTOKINE BINDING,C C CHEMOKINE BINDING,"G PROTEIN COUPLED CHEMOATTRACTANT RECEPTOR
ACTIVITY",IMMUNE RECEPTOR ACTIVITY,CORECEPTOR ACTIVITY,CYTOKINE RECEPTOR BINDING,CARGO RECEPTOR ACTIVITY,PHOSPHORIC ESTER HYDROLASE ACTIVITY,"S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY","TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS",N METHYLTRANSFERASE ACTIVITY,LYSINE N METHYLTRANSFERASE ACTIVITY,HISTONE METHYLTRANSFERASE ACTIVITY,CHROMATIN PROTEIN ADAPTOR ACTIVITY,HISTONE READER ACTIVITY,CATALYTIC ACTIVITY ACTING ON DNA,EXONUCLEASE ACTIVITY,TRNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA
STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,1.0,0.016129032258064516,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,0.0055248618784530384,1.0,0.13812154696132597,0.18232044198895028,0.049723756906077346,0.06629834254143646,0.049723756906077346,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016574585635359115,0.0055248618784530384,0.08287292817679558,0.0,0.0,0.03867403314917127,0.0,0.0,0.0055248618784530384,0.011049723756906077,0.011049723756906077,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEPARIN BINDING,0.0,0.1488095238095238,1.0,1.0,0.11904761904761904,0.10714285714285714,0.08928571428571429,0.0,0.005952380952380952,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.047619047619047616,0.041666666666666664,0.10714285714285714,0.011904761904761904,0.0,0.05952380952380952,0.0,0.0,0.0,0.011904761904761904,0.10119047619047619,0.005952380952380952,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.005952380952380952,0.0,0.0,0.0,0.005952380952380952
GLYCOSAMINOGLYCAN BINDING,0.0,0.14042553191489363,0.7148936170212766,1.0,0.08936170212765958,0.11063829787234042,0.08936170212765958,0.0,0.00425531914893617,0.00851063829787234,0.0,0.0,0.0,0.00425531914893617,0.00851063829787234,0.00425531914893617,0.04680851063829787,0.029787234042553193,0.09787234042553192,0.01276595744680851,0.0,0.06808510638297872,0.0,0.0,0.00851063829787234,0.01276595744680851,0.0851063829787234,0.029787234042553193,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.00425531914893617,0.0,0.0,0.0,0.00425531914893617
PROTEOGLYCAN BINDING,0.0,0.23076923076923078,0.5128205128205128,0.5384615384615384,1.0,0.10256410256410256,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEPTIDASE REGULATOR ACTIVITY,0.004219409282700422,0.05063291139240506,0.0759493670886076,0.10970464135021098,0.016877637130801686,1.0,0.7552742616033755,0.0,0.0,0.012658227848101266,0.008438818565400843,0.008438818565400843,0.008438818565400843,0.012658227848101266,0.008438818565400843,0.016877637130801686,0.004219409282700422,0.004219409282700422,0.029535864978902954,0.008438818565400843,0.004219409282700422,0.029535864978902954,0.0,0.0,0.004219409282700422,0.004219409282700422,0.029535864978902954,0.004219409282700422,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEPTIDASE INHIBITOR ACTIVITY,0.00558659217877095,0.05027932960893855,0.08379888268156424,0.11731843575418995,0.01675977653631285,1.0,1.0,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0,0.0,0.00558659217877095,0.00558659217877095,0.0111731843575419,0.00558659217877095,0.00558659217877095,0.0335195530726257,0.0111731843575419,0.00558659217877095,0.0335195530726257,0.0,0.0,0.0,0.00558659217877095,0.01675977653631285,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18805309734513273,0.2676991150442478,0.1902654867256637,0.0,0.0,0.0,0.01327433628318584,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011061946902654867,0.0,0.0,0.00663716814159292,0.011061946902654867,0.00663716814159292,0.00663716814159292,0.00663716814159292,0.0022123893805309734,0.0,0.004424778761061947,0.0,0.0,0.0
DNA BINDING TRANSCRIPTION REPRESSOR ACTIVITY,0.0,0.003246753246753247,0.003246753246753247,0.003246753246753247,0.0,0.0,0.0,0.275974025974026,1.0,0.19155844155844157,0.1331168831168831,0.0,0.0,0.0,0.00974025974025974,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.006493506493506494,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.003246753246753247,0.0,0.003246753246753247,0.0,0.0,0.0
DNA BINDING TRANSCRIPTION FACTOR BINDING,0.0,0.0,0.0020491803278688526,0.004098360655737705,0.0,0.006147540983606557,0.0020491803278688526,0.24795081967213115,0.12090163934426229,1.0,0.7192622950819673,0.004098360655737705,0.0,0.01639344262295082,0.03278688524590164,0.012295081967213115,0.0020491803278688526,0.0020491803278688526,0.0020491803278688526,0.012295081967213115,0.00819672131147541,0.006147540983606557,0.0,0.0,0.0020491803278688526,0.0,0.01639344262295082,0.0,0.010245901639344262,0.022540983606557378,0.02663934426229508,0.020491803278688523,0.014344262295081968,0.020491803278688523,0.022540983606557378,0.018442622950819672,0.028688524590163935,0.006147540983606557,0.0,0.0
"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",0.0,0.0,0.0,0.0,0.0,0.005698005698005698,0.002849002849002849,0.245014245014245,0.1168091168091168,1.0,1.0,0.005698005698005698,0.0,0.019943019943019943,0.03133903133903134,0.017094017094017096,0.002849002849002849,0.002849002849002849,0.002849002849002849,0.014245014245014245,0.008547008547008548,0.005698005698005698,0.0,0.0,0.002849002849002849,0.0,0.017094017094017096,0.0,0.014245014245014245,0.022792022792022793,0.02564102564102564,0.019943019943019943,0.017094017094017096,0.019943019943019943,0.017094017094017096,0.017094017094017096,0.03418803418803419,0.005698005698005698,0.0,0.0
PROTEIN FOLDING CHAPERONE,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.024096385542168676,0.024096385542168676,1.0,0.4819277108433735,0.5783132530120482,0.21686746987951808,0.03614457831325301,0.0,0.0,0.0,0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.024096385542168676,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0
ATP DEPENDENT PROTEIN FOLDING CHAPERONE,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,0.3,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNFOLDED PROTEIN BINDING,0.0,0.0,0.0,0.008130081300813009,0.0,0.024390243902439025,0.008130081300813009,0.0,0.0,0.06504065040650407,0.056910569105691054,0.3902439024390244,0.2764227642276423,1.0,0.2032520325203252,0.032520325203252036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.0
HEAT SHOCK PROTEIN BINDING,0.0,0.0,0.0,0.015503875968992248,0.0,0.015503875968992248,0.007751937984496124,0.046511627906976744,0.023255813953488372,0.12403100775193798,0.08527131782945736,0.13953488372093023,0.09302325581395349,0.1937984496124031,1.0,0.06976744186046512,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.05426356589147287,0.0,0.015503875968992248,0.007751937984496124,0.0,0.0,0.007751937984496124,0.007751937984496124,0.023255813953488372,0.046511627906976744,0.06201550387596899,0.06201550387596899,0.06201550387596899,0.046511627906976744,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.015503875968992248,0.0,0.0,0.0
TAU PROTEIN BINDING,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.045454545454545456,0.022727272727272728,0.0,0.13636363636363635,0.13636363636363635,0.06818181818181818,0.06818181818181818,0.09090909090909091,0.20454545454545456,1.0,0.0,0.0,0.0,0.11363636363636363,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSMEMBRANE RECEPTOR PROTEIN KINASE
ACTIVITY",0.0,0.0375,0.1,0.1375,0.0,0.0125,0.0125,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0125,0.0,1.0,0.775,0.4875,0.0125,0.0125,0.2125,0.0,0.0,0.0125,0.1125,0.0625,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE
KINASE ACTIVITY",0.0,0.016129032258064516,0.11290322580645161,0.11290322580645161,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.016129032258064516,0.0,1.0,1.0,0.41935483870967744,0.016129032258064516,0.016129032258064516,0.06451612903225806,0.0,0.0,0.016129032258064516,0.0967741935483871,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
