"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","rank=2; score=0.0006223","rank=4; score=1517; p=5.7984e-58; adjP=4.3836e-55"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","3","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=12; score=0.004274","rank=3; score=92.119; p=4.2626e-24; adjP=5.3709e-22"
"3","TFDP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","8","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=8; score=0.002489","rank=16; score=119.01; p=0.00013071; adjP=0.0093735"
"4","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.5","2","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=27; score=0.008475","rank=2; score=1642.8; p=7.1929e-113; adjP=7.4806e-111"
"5","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","5","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=26; score=0.007985","rank=5; score=41.375; p=1.1959e-07; adjP=2.0011e-05"
"6","IRF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.0","19","5","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=519); GTEx--Coexpression(rank=1045); Enrichr--Queries(rank=1228)","19","rank=19; score=0.006734","rank=21; score=13.477; p=3.2313e-05; adjP=0.0015686"
"7","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","5","6","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=6); Literature--ChIP-seq(rank=7); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=124)","5","rank=5; score=0.001425","rank=36; score=27.535; p=1.0289e-08; adjP=5.5559e-07"
"8","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","20","6","ReMap--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=282); GTEx--Coexpression(rank=1343)","20","rank=20; score=0.006757","rank=49; score=20.163; p=5.3641e-07; adjP=1.6221e-05"
"9","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.5","12","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=226); ARCHS4--Coexpression(rank=420); Enrichr--Queries(rank=539); GTEx--Coexpression(rank=677)","67","rank=67; score=0.01829","rank=12; score=106.14; p=2.3078e-25; adjP=3.4894e-23"
"10","E2F3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.5","36","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=36; score=0.01106","rank=59; score=23.987; p=0.0073768; adjP=0.16833"
