Pathway,ERBB2 UP.V1 DN,LTE2 UP.V1 DN,RAF UP.V1 DN,EGFR UP.V1 DN,KRAS.DF.V1 DN,STK33 DN,STK33 NOMO DN,MEL18 DN.V1 DN,BMI1 DN MEL18 DN.V1 DN,ALK DN.V1 DN,TBK1.DF DN,PGF UP.V1 UP,VEGF A UP.V1 DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,HOXA9 DN.V1 UP,PDGF UP.V1 UP,BMI1 DN MEL18 DN.V1 UP,EGFR UP.V1 UP,P53 DN.V1 UP,PDGF ERK DN.V1 DN,AKT UP MTOR DN.V1 UP,JAK2 DN.V1 DN,MTOR UP.N4.V1 DN,CSR EARLY UP.V1 DN,GCNP SHH UP EARLY.V1 UP,RB DN.V1 UP,RB P107 DN.V1 UP,CSR EARLY UP.V1 UP,CSR LATE UP.V1 UP,SRC UP.V1 UP,MYC UP.V1 UP,BCAT BILD ET AL UP,WNT UP.V1 UP,KRAS.50 UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN,RB P130 DN.V1 DN,BCAT BILD ET AL DN,TBK1.DF UP
ERBB2 UP.V1 DN,1.0,0.3401015228426396,0.2436548223350254,0.3401015228426396,0.025380710659898477,0.04060913705583756,0.03553299492385787,0.04568527918781726,0.030456852791878174,0.030456852791878174,0.08629441624365482,0.08121827411167512,0.07614213197969544,0.025380710659898477,0.04060913705583756,0.005076142131979695,0.030456852791878174,0.025380710659898477,0.005076142131979695,0.01015228426395939,0.02030456852791878,0.025380710659898477,0.01015228426395939,0.02030456852791878,0.015228426395939087,0.015228426395939087,0.015228426395939087,0.005076142131979695,0.005076142131979695,0.025380710659898477,0.005076142131979695,0.005076142131979695,0.030456852791878174,0.0,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.005076142131979695,0.015228426395939087,0.05583756345177665
LTE2 UP.V1 DN,0.3435897435897436,1.0,0.27692307692307694,0.3384615384615385,0.02564102564102564,0.046153846153846156,0.035897435897435895,0.08717948717948718,0.046153846153846156,0.035897435897435895,0.06666666666666667,0.03076923076923077,0.015384615384615385,0.041025641025641026,0.03076923076923077,0.05128205128205128,0.05641025641025641,0.035897435897435895,0.046153846153846156,0.05128205128205128,0.02564102564102564,0.005128205128205128,0.03076923076923077,0.005128205128205128,0.03076923076923077,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.046153846153846156
RAF UP.V1 DN,0.24870466321243523,0.27979274611398963,1.0,0.34196891191709844,0.03626943005181347,0.05699481865284974,0.04145077720207254,0.06735751295336788,0.025906735751295335,0.010362694300518135,0.06217616580310881,0.010362694300518135,0.025906735751295335,0.05181347150259067,0.07253886010362694,0.04145077720207254,0.031088082901554404,0.031088082901554404,0.02072538860103627,0.031088082901554404,0.046632124352331605,0.015544041450777202,0.046632124352331605,0.010362694300518135,0.02072538860103627,0.015544041450777202,0.025906735751295335,0.0051813471502590676,0.0051813471502590676,0.02072538860103627,0.0051813471502590676,0.010362694300518135,0.010362694300518135,0.0,0.02072538860103627,0.010362694300518135,0.02072538860103627,0.0,0.0,0.06735751295336788
EGFR UP.V1 DN,0.34183673469387754,0.336734693877551,0.336734693877551,1.0,0.030612244897959183,0.04081632653061224,0.04081632653061224,0.061224489795918366,0.04591836734693878,0.025510204081632654,0.0663265306122449,0.04081632653061224,0.02040816326530612,0.025510204081632654,0.04081632653061224,0.04591836734693878,0.04081632653061224,0.015306122448979591,0.01020408163265306,0.0,0.04591836734693878,0.015306122448979591,0.02040816326530612,0.02040816326530612,0.05612244897959184,0.015306122448979591,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.0,0.015306122448979591,0.01020408163265306,0.01020408163265306,0.0,0.04591836734693878
KRAS.DF.V1 DN,0.025906735751295335,0.025906735751295335,0.03626943005181347,0.031088082901554404,1.0,0.03626943005181347,0.04145077720207254,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.03626943005181347,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.02072538860103627,0.015544041450777202,0.046632124352331605,0.025906735751295335,0.04145077720207254,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.010362694300518135,0.0,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.02072538860103627,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.0051813471502590676,0.025906735751295335,0.0,0.0,0.05699481865284974
STK33 DN,0.02857142857142857,0.03214285714285714,0.039285714285714285,0.02857142857142857,0.025,1.0,0.675,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.025,0.010714285714285714,0.0035714285714285713,0.0,0.0,0.0,0.02142857142857143,0.0035714285714285713,0.014285714285714285,0.02142857142857143,0.02857142857142857,0.0,0.0035714285714285713,0.0,0.0035714285714285713,0.014285714285714285,0.010714285714285714,0.0035714285714285713,0.010714285714285714,0.010714285714285714,0.0035714285714285713,0.010714285714285714,0.025,0.0,0.0035714285714285713,0.0,0.0035714285714285713,0.007142857142857143,0.0,0.02857142857142857
STK33 NOMO DN,0.024822695035460994,0.024822695035460994,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.6702127659574468,1.0,0.0070921985815602835,0.010638297872340425,0.0070921985815602835,0.031914893617021274,0.0070921985815602835,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0070921985815602835,0.024822695035460994,0.024822695035460994,0.0035460992907801418,0.014184397163120567,0.0,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.0035460992907801418,0.010638297872340425,0.0070921985815602835,0.0035460992907801418,0.010638297872340425,0.01773049645390071,0.0035460992907801418,0.0070921985815602835,0.0035460992907801418,0.0035460992907801418,0.0035460992907801418,0.0,0.01773049645390071
MEL18 DN.V1 DN,0.061224489795918366,0.11564625850340136,0.08843537414965986,0.08163265306122448,0.013605442176870748,0.013605442176870748,0.013605442176870748,1.0,0.5714285714285714,0.1292517006802721,0.027210884353741496,0.02040816326530612,0.006802721088435374,0.04081632653061224,0.047619047619047616,0.05442176870748299,0.02040816326530612,0.02040816326530612,0.0,0.034013605442176874,0.04081632653061224,0.006802721088435374,0.034013605442176874,0.0,0.006802721088435374,0.027210884353741496,0.0,0.0,0.006802721088435374,0.0,0.006802721088435374,0.02040816326530612,0.034013605442176874,0.0,0.006802721088435374,0.0,0.034013605442176874,0.0,0.006802721088435374,0.027210884353741496
BMI1 DN MEL18 DN.V1 DN,0.04081632653061224,0.061224489795918366,0.034013605442176874,0.061224489795918366,0.013605442176870748,0.027210884353741496,0.02040816326530612,0.5714285714285714,1.0,0.10204081632653061,0.013605442176870748,0.006802721088435374,0.0,0.027210884353741496,0.034013605442176874,0.034013605442176874,0.034013605442176874,0.027210884353741496,0.0,0.034013605442176874,0.047619047619047616,0.006802721088435374,0.013605442176870748,0.013605442176870748,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.0,0.013605442176870748,0.0,0.006802721088435374,0.02040816326530612,0.027210884353741496,0.0,0.006802721088435374,0.0,0.027210884353741496,0.02040816326530612,0.006802721088435374,0.02040816326530612
ALK DN.V1 DN,0.04316546762589928,0.050359712230215826,0.014388489208633094,0.03597122302158273,0.02158273381294964,0.014388489208633094,0.014388489208633094,0.1366906474820144,0.1079136690647482,1.0,0.014388489208633094,0.0,0.0,0.02877697841726619,0.014388489208633094,0.02877697841726619,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.03597122302158273,0.014388489208633094,0.0,0.007194244604316547,0.007194244604316547,0.0,0.0,0.02158273381294964,0.0,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.0,0.04316546762589928,0.02158273381294964,0.02877697841726619,0.0,0.0,0.014388489208633094
