Pathway,"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP",GSE7509 UNSTIM VS FCGRIIB STIM MONOCYTE DN,"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN","GSE19888 ADENOSINE A3R ACT VS TCELL MEMBRANES
ACT AND A3R INH PRETREAT IN MAST CELL DN",GSE10147 IL3 VS IL3 AND HIVP17 STIM PDC UP,GSE360 CTRL VS L DONOVANI DC UP,"GSE22611 UNSTIM VS 2H MDP STIM MUTANT NOD2
TRANSDUCED HEK293T CELL DN",GSE40493 BCL6 KO VS WT TREG UP,"GSE18281 PERIMEDULLARY CORTICAL REGION VS
WHOLE CORTEX THYMUS UP","GSE18281 SUBCAPSULAR CORTICAL REGION VS WHOLE
MEDULLA THYMUS UP","GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN","GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP",GSE42088 UNINF VS LEISHMANIA INF DC 2H DN,GSE42088 UNINF VS LEISHMANIA INF DC 4H DN,GSE13485 DAY1 VS DAY21 YF17D VACCINE PBMC DN,GSE25677 MPL VS R848 STIM BCELL DN,GSE40666 WT VS STAT1 KO CD8 TCELL UP,GSE12392 WT VS IFNAR KO CD8A NEG SPLEEN DC UP,GSE19198 6H VS 24H IL21 TREATED TCELL DN,GSE11386 NAIVE VS MEMORY BCELL DN,GSE4984 UNTREATED VS LPS TREATED DC UP,"GSE24026 PD1 LIGATION VS CTRL IN ACT TCELL
LINE UP","GSE2770 IL12 AND TGFB VS IL4 TREATED ACT CD4
TCELL 48H UP",GSE2770 IL4 ACT VS ACT CD4 TCELL 2H DN,"GSE15139 GMCSF TREATED VS UNTREATED
NEUTROPHILS DN","GSE6259 33D1 POS VS DEC205 POS FLT3L INDUCED
SPLENIC DC DN",GSE21033 1H VS 24H POLYIC STIM DC UP,GSE21033 1H VS 12H POLYIC STIM DC UP,GSE31082 CD4 VS CD8 SP THYMOCYTE UP,GSE4984 LPS VS VEHICLE CTRL TREATED DC DN,GSE3982 NEUTROPHIL VS TH2 UP,GSE3982 MAC VS NEUTROPHIL DN,"GSE37416 CTRL VS 12H F TULARENSIS LVS
NEUTROPHIL UP","GSE37416 CTRL VS 6H F TULARENSIS LVS
NEUTROPHIL UP","GSE39820 CTRL VS TGFBETA3 IL6 IL23A CD4 TCELL
UP",GSE27896 HDAC6 KO VS WT TREG UP,GSE32533 WT VS MIR17 KO ACT CD4 TCELL UP,GSE13485 CTRL VS DAY21 YF17D VACCINE PBMC UP,GSE13485 DAY3 VS DAY21 YF17D VACCINE PBMC UP,"GSE37416 0H VS 24H F TULARENSIS LVS
NEUTROPHIL DN"
"GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP",1.0,0.07222222222222222,0.03333333333333333,0.027777777777777776,0.044444444444444446,0.011111111111111112,0.03333333333333333,0.027777777777777776,0.044444444444444446,0.03333333333333333,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.016666666666666666,0.0,0.044444444444444446,0.03888888888888889,0.016666666666666666,0.016666666666666666,0.027777777777777776,0.005555555555555556,0.0,0.005555555555555556,0.027777777777777776,0.022222222222222223,0.0,0.016666666666666666,0.005555555555555556,0.022222222222222223,0.05555555555555555,0.005555555555555556,0.022222222222222223,0.027777777777777776,0.027777777777777776,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.027777777777777776,0.016666666666666666,0.016666666666666666
GSE7509 UNSTIM VS FCGRIIB STIM MONOCYTE DN,0.0783132530120482,1.0,0.018072289156626505,0.04216867469879518,0.024096385542168676,0.012048192771084338,0.018072289156626505,0.018072289156626505,0.006024096385542169,0.006024096385542169,0.0,0.006024096385542169,0.0,0.006024096385542169,0.0,0.012048192771084338,0.030120481927710843,0.012048192771084338,0.012048192771084338,0.018072289156626505,0.006024096385542169,0.0,0.03614457831325301,0.006024096385542169,0.018072289156626505,0.0,0.024096385542168676,0.018072289156626505,0.0,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.018072289156626505,0.03614457831325301,0.024096385542168676,0.018072289156626505,0.024096385542168676,0.018072289156626505,0.018072289156626505
"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN",0.03,0.015,1.0,0.045,0.035,0.015,0.02,0.015,0.035,0.025,0.0,0.01,0.015,0.005,0.015,0.035,0.01,0.04,0.035,0.015,0.02,0.005,0.025,0.025,0.01,0.015,0.02,0.015,0.045,0.02,0.05,0.03,0.08,0.04,0.02,0.025,0.02,0.06,0.03,0.005
"GSE19888 ADENOSINE A3R ACT VS TCELL MEMBRANES
ACT AND A3R INH PRETREAT IN MAST CELL DN",0.02512562814070352,0.035175879396984924,0.04522613065326633,1.0,0.03015075376884422,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.035175879396984924,0.020100502512562814,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.0,0.005025125628140704,0.010050251256281407,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.0,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.03015075376884422,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.035175879396984924,0.01507537688442211,0.020100502512562814,0.01507537688442211,0.005025125628140704
GSE10147 IL3 VS IL3 AND HIVP17 STIM PDC UP,0.04819277108433735,0.024096385542168676,0.04216867469879518,0.03614457831325301,1.0,0.04216867469879518,0.030120481927710843,0.030120481927710843,0.03614457831325301,0.012048192771084338,0.006024096385542169,0.0,0.012048192771084338,0.006024096385542169,0.006024096385542169,0.018072289156626505,0.018072289156626505,0.006024096385542169,0.0,0.03614457831325301,0.024096385542168676,0.006024096385542169,0.012048192771084338,0.018072289156626505,0.006024096385542169,0.018072289156626505,0.024096385542168676,0.012048192771084338,0.030120481927710843,0.012048192771084338,0.024096385542168676,0.03614457831325301,0.030120481927710843,0.012048192771084338,0.012048192771084338,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.012048192771084338
GSE360 CTRL VS L DONOVANI DC UP,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.035175879396984924,1.0,0.020100502512562814,0.03015075376884422,0.02512562814070352,0.020100502512562814,0.035175879396984924,0.020100502512562814,0.04522613065326633,0.020100502512562814,0.005025125628140704,0.03015075376884422,0.035175879396984924,0.01507537688442211,0.04522613065326633,0.005025125628140704,0.02512562814070352,0.02512562814070352,0.010050251256281407,0.005025125628140704,0.02512562814070352,0.02512562814070352,0.01507537688442211,0.010050251256281407,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.01507537688442211,0.04020100502512563,0.020100502512562814,0.02512562814070352,0.035175879396984924,0.010050251256281407,0.005025125628140704,0.01507537688442211,0.02512562814070352
"GSE22611 UNSTIM VS 2H MDP STIM MUTANT NOD2
TRANSDUCED HEK293T CELL DN",0.03225806451612903,0.016129032258064516,0.021505376344086023,0.010752688172043012,0.026881720430107527,0.021505376344086023,1.0,0.03763440860215054,0.016129032258064516,0.03225806451612903,0.005376344086021506,0.010752688172043012,0.016129032258064516,0.005376344086021506,0.010752688172043012,0.016129032258064516,0.021505376344086023,0.016129032258064516,0.021505376344086023,0.026881720430107527,0.026881720430107527,0.010752688172043012,0.010752688172043012,0.0,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.021505376344086023,0.043010752688172046,0.005376344086021506,0.005376344086021506,0.026881720430107527,0.026881720430107527,0.005376344086021506,0.005376344086021506,0.021505376344086023,0.03225806451612903,0.016129032258064516,0.03763440860215054,0.016129032258064516
GSE40493 BCL6 KO VS WT TREG UP,0.02824858757062147,0.01694915254237288,0.01694915254237288,0.011299435028248588,0.02824858757062147,0.03389830508474576,0.03954802259887006,1.0,0.01694915254237288,0.02824858757062147,0.01694915254237288,0.011299435028248588,0.022598870056497175,0.022598870056497175,0.01694915254237288,0.011299435028248588,0.022598870056497175,0.0,0.01694915254237288,0.011299435028248588,0.01694915254237288,0.005649717514124294,0.01694915254237288,0.011299435028248588,0.022598870056497175,0.022598870056497175,0.0,0.02824858757062147,0.011299435028248588,0.03954802259887006,0.005649717514124294,0.01694915254237288,0.01694915254237288,0.022598870056497175,0.02824858757062147,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.022598870056497175
"GSE18281 PERIMEDULLARY CORTICAL REGION VS
WHOLE CORTEX THYMUS UP",0.04,0.005,0.035,0.015,0.03,0.025,0.015,0.015,1.0,0.31,0.0,0.0,0.015,0.015,0.0,0.015,0.025,0.015,0.02,0.01,0.01,0.03,0.015,0.015,0.01,0.01,0.02,0.015,0.02,0.005,0.03,0.025,0.015,0.01,0.025,0.025,0.015,0.015,0.025,0.01
"GSE18281 SUBCAPSULAR CORTICAL REGION VS WHOLE
MEDULLA THYMUS UP",0.03015075376884422,0.005025125628140704,0.02512562814070352,0.035175879396984924,0.010050251256281407,0.020100502512562814,0.03015075376884422,0.02512562814070352,0.31155778894472363,1.0,0.0,0.0,0.01507537688442211,0.01507537688442211,0.0,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.020100502512562814,0.010050251256281407,0.020100502512562814,0.005025125628140704,0.020100502512562814,0.010050251256281407,0.02512562814070352,0.02512562814070352,0.0,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.005025125628140704,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.010050251256281407,0.0
"GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN",0.01,0.0,0.0,0.02,0.005,0.035,0.005,0.015,0.0,0.0,1.0,0.55,0.19,0.18,0.045,0.01,0.025,0.0,0.005,0.01,0.005,0.055,0.0,0.005,0.005,0.0,0.005,0.01,0.01,0.005,0.025,0.015,0.03,0.025,0.02,0.01,0.0,0.01,0.0,0.0
"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP",0.005,0.005,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.55,1.0,0.2,0.17,0.04,0.02,0.005,0.015,0.0,0.03,0.005,0.055,0.0,0.015,0.015,0.0,0.005,0.0,0.005,0.0,0.01,0.01,0.02,0.015,0.01,0.0,0.01,0.005,0.015,0.01
GSE42088 UNINF VS LEISHMANIA INF DC 2H DN,0.005,0.0,0.015,0.01,0.01,0.045,0.015,0.02,0.015,0.015,0.19,0.2,1.0,0.425,0.01,0.045,0.015,0.035,0.025,0.005,0.015,0.035,0.02,0.015,0.01,0.015,0.015,0.01,0.015,0.01,0.03,0.025,0.015,0.025,0.005,0.015,0.015,0.01,0.015,0.005
GSE42088 UNINF VS LEISHMANIA INF DC 4H DN,0.01507537688442211,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.020100502512562814,0.005025125628140704,0.020100502512562814,0.01507537688442211,0.01507537688442211,0.18090452261306533,0.1708542713567839,0.4271356783919598,1.0,0.01507537688442211,0.03015075376884422,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.01507537688442211,0.020100502512562814,0.03015075376884422,0.005025125628140704,0.01507537688442211,0.005025125628140704,0.01507537688442211,0.01507537688442211,0.005025125628140704,0.02512562814070352,0.04020100502512563,0.02512562814070352,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.03015075376884422,0.02512562814070352,0.010050251256281407
GSE13485 DAY1 VS DAY21 YF17D VACCINE PBMC DN,0.0,0.0,0.015306122448979591,0.0,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.015306122448979591,0.0,0.0,0.04591836734693878,0.04081632653061224,0.01020408163265306,0.015306122448979591,1.0,0.015306122448979591,0.00510204081632653,0.01020408163265306,0.01020408163265306,0.0,0.01020408163265306,0.015306122448979591,0.0,0.00510204081632653,0.00510204081632653,0.02040816326530612,0.0,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.02040816326530612,0.015306122448979591,0.00510204081632653,0.0,0.0,0.0,0.0,0.01020408163265306
GSE25677 MPL VS R848 STIM BCELL DN,0.04419889502762431,0.011049723756906077,0.03867403314917127,0.0055248618784530384,0.016574585635359115,0.03314917127071823,0.016574585635359115,0.011049723756906077,0.016574585635359115,0.022099447513812154,0.011049723756906077,0.022099447513812154,0.049723756906077346,0.03314917127071823,0.016574585635359115,1.0,0.08287292817679558,0.03867403314917127,0.03867403314917127,0.022099447513812154,0.027624309392265192,0.027624309392265192,0.04419889502762431,0.016574585635359115,0.022099447513812154,0.027624309392265192,0.022099447513812154,0.016574585635359115,0.016574585635359115,0.011049723756906077,0.03314917127071823,0.016574585635359115,0.03314917127071823,0.027624309392265192,0.011049723756906077,0.03314917127071823,0.0055248618784530384,0.011049723756906077,0.022099447513812154,0.03314917127071823
GSE40666 WT VS STAT1 KO CD8 TCELL UP,0.035,0.025,0.01,0.01,0.015,0.035,0.02,0.02,0.025,0.015,0.025,0.005,0.015,0.015,0.005,0.075,1.0,0.03,0.03,0.035,0.04,0.01,0.04,0.035,0.01,0.015,0.035,0.035,0.075,0.01,0.005,0.01,0.05,0.03,0.02,0.035,0.02,0.025,0.01,0.005
GSE12392 WT VS IFNAR KO CD8A NEG SPLEEN DC UP,0.015,0.01,0.04,0.025,0.005,0.015,0.015,0.0,0.015,0.015,0.0,0.015,0.035,0.005,0.01,0.035,0.03,1.0,0.04,0.02,0.02,0.015,0.025,0.025,0.03,0.025,0.015,0.015,0.04,0.02,0.015,0.025,0.025,0.015,0.015,0.025,0.005,0.02,0.02,0.03
GSE19198 6H VS 24H IL21 TREATED TCELL DN,0.015151515151515152,0.010101010101010102,0.03535353535353535,0.005050505050505051,0.0,0.045454545454545456,0.020202020202020204,0.015151515151515152,0.020202020202020204,0.010101010101010102,0.005050505050505051,0.0,0.025252525252525252,0.010101010101010102,0.010101010101010102,0.03535353535353535,0.030303030303030304,0.04040404040404041,1.0,0.045454545454545456,0.030303030303030304,0.010101010101010102,0.030303030303030304,0.020202020202020204,0.010101010101010102,0.025252525252525252,0.005050505050505051,0.025252525252525252,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.010101010101010102,0.015151515151515152,0.020202020202020204,0.025252525252525252,0.025252525252525252,0.010101010101010102,0.025252525252525252,0.03535353535353535,0.020202020202020204
GSE11386 NAIVE VS MEMORY BCELL DN,0.03164556962025317,0.0189873417721519,0.0189873417721519,0.006329113924050633,0.0379746835443038,0.006329113924050633,0.03164556962025317,0.012658227848101266,0.012658227848101266,0.0189873417721519,0.012658227848101266,0.0379746835443038,0.006329113924050633,0.012658227848101266,0.0,0.02531645569620253,0.04430379746835443,0.02531645569620253,0.056962025316455694,1.0,0.0379746835443038,0.012658227848101266,0.04430379746835443,0.05063291139240506,0.0189873417721519,0.0189873417721519,0.05063291139240506,0.0189873417721519,0.056962025316455694,0.056962025316455694,0.03164556962025317,0.006329113924050633,0.0189873417721519,0.012658227848101266,0.03164556962025317,0.0379746835443038,0.006329113924050633,0.006329113924050633,0.012658227848101266,0.02531645569620253
GSE4984 UNTREATED VS LPS TREATED DC UP,0.006622516556291391,0.006622516556291391,0.026490066225165563,0.019867549668874173,0.026490066225165563,0.033112582781456956,0.033112582781456956,0.019867549668874173,0.013245033112582781,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.019867549668874173,0.019867549668874173,0.013245033112582781,0.033112582781456956,0.052980132450331126,0.026490066225165563,0.039735099337748346,0.039735099337748346,1.0,0.013245033112582781,0.019867549668874173,0.033112582781456956,0.026490066225165563,0.006622516556291391,0.039735099337748346,0.026490066225165563,0.026490066225165563,0.019867549668874173,0.019867549668874173,0.033112582781456956,0.013245033112582781,0.013245033112582781,0.026490066225165563,0.046357615894039736,0.0,0.006622516556291391,0.019867549668874173,0.019867549668874173
