"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","4","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=40)","6","rank=6; score=0.001867","rank=4; score=50.114; p=4.0413e-14; adjP=6.0942e-12"
"2","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","6","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=5); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=10)","11","rank=11; score=0.003111","rank=6; score=157.88; p=1.7469e-17; adjP=6.5859e-15"
"3","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=18; score=0.006098","rank=1; score=328.19; p=1.2895e-39; adjP=1.3411e-37"
"4","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","2","5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=57); GTEx--Coexpression(rank=70); Enrichr--Queries(rank=575)","29","rank=29; score=0.0086","rank=2; score=57.485; p=4.3413e-12; adjP=2.9757e-10"
"5","E2F7","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","34.0","7","5","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=45)","7","rank=7; score=0.002457","rank=61; score=142.86; p=1.3335e-08; adjP=5.0273e-07"
"6","BACH1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","36.5","29","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=60); Enrichr--Queries(rank=272); ARCHS4--Coexpression(rank=381); GTEx--Coexpression(rank=585)","44","rank=44; score=0.0122","rank=29; score=53.439; p=7.0515e-13; adjP=5.9076e-11"
"7","NFYB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.0","20","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=18); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=258); GTEx--Coexpression(rank=573)","62","rank=62; score=0.0172","rank=20; score=18.762; p=7.7279e-07; adjP=1.1481e-05"
"8","E2F6","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.0","10","5","ENCODE--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=181); GTEx--Coexpression(rank=1267)","74","rank=74; score=0.02027","rank=10; score=29.253; p=1.5895e-09; adjP=4.1327e-08"
"9","E2F3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.5","17","3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","rank=76; score=0.02066","rank=17; score=108.91; p=6.538e-05; adjP=0.003882"
"10","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.0","49","6","ENCODE--ChIP-seq(rank=11); Literature--ChIP-seq(rank=19); ARCHS4--Coexpression(rank=27); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=763); GTEx--Coexpression(rank=1521)","59","rank=59; score=0.01658","rank=49; score=21.568; p=1.3251e-07; adjP=3.223e-06"
