"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=2; score=0.0006223","rank=2; score=5779.7; p=2.2426e-84; adjP=1.6819e-81"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.5","3","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=12; score=0.003111","rank=3; score=120.53; p=1.0285e-24; adjP=1.5428e-22"
"3","TFDP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","7","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","rank=10; score=0.002489","rank=7; score=295.38; p=6.2259e-06; adjP=0.00058834"
"4","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=20; score=0.006734","rank=1; score=1790.7; p=3.7756e-95; adjP=3.9266e-93"
"5","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","8","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=9); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=30)","8","rank=8; score=0.002137","rank=20; score=47.89; p=2.1501e-11; adjP=2.0157e-09"
"6","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","5","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=33; score=0.01044","rank=5; score=46.151; p=7.5764e-07; adjP=9.5463e-05"
"7","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","21","6","ARCHS4--Coexpression(rank=11); ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=52); Literature--ChIP-seq(rank=155); Enrichr--Queries(rank=280); GTEx--Coexpression(rank=981)","21","rank=21; score=0.006757","rank=21; score=14.35; p=0.0070889; adjP=0.12604"
"8","IRF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","15","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=842); Enrichr--Queries(rank=942); GTEx--Coexpression(rank=1388)","32","rank=32; score=0.0101","rank=15; score=48.525; p=5.4538e-12; adjP=3.7086e-10"
"9","E2F3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.0","19","3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","rank=47; score=0.01351","rank=19; score=76.976; p=0.00055022; adjP=0.025998"
"10","NFYB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","9","5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=38); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=1497)","60","rank=60; score=0.01684","rank=9; score=68.072; p=4.3046e-17; adjP=1.1192e-15"
