"Dataset","Plot_Category","Significant_Terms","Kept_Terms","Excluded_Terms","Excluded_Percent"
"GSE50760","ATF3_correlation","16425","8724","7701","46.88584474885845"
"GSE50760","ATF3_high_low_DE","16392","7700","8692","53.02586627623230"
"GSE50760","Main_DE","18810","9377","9433","50.14885699096225"
