"ID","P","HR","CI_low_0.95","CI_up_0.95"
"B_cells_quantiseq","0.003159948333871482","67018469573.3299","4340.6578","1034745313033110016.0000"
"Neutrophils_quantiseq","0.116658622242784851","0.0003","0.0000","7.8284"
"T_cells_CD4_quantiseq","0.296220774073343129","146.2012","0.0127","1687008.4419"
"Tregs_quantiseq","0.306662544112353386","0.0007","0.0000","741.0373"
"NK_cells_quantiseq","0.391534027334194845","0.0000","0.0000","1921190.2296"
"Macrophages_M2_quantiseq","0.400757495074235359","105.2295","0.0020","5481005.7382"
"Dendritic_cells_quantiseq","0.522295294562538537","0.0000","0.0000","16534602691289804710788997970603419465666977288462458699552503090818887360976009665420563074051588319832152394924608704364533542320927911360593920.0000"
"T_cells_CD8_quantiseq","0.556931294653591369","56.1230","0.0001","38494759.8728"
"Macrophages_M1_quantiseq","0.737103891790142352","0.3305","0.0005","212.2260"
"Other_quantiseq","0.942193741270165752","1.1077","0.0698","17.5918"
"Monocytes_quantiseq","0.995363048280093032","0.0000","0.0000","Inf"
