"TF","HVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-13.27464790036708919","-13.27464790036708919","13.27464790036708919","Repressed","1","viper","1","13.27464790036708919",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=61); ARCHS4--Coexpression(rank=178); GTEx--Coexpression(rank=540)","19","0.00673400000000000","ReMap ChIP-seq,0.006734"
"E2F1","-7.29880311087400457","-7.29880311087400457","7.29880311087400457","Repressed","2","viper","2","7.29880311087400457",NA,NA,"6","Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=6); ENCODE--ChIP-seq(rank=7); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=11)","12","0.00427400000000000","Enrichr Queries,0.004274"
"E2F2","-5.97738734613810330","-5.97738734613810330","5.97738734613810330","Repressed","3","viper","3","5.97738734613810330",NA,NA,"3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=10); GTEx--Coexpression(rank=728)","8","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"FOXM1","-5.48831252168121342","-5.48831252168121342","5.48831252168121342","Repressed","4","viper","4","5.48831252168121342",NA,NA,"6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=5)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"ZFX","-5.17280088271281002","-5.17280088271281002","5.17280088271281002","Repressed","5","viper","5","5.17280088271281002",NA,NA,"5","ReMap--ChIP-seq(rank=41); Literature--ChIP-seq(rank=54); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=849); GTEx--Coexpression(rank=986)","499","0.13800000000000001","ReMap ChIP-seq,0.138"
"MYC","-4.93034073020288233","-4.93034073020288233","4.93034073020288233","Repressed","6","viper","6","4.93034073020288233",NA,NA,"6","Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=118); GTEx--Coexpression(rank=271)","111","0.03049000000000000","Literature ChIP-seq,0.03049"
"TFDP1","-4.84506152687391900","-4.84506152687391900","4.84506152687391900","Repressed","7","viper","7","4.84506152687391900",NA,NA,"4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=16); Enrichr--Queries(rank=16)","9","0.00248900000000000","GTEx Coexpression,0.002489"
"E2F3","-4.79632017788644216","-4.79632017788644216","4.79632017788644216","Repressed","8","viper","8","4.79632017788644216",NA,NA,"3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=29); GTEx--Coexpression(rank=839)","36","0.01106000000000000","ARCHS4 Coexpression,0.01106"
"ZNF263","-4.78153024446640185","-4.78153024446640185","4.78153024446640185","Repressed","9","viper","9","4.78153024446640185",NA,NA,"6","ENCODE--ChIP-seq(rank=62); Literature--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=162); Enrichr--Queries(rank=220); ARCHS4--Coexpression(rank=307); GTEx--Coexpression(rank=1426)","562","0.15670000000000001","Enrichr Queries,0.1567"
"TEAD4","4.23158322358606043","4.23158322358606043","4.23158322358606043","Activated","10","viper","10","4.23158322358606043",NA,NA,"6","ENCODE--ChIP-seq(rank=36); Enrichr--Queries(rank=57); ARCHS4--Coexpression(rank=65); Literature--ChIP-seq(rank=67); ReMap--ChIP-seq(rank=121); GTEx--Coexpression(rank=960)","146","0.03993000000000000","ARCHS4 Coexpression,0.03993"
"EBF1","3.95012708647263544","3.95012708647263544","3.95012708647263544","Activated","11","viper","11","3.95012708647263544",NA,NA,"5","ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=1185); Enrichr--Queries(rank=1312); ARCHS4--Coexpression(rank=1576)","1171","0.39389999999999997","ReMap ChIP-seq,0.3939"
