"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","TP53","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.83333333333334","2","5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=503)","134","rank=25; score=0.93059; p=0.11733","rank=134; score=0.02707","rank=241; score=0.12111; direction=Repressed","rank=30; score=34.296; p=0.079056; adjP=0.082623","rank=23; score=1.1021; p=0.079057","rank=2; score=4.8678; p=1.1288e-06; direction=Repressed"
"2","ATF4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.83333333333333","35","4","GTEx--Coexpression(rank=44); ARCHS4--Coexpression(rank=211); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=557)","135","rank=35; score=0; p=1","rank=135; score=0.02738","rank=136; score=0.79385; direction=Activated","rank=47; score=932.06; p=0.0064824; adjP=0.015783","rank=39; score=0; p=1","rank=75; score=1.6089; p=0.10763; direction=Repressed"
"3","ETS1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.50000000000000","20","6","ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=85); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=641); GTEx--Coexpression(rank=859)","183","rank=20; score=1.1537; p=0.070195","rank=183; score=0.03808","rank=75; score=1.1608; direction=Repressed","rank=132; score=6.3225; p=0.15064; adjP=0.67066","rank=83; score=0; p=1","rank=32; score=1.9417; p=0.05217; direction=Repressed"
"4","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","97.50000000000000","1","6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=1405)","369","rank=62; score=0; p=1","rank=369; score=0.08415","rank=1; score=5.4811; direction=Repressed","rank=83; score=2.9992; p=0.26389; adjP=0.67066","rank=69; score=0; p=1","rank=1; score=5.3654; p=8.0754e-08; direction=Repressed"
"5","FOXO1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","102.00000000000000","9","5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=223); GTEx--Coexpression(rank=363); ARCHS4--Coexpression(rank=1048)","175","rank=9; score=1.6717; p=0.021298","rank=175; score=0.03659","rank=50; score=1.4985; direction=Activated","rank=63; score=427.12; p=0.011938; adjP=0.019724","rank=16; score=1.9231; p=0.011938","rank=299; score=0.77623; p=0.43762; direction=Repressed"
"6","ESR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","104.16666666666667","21","6","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=104); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=1037); GTEx--Coexpression(rank=1592)","231","rank=22; score=1.123; p=0.075335","rank=231; score=0.04986","rank=214; score=0.32117; direction=Repressed","rank=102; score=96.979; p=0.037365; adjP=0.044371","rank=21; score=1.4275; p=0.037365","rank=35; score=1.9338; p=0.053136; direction=Repressed"
"7","JUN","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","107.33333333333333","71","6","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=24); ENCODE--ChIP-seq(rank=38); ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=1044); GTEx--Coexpression(rank=1375)","71","rank=115; score=0; p=1","rank=71; score=0.01474","rank=101; score=0.97683; direction=Activated","rank=117; score=8.3184; p=0.11854; adjP=0.67066","rank=149; score=0; p=1","rank=91; score=1.5197; p=0.12859; direction=Repressed"
"8","FOXA1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","109.33333333333333","33","6","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=607); Enrichr--Queries(rank=961); GTEx--Coexpression(rank=1245)","100","rank=84; score=0; p=1","rank=100; score=0.0202","rank=128; score=0.82141; direction=Activated","rank=33; score=40.908; p=0.021193; adjP=0.61414","rank=93; score=0; p=1","rank=218; score=1.0205; p=0.30751; direction=Activated"
"9","NRF1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","114.83333333333333","45","5","ARCHS4--Coexpression(rank=38); ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=111); GTEx--Coexpression(rank=818); Enrichr--Queries(rank=923)","113","rank=172; score=0; p=1","rank=113; score=0.02334","rank=56; score=1.3694; direction=Repressed","rank=90; score=0.49787; p=0.62786; adjP=0.76739","rank=213; score=0; p=1","rank=45; score=1.8339; p=0.06667; direction=Repressed"
"10","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","120.16666666666667","5","6","ENCODE--ChIP-seq(rank=33); Literature--ChIP-seq(rank=68); GTEx--Coexpression(rank=76); ReMap--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=776); Enrichr--Queries(rank=936)","221","rank=146; score=0; p=1","rank=221; score=0.04729","rank=25; score=1.9884; direction=Repressed","rank=143; score=0.79402; p=0.52398; adjP=0.67633","rank=181; score=0; p=1","rank=5; score=2.9492; p=0.0031864; direction=Repressed"
