"TF","HVL_HUB098"
"AHR","2.86470507962713627"
"AR","1.35153522129074743"
"ARID2","3.32158135966784940"
"ARID3A","0.90487406287074656"
"ARNT","5.97529011371132235"
"ARNTL","-0.53891812471903977"
"ASCL1","2.42447328855467426"
"ATF1","0.63086205698176689"
"ATF2","1.16502134998636553"
"ATF3","-0.64187748015914015"
"ATF4","1.56552783111044280"
"ATF6","-1.21146096374820678"
"ATF7","5.29121770344789510"
"BACH1","1.83802416365527366"
"BACH2","2.45251773127281147"
"BATF","3.20281041438954350"
"BCL11A","4.72314640210317638"
"BCL6","-3.87313864480231995"
"BHLHE22","-1.85071337288630211"
"BHLHE40","-1.74830944698611823"
"CDX2","-0.79829082415381991"
"CEBPA","2.00400568517181643"
"CEBPB","2.35840953301421674"
"CEBPD","2.96360578688085985"
"CEBPG","4.92462103031372944"
"CLOCK","2.99508079950597272"
"CREB1","1.56316376942909918"
"CREB3","-0.80672177448742899"
"CREB3L1","-0.65614687359991775"
"CREM","3.79911508341529736"
"CTCF","0.53263959171224851"
"CTCFL","-0.62518102550572596"
"CUX1","1.90221590554989906"
"DUX4","1.32488994923045444"
"E2F1","-3.34539189824861438"
"E2F2","-2.95046628734004202"
"E2F3","-2.70201337942137032"
"E2F4","-8.90134287667843971"
"E2F5","-1.28480628215729298"
"E2F6","-0.30719045676605733"
"E2F7","-0.71848396403942127"
"EBF1","4.37000300530493568"
"EGR1","-0.02393008571295950"
"EHF","2.68964283500508961"
"ELF1","1.85150622470032333"
"ELF3","3.82277300203528547"
"ELF5","0.17644809980457019"
"ELK1","-2.19311545350347581"
"ELK4","-1.58721059951605548"
"EOMES","3.32014377663725568"
"EPAS1","1.28318941369956363"
"ERG","-0.81406713721952706"
"ESR1","1.18504442958071476"
"ESR2","0.32959591360006085"
"ESRRA","2.60824513266717606"
"ETS1","1.74036997485997302"
"ETS2","-1.95889519804998113"
"ETV1","2.84947105330226158"
"ETV4","1.55648906418682054"
"FLI1","0.49405867936754261"
"FOS","2.30649013241749268"
"FOSL1","2.16865417102873304"
"FOSL2","-0.30791256448837939"
"FOXA1","1.23621306788618290"
"FOXJ2","2.04689718859757397"
"FOXK2","0.26698915350374824"
"FOXL2","0.65331899080529598"
"FOXM1","-4.50095790873947532"
"FOXO1","3.23440872907036603"
"FOXO3","1.48186275721156768"
"FOXO4","3.67417110699846727"
"FOXP1","-8.50262926445867251"
"FOXP2","-1.79809255318009820"
"GABPA","0.83956882767383278"
"GATA1","0.26150677853094528"
"GATA2","-1.74181642870982900"
"GATA3","3.09602971121240245"
"GATA4","0.99547664422832527"
"GATA6","3.50112713361708483"
"GFI1B","3.63955833948999619"
"GLI2","0.11457290525524186"
"GRHL2","4.45344671347217069"
"HBP1","-1.54924279391216024"
"HHEX","0.06703849021625907"
"HIF1A","2.95099674986822036"
"HINFP","-0.22430251328520817"
"HMBOX1","-4.06089005845285556"
"HNF1B","4.71143901512670737"
"HNF4A","1.22036939132276379"
"HNF4G","4.90080713071783958"
"HOXA9","1.15882624421387015"
"HOXB13","3.81014886149481047"
"HSF1","-0.98490511751869303"
"IKZF1","3.33032232805091821"
"IRF1","3.12861648142957316"
"IRF2","1.91592976820220451"
"IRF3","-3.57905761956396162"
"IRF4","3.78867282084571499"
"IRF9","2.51433451944969022"
"JUN","2.16842356355324561"
"JUNB","0.62977671004326785"
"JUND","0.07321795526446527"
"KDM5B","0.97992246481390566"
"KLF1","-0.78289560813463277"
"KLF13","2.99409242764628747"
"KLF3","2.10797355548909238"
"KLF4","0.53883954796114486"
"KLF5","-2.52673432792169139"
"KLF6","1.39626852268522406"
"KLF9","0.59099889194907584"
"KMT2A","-1.62311184539373010"
"LEF1","-0.72885283953401003"
"LHX2","0.50661927580977473"
"LYL1","3.42766264873952009"
"MAF","0.32687045152739846"
"MAFB","5.21747821990472360"
"MAFF","2.75494614985640096"
"MAFG","3.95682719231670843"
"MAFK","5.56678701377563634"
"MAX","1.07069457894432629"
"MAZ","-3.70535918266913011"
"MBD1","3.78650228703454905"
"MBD2","-0.23319597192760774"
"MEF2A","7.29540655161695550"
"MEF2B","1.01866406506737461"
"MEF2C","3.33167884240027812"
"MEIS1","4.73530618580424001"
"MEIS2","4.24827053709027158"
"MITF","2.83536443993394061"
"MNT","2.35996532508223078"
"MXI1","-0.94701443982836508"
"MYB","-2.41754527942250874"
"MYBL2","-0.06892816163984938"
"MYC","-1.75778814205609391"
"MYCN","0.61795621813681678"
"MYOD1","5.03314527112388621"
"NANOG","4.37370375064870132"
"NCOA1","4.62930877248347539"
"NCOA2","5.11480404020925672"
"NCOA3","5.17961166288178365"
"NEUROD1","-1.30081393337618523"
"NFATC1","2.07009737617775080"
"NFE2","3.62169434212459285"
"NFE2L1","4.47700966990785520"
"NFE2L2","3.13356029420575766"
"NFIC","-1.62155742262523761"
"NFKB1","5.63576716924836507"
"NFKB2","0.19893829999458398"
"NFYA","-2.18653047224231978"
"NFYB","-1.85840856053302583"
"NR1H2","0.18849591737547275"
"NR1H3","0.72578648403275225"
"NR2C2","-1.67125441371710193"
"NR2F1","2.07831718047722003"
"NR2F6","-1.90612421152747458"
"NR3C1","-0.55502767229253580"
"NR4A1","3.44200820651688888"
"NR5A2","1.04893836478045199"
"NRF1","-1.71443937821337666"
"ONECUT1","5.31769032395946706"
"OTX2","4.75813747785102237"
"PAX5","-0.85911467719251255"
"PAX6","2.05809773155812437"
"PAX8","-1.10753488652996213"
"PBX2","3.50739422281612034"
"PBX3","4.48743355463206051"
"PDX1","6.01963703557724905"
"PGR","0.22801047559880452"
"PKNOX1","1.01429890286939184"
"POU2F1","1.12081188859871350"
"POU2F2","0.97813148795874527"
"POU4F2","4.81423163110460095"
"POU5F1","5.30650479991101864"
"PPARA","1.39531010724856874"
"PPARG","2.07527822110482107"
"PRDM1","3.42978167269427470"
"PRDM14","4.19227021237892394"
"PROX1","2.89010628629303090"
"RARA","4.53009716235859994"
"RBPJ","4.20410311585711405"
"REL","0.89147359209065025"
"RELA","4.92617453906050429"
"RELB","2.88369756744031847"
"RFX1","-0.95848853288571745"
"RFX2","-1.22850439340016471"
"RFX5","3.17649272472210731"
"RUNX1","2.54646134099276988"
"RUNX2","6.20627726980813499"
"RUNX3","0.32365628468983543"
"RXRA","-0.23699945985438989"
"SIX2","6.55066734211766466"
"SIX5","-3.38237840172079407"
"SMAD1","2.04618516697674258"
"SMAD3","2.65778145367153940"
"SMAD4","0.44564821232969026"
"SMAD5","-1.49048955017577822"
"SNAI2","-1.27510398481820530"
"SNAPC4","-3.75175304255291264"
"SOX10","1.08287725214731823"
"SOX11","3.45865023092217871"
"SOX13","0.63974285353544169"
"SOX6","3.23887811593189623"
"SOX9","-1.01545038624316630"
"SP1","-1.00262036587742154"
"SP2","-1.17490441341002327"
"SP3","2.65096108662091412"
"SP4","-0.62305929452573450"
"SPI1","2.92118209248189986"
"SPIB","3.02690282768402064"
"SREBF1","2.22889066913728762"
"SREBF2","-0.88678789158069216"
"SRF","-3.40326971793693067"
"STAT1","2.82989475255813350"
"STAT2","3.37491596848654130"
"STAT3","1.05422912114045708"
"STAT4","0.37300428729625906"
"STAT5A","-0.04059142275987352"
"STAT5B","0.68428782043235292"
