Pathway,NUCLEAR CHROMOSOME,CONDENSED NUCLEAR CHROMOSOME,SYNAPTONEMAL STRUCTURE,CONDENSED CHROMOSOME,OUTER KINETOCHORE,CHROMOSOMAL REGION,CHROMOSOME TELOMERIC REGION,CMG COMPLEX,REPLICATION FORK,NUCLEAR REPLICATION FORK,CELL SUBSTRATE JUNCTION,CELL CELL CONTACT ZONE,CONTRACTILE MUSCLE FIBER,I BAND,BASEMENT MEMBRANE,SPINDLE,SPINDLE MIDZONE,MITOTIC SPINDLE MIDZONE,MITOTIC SPINDLE,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,SPINDLE POLE,CHROMOSOME PASSENGER COMPLEX,CENTRIOLE,SECRETORY GRANULE MEMBRANE,GAMMA SECRETASE COMPLEX,ATP BINDING CASSETTE ABC TRANSPORTER COMPLEX,AUTOPHAGOSOME MEMBRANE,AMPHISOME,ENDOCYTIC VESICLE,AXONEME,CYTOPLASMIC REGION,AXONEMAL MICROTUBULE,CHROMOSOME CENTROMERIC REGION,PERICENTRIC HETEROCHROMATIN,CONDENSIN COMPLEX,ENDONUCLEASE COMPLEX,PROTEASOME STORAGE GRANULE,TRANSPORT VESICLE,OTHER ORGANISM PART
NUCLEAR CHROMOSOME,1.0,0.3483606557377049,0.1721311475409836,0.42213114754098363,0.004098360655737705,0.32786885245901637,0.18032786885245902,0.045081967213114756,0.20081967213114754,0.18442622950819673,0.0,0.0,0.004098360655737705,0.004098360655737705,0.0,0.0860655737704918,0.01639344262295082,0.004098360655737705,0.028688524590163935,0.0,0.0,0.04918032786885246,0.00819672131147541,0.01639344262295082,0.0,0.0,0.0,0.004098360655737705,0.004098360655737705,0.0,0.012295081967213115,0.012295081967213115,0.0,0.1680327868852459,0.040983606557377046,0.03278688524590164,0.02459016393442623,0.0,0.00819672131147541,0.0
CONDENSED NUCLEAR CHROMOSOME,1.0,1.0,0.49411764705882355,1.0,0.011764705882352941,0.36470588235294116,0.12941176470588237,0.0,0.047058823529411764,0.011764705882352941,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.15294117647058825,0.023529411764705882,0.0,0.047058823529411764,0.0,0.0,0.09411764705882353,0.011764705882352941,0.023529411764705882,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.023529411764705882,0.023529411764705882,0.0,0.23529411764705882,0.023529411764705882,0.09411764705882353,0.011764705882352941,0.0,0.011764705882352941,0.0
SYNAPTONEMAL STRUCTURE,1.0,1.0,1.0,1.0,0.023809523809523808,0.40476190476190477,0.14285714285714285,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0
CONDENSED CHROMOSOME,0.34797297297297297,0.28716216216216217,0.14189189189189189,1.0,0.06756756756756757,0.7702702702702703,0.11486486486486487,0.0,0.02027027027027027,0.010135135135135136,0.02027027027027027,0.0,0.013513513513513514,0.010135135135135136,0.0,0.32432432432432434,0.04054054054054054,0.013513513513513514,0.0945945945945946,0.0,0.0,0.1554054054054054,0.016891891891891893,0.02364864864864865,0.010135135135135136,0.006756756756756757,0.0,0.04054054054054054,0.04054054054054054,0.0033783783783783786,0.02027027027027027,0.04391891891891892,0.0033783783783783786,0.7027027027027027,0.04391891891891892,0.02702702702702703,0.0033783783783783786,0.0,0.02027027027027027,0.0
OUTER KINETOCHORE,0.05,0.05,0.05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.05,0.0,0.15,0.0,0.0,0.45,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CHROMOSOMAL REGION,0.1909307875894988,0.07398568019093078,0.0405727923627685,0.5441527446300716,0.0477326968973747,1.0,0.4224343675417661,0.014319809069212411,0.0477326968973747,0.028639618138424822,0.01909307875894988,0.0,0.00954653937947494,0.007159904534606206,0.0,0.2529832935560859,0.03579952267303103,0.011933174224343675,0.081145584725537,0.0,0.0,0.11694510739856802,0.014319809069212411,0.016706443914081145,0.007159904534606206,0.00477326968973747,0.0,0.031026252983293555,0.028639618138424822,0.00477326968973747,0.007159904534606206,0.026252983293556086,0.0,0.6515513126491647,0.07398568019093078,0.00954653937947494,0.007159904534606206,0.0,0.014319809069212411,0.0
CHROMOSOME TELOMERIC REGION,0.24858757062146894,0.062146892655367235,0.03389830508474576,0.192090395480226,0.0,1.0,1.0,0.03389830508474576,0.096045197740113,0.05649717514124294,0.01694915254237288,0.0,0.0,0.0,0.0,0.06779661016949153,0.005649717514124294,0.0,0.02824858757062147,0.0,0.0,0.022598870056497175,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751412429378531,0.04519774011299435,0.0,0.01694915254237288,0.0,0.005649717514124294,0.0
CMG COMPLEX,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,1.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REPLICATION FORK,0.6282051282051282,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.0,0.2564102564102564,0.21794871794871795,0.01282051282051282,1.0,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.01282051282051282,0.01282051282051282,0.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0
NUCLEAR REPLICATION FORK,1.0,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.0,0.26666666666666666,0.2222222222222222,0.022222222222222223,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.044444444444444446,0.044444444444444446,0.0,0.06666666666666667,0.0,0.0,0.0
