Pathway,INTERFERON ALPHA RESPONSE,APOPTOSIS,IL6 JAK STAT3 SIGNALING,MYOGENESIS,EPITHELIAL MESENCHYMAL TRANSITION,APICAL JUNCTION,TGF BETA SIGNALING,UV RESPONSE UP,PANCREAS BETA CELLS,FATTY ACID METABOLISM,BILE ACID METABOLISM,CHOLESTEROL HOMEOSTASIS
INTERFERON ALPHA RESPONSE,1.0,0.07216494845360824,0.08247422680412371,0.0,0.010309278350515464,0.0,0.0,0.030927835051546393,0.0,0.020618556701030927,0.0,0.010309278350515464
APOPTOSIS,0.043478260869565216,1.0,0.07453416149068323,0.055900621118012424,0.11180124223602485,0.012422360248447204,0.031055900621118012,0.12422360248447205,0.0,0.012422360248447204,0.018633540372670808,0.049689440993788817
IL6 JAK STAT3 SIGNALING,0.09195402298850575,0.13793103448275862,1.0,0.022988505747126436,0.09195402298850575,0.0,0.022988505747126436,0.05747126436781609,0.0,0.011494252873563218,0.0,0.022988505747126436
MYOGENESIS,0.0,0.045,0.01,1.0,0.1,0.06,0.01,0.015,0.0,0.02,0.01,0.015
EPITHELIAL MESENCHYMAL TRANSITION,0.005,0.09,0.04,0.1,1.0,0.085,0.025,0.035,0.0,0.01,0.0,0.01
APICAL JUNCTION,0.0,0.01,0.0,0.06,0.085,1.0,0.01,0.01,0.005,0.015,0.0,0.015
TGF BETA SIGNALING,0.0,0.09259259259259259,0.037037037037037035,0.037037037037037035,0.09259259259259259,0.037037037037037035,1.0,0.07407407407407407,0.0,0.0,0.018518518518518517,0.018518518518518517
UV RESPONSE UP,0.0189873417721519,0.12658227848101267,0.03164556962025317,0.0189873417721519,0.04430379746835443,0.012658227848101266,0.02531645569620253,1.0,0.0,0.056962025316455694,0.0,0.012658227848101266
PANCREAS BETA CELLS,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,1.0,0.0,0.0,0.0
FATTY ACID METABOLISM,0.012658227848101266,0.012658227848101266,0.006329113924050633,0.02531645569620253,0.012658227848101266,0.0189873417721519,0.0,0.056962025316455694,0.0,1.0,0.06962025316455696,0.04430379746835443
BILE ACID METABOLISM,0.0,0.026785714285714284,0.0,0.017857142857142856,0.0,0.0,0.008928571428571428,0.0,0.0,0.09821428571428571,1.0,0.026785714285714284
CHOLESTEROL HOMEOSTASIS,0.013513513513513514,0.10810810810810811,0.02702702702702703,0.04054054054054054,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.02702702702702703,0.0,0.0945945945945946,0.04054054054054054,1.0
