"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.00000000000000","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=1; score=14.69; p=2.0406e-15","rank=18; score=0.006734","rank=2; score=8.9013; direction=Repressed"
"2","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.33333333333333","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=16; score=4.8868; p=1.2977e-05","rank=2; score=0.0006223","rank=31; score=4.501; direction=Repressed"
"3","TCF12","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","21.66666666666667","3","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=316); Enrichr--Queries(rank=731)","50","rank=12; score=5.3319; p=4.6571e-06","rank=50; score=0.01474","rank=3; score=8.8006; direction=Activated"
"4","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.00000000000000","10","4","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=33); ReMap--ChIP-seq(rank=82)","10","rank=17; score=4.7619; p=1.7301e-05","rank=10; score=0.003111","rank=54; score=3.7012; direction=Repressed"
"5","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.66666666666666","6","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=8; score=6.2274; p=5.9234e-07","rank=6; score=0.001867","rank=69; score=3.3454; direction=Repressed"
"6","TEAD4","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","33.33333333333334","6","6","ENCODE--ChIP-seq(rank=24); Enrichr--Queries(rank=34); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=94); GTEx--Coexpression(rank=1105)","87","rank=7; score=6.364; p=4.3253e-07","rank=87; score=0.02422","rank=6; score=6.5789; direction=Activated"
"7","ELF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.00000000000000","39","4","ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=31); GTEx--Coexpression(rank=56); Enrichr--Queries(rank=201)","59","rank=39; score=2.8587; p=0.0013845","rank=59; score=0.01684","rank=46; score=3.8228; direction=Activated"
"8","NFKB1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.00000000000000","11","4","ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=45); GTEx--Coexpression(rank=387); Enrichr--Queries(rank=614)","105","rank=46; score=2.5078; p=0.0031058","rank=105; score=0.02764","rank=11; score=5.6358; direction=Activated"
"9","FOXO1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.66666666666666","20","5","Literature--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=41); ReMap--ChIP-seq(rank=131); Enrichr--Queries(rank=145); GTEx--Coexpression(rank=536)","93","rank=20; score=4.421; p=3.7932e-05","rank=93; score=0.02518","rank=75; score=3.2344; direction=Activated"
"10","TCF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.33333333333333","22","5","Literature--ChIP-seq(rank=50); ARCHS4--Coexpression(rank=57); ReMap--ChIP-seq(rank=102); GTEx--Coexpression(rank=141); Enrichr--Queries(rank=199)","133","rank=22; score=4.3508; p=4.4586e-05","rank=133; score=0.03501","rank=35; score=4.4167; direction=Activated"
