Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,PROTEIN RNA COMPLEX ORGANIZATION,CYTOPLASMIC TRANSLATION,ACUTE PHASE RESPONSE,ORGANIC ACID BIOSYNTHETIC PROCESS,MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS,STEROID METABOLIC PROCESS,DNA TEMPLATED DNA REPLICATION,DNA REPLICATION INITIATION,DNA REPLICATION,RECOMBINATIONAL REPAIR,CELL CYCLE CHECKPOINT SIGNALING,MITOTIC SISTER CHROMATID SEGREGATION,SISTER CHROMATID SEGREGATION,NUCLEAR CHROMOSOME SEGREGATION,CHROMOSOME SEGREGATION,MITOTIC NUCLEAR DIVISION,REGULATION OF CHROMOSOME ORGANIZATION,RNA LOCALIZATION,RNA EXPORT FROM NUCLEUS,ESTABLISHMENT OF RNA LOCALIZATION,MRNA TRANSPORT,NUCLEOBASE CONTAINING COMPOUND TRANSPORT,NUCLEAR EXPORT,NUCLEAR TRANSPORT,NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS,AMINO ACID METABOLIC PROCESS,AMINO ACID BIOSYNTHETIC PROCESS,ALPHA AMINO ACID METABOLIC PROCESS,L AMINO ACID METABOLIC PROCESS,TRNA METABOLIC PROCESS,RNA MODIFICATION,MACROMOLECULE METHYLATION,METHYLATION,MITOCHONDRIAL GENE EXPRESSION
RNA LOCALIZATION,0.06698564593301436,0.05263157894736842,0.014354066985645933,0.05263157894736842,0.019138755980861243,0.004784688995215311,0.07655502392344497,0.05263157894736842,0.0,0.009569377990430622,0.009569377990430622,0.009569377990430622,0.019138755980861243,0.0,0.03827751196172249,0.03349282296650718,0.019138755980861243,0.0430622009569378,0.0430622009569378,0.05263157894736842,0.07177033492822966,0.0430622009569378,0.14354066985645933,1.0,0.4688995215311005,0.7942583732057417,0.645933014354067,0.7799043062200957,0.4880382775119617,0.5645933014354066,0.14832535885167464,0.0,0.0,0.0,0.0,0.019138755980861243,0.05741626794258373,0.023923444976076555,0.023923444976076555,0.014354066985645933
RNA EXPORT FROM NUCLEUS,0.05102040816326531,0.02040816326530612,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.0,0.04081632653061224,0.05102040816326531,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.07142857142857142,1.0,1.0,1.0,0.8877551020408163,1.0,1.0,1.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.02040816326530612,0.030612244897959183,0.030612244897959183,0.030612244897959183,0.0
ESTABLISHMENT OF RNA LOCALIZATION,0.030120481927710843,0.012048192771084338,0.006024096385542169,0.012048192771084338,0.006024096385542169,0.0,0.04216867469879518,0.04819277108433735,0.0,0.006024096385542169,0.006024096385542169,0.012048192771084338,0.024096385542168676,0.0,0.030120481927710843,0.018072289156626505,0.024096385542168676,0.04819277108433735,0.04819277108433735,0.060240963855421686,0.0783132530120482,0.04819277108433735,0.06626506024096386,1.0,0.5903614457831325,1.0,0.8132530120481928,0.9819277108433735,0.6144578313253012,0.7108433734939759,0.13855421686746988,0.0,0.0,0.0,0.0,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.018072289156626505
MRNA TRANSPORT,0.022222222222222223,0.007407407407407408,0.0,0.007407407407407408,0.0,0.0,0.037037037037037035,0.05185185185185185,0.0,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.014814814814814815,0.0,0.022222222222222223,0.014814814814814815,0.014814814814814815,0.037037037037037035,0.037037037037037035,0.044444444444444446,0.06666666666666667,0.037037037037037035,0.05925925925925926,1.0,0.6444444444444445,1.0,1.0,1.0,0.674074074074074,0.7777777777777778,0.14814814814814814,0.0,0.0,0.0,0.0,0.007407407407407408,0.014814814814814815,0.022222222222222223,0.022222222222222223,0.007407407407407408
NUCLEOBASE CONTAINING COMPOUND TRANSPORT,0.02109704641350211,0.008438818565400843,0.004219409282700422,0.008438818565400843,0.004219409282700422,0.0,0.02109704641350211,0.03375527426160337,0.0,0.012658227848101266,0.008438818565400843,0.012658227848101266,0.008438818565400843,0.0,0.012658227848101266,0.008438818565400843,0.008438818565400843,0.029535864978902954,0.029535864978902954,0.03375527426160337,0.05063291139240506,0.029535864978902954,0.03375527426160337,0.6877637130801688,0.41350210970464135,0.6877637130801688,0.569620253164557,1.0,0.43037974683544306,0.4978902953586498,0.09282700421940929,0.004219409282700422,0.0,0.004219409282700422,0.004219409282700422,0.012658227848101266,0.012658227848101266,0.016877637130801686,0.016877637130801686,0.016877637130801686
NUCLEAR EXPORT,0.09392265193370165,0.04419889502762431,0.016574585635359115,0.04419889502762431,0.03314917127071823,0.016574585635359115,0.04419889502762431,0.03867403314917127,0.0055248618784530384,0.016574585635359115,0.016574585635359115,0.0055248618784530384,0.011049723756906077,0.0,0.022099447513812154,0.022099447513812154,0.027624309392265192,0.027624309392265192,0.03314917127071823,0.03867403314917127,0.055248618784530384,0.049723756906077346,0.055248618784530384,0.56353591160221,0.5414364640883977,0.56353591160221,0.5027624309392266,0.56353591160221,1.0,1.0,0.09392265193370165,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.022099447513812154,0.016574585635359115,0.016574585635359115,0.0
NUCLEAR TRANSPORT,0.05232558139534884,0.023255813953488372,0.00872093023255814,0.023255813953488372,0.01744186046511628,0.011627906976744186,0.02616279069767442,0.02616279069767442,0.005813953488372093,0.01744186046511628,0.014534883720930232,0.01744186046511628,0.014534883720930232,0.0029069767441860465,0.02616279069767442,0.014534883720930232,0.03488372093023256,0.03488372093023256,0.0377906976744186,0.046511627906976744,0.06395348837209303,0.04941860465116279,0.046511627906976744,0.3430232558139535,0.28488372093023256,0.3430232558139535,0.30523255813953487,0.3430232558139535,0.5261627906976745,1.0,0.05232558139534884,0.005813953488372093,0.0029069767441860465,0.005813953488372093,0.005813953488372093,0.00872093023255814,0.014534883720930232,0.011627906976744186,0.011627906976744186,0.0
NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS,0.10810810810810811,0.10810810810810811,0.006756756756756757,0.12162162162162163,0.013513513513513514,0.006756756756756757,0.12837837837837837,0.10135135135135136,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.013513513513513514,0.006756756756756757,0.006756756756756757,0.02702702702702703,0.02702702702702703,0.033783783783783786,0.033783783783783786,0.02702702702702703,0.08783783783783784,0.20945945945945946,0.10810810810810811,0.1554054054054054,0.13513513513513514,0.14864864864864866,0.11486486486486487,0.12162162162162163,1.0,0.0,0.0,0.0,0.0,0.060810810810810814,0.08783783783783784,0.060810810810810814,0.060810810810810814,0.006756756756756757
AMINO ACID METABOLIC PROCESS,0.003424657534246575,0.0,0.0,0.003424657534246575,0.0,0.0,0.003424657534246575,0.0136986301369863,0.003424657534246575,0.2979452054794521,0.04452054794520548,0.02054794520547945,0.0,0.0,0.003424657534246575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.003424657534246575,0.00684931506849315,0.0,1.0,0.25,0.7226027397260274,0.6061643835616438,0.17123287671232876,0.02054794520547945,0.017123287671232876,0.03767123287671233,0.05821917808219178
AMINO ACID BIOSYNTHETIC PROCESS,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.9863013698630136,0.0410958904109589,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0,1.0,1.0,0.8904109589041096,0.821917808219178,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0547945205479452,0.0136986301369863
ALPHA AMINO ACID METABOLIC PROCESS,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.3744075829383886,0.061611374407582936,0.02843601895734597,0.0,0.0,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.009478672985781991,0.0,1.0,0.3080568720379147,1.0,0.8388625592417062,0.014218009478672985,0.014218009478672985,0.014218009478672985,0.04265402843601896,0.009478672985781991
L AMINO ACID METABOLIC PROCESS,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.005649717514124294,0.4124293785310734,0.06779661016949153,0.02824858757062147,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.005649717514124294,0.011299435028248588,0.0,1.0,0.3389830508474576,1.0,1.0,0.005649717514124294,0.005649717514124294,0.01694915254237288,0.05084745762711865,0.011299435028248588
TRNA METABOLIC PROCESS,0.09523809523809523,0.09523809523809523,0.01904761904761905,0.15714285714285714,0.023809523809523808,0.004761904761904762,0.023809523809523808,0.01904761904761905,0.0,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.0,0.0,0.004761904761904762,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.014285714285714285,0.004761904761904762,0.014285714285714285,0.009523809523809525,0.014285714285714285,0.04285714285714286,0.23809523809523808,0.004761904761904762,0.014285714285714285,0.004761904761904762,1.0,0.4714285714285714,0.21428571428571427,0.21904761904761905,0.16666666666666666
RNA MODIFICATION,0.22404371584699453,0.2185792349726776,0.04371584699453552,0.2185792349726776,0.060109289617486336,0.03825136612021858,0.1092896174863388,0.0273224043715847,0.0,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.01092896174863388,0.0,0.01092896174863388,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.02185792349726776,0.06557377049180328,0.01639344262295082,0.01639344262295082,0.01092896174863388,0.01639344262295082,0.02185792349726776,0.0273224043715847,0.07103825136612021,0.03278688524590164,0.00546448087431694,0.01639344262295082,0.00546448087431694,0.5409836065573771,1.0,0.4918032786885246,0.4972677595628415,0.11475409836065574
MACROMOLECULE METHYLATION,0.23308270676691728,0.23308270676691728,0.045112781954887216,0.23308270676691728,0.06766917293233082,0.045112781954887216,0.12781954887218044,0.03007518796992481,0.0,0.022556390977443608,0.015037593984962405,0.007518796992481203,0.0,0.0,0.007518796992481203,0.022556390977443608,0.015037593984962405,0.015037593984962405,0.015037593984962405,0.022556390977443608,0.03007518796992481,0.022556390977443608,0.007518796992481203,0.03759398496240601,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.03007518796992481,0.022556390977443608,0.03007518796992481,0.06766917293233082,0.03759398496240601,0.007518796992481203,0.022556390977443608,0.022556390977443608,0.3383458646616541,0.6766917293233082,1.0,1.0,0.07518796992481203
METHYLATION,0.14347826086956522,0.14347826086956522,0.02608695652173913,0.14347826086956522,0.0391304347826087,0.02608695652173913,0.07391304347826087,0.021739130434782608,0.0,0.034782608695652174,0.017391304347826087,0.008695652173913044,0.013043478260869565,0.0,0.021739130434782608,0.013043478260869565,0.017391304347826087,0.008695652173913044,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.013043478260869565,0.008695652173913044,0.021739130434782608,0.013043478260869565,0.013043478260869565,0.013043478260869565,0.017391304347826087,0.013043478260869565,0.017391304347826087,0.0391304347826087,0.04782608695652174,0.017391304347826087,0.0391304347826087,0.0391304347826087,0.2,0.39565217391304347,0.5782608695652174,1.0,0.04782608695652174
