Pathway,RIBOSOME BIOGENESIS,RRNA PROCESSING,MATURATION OF SSU RRNA,RRNA METABOLIC PROCESS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,PROTEIN RNA COMPLEX ORGANIZATION,CYTOPLASMIC TRANSLATION,ACUTE PHASE RESPONSE,ORGANIC ACID BIOSYNTHETIC PROCESS,MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS,STEROID METABOLIC PROCESS,DNA TEMPLATED DNA REPLICATION,DNA REPLICATION INITIATION,DNA REPLICATION,RECOMBINATIONAL REPAIR,CELL CYCLE CHECKPOINT SIGNALING,MITOTIC SISTER CHROMATID SEGREGATION,SISTER CHROMATID SEGREGATION,NUCLEAR CHROMOSOME SEGREGATION,CHROMOSOME SEGREGATION,MITOTIC NUCLEAR DIVISION,REGULATION OF CHROMOSOME ORGANIZATION,RNA LOCALIZATION,RNA EXPORT FROM NUCLEUS,ESTABLISHMENT OF RNA LOCALIZATION,MRNA TRANSPORT,NUCLEOBASE CONTAINING COMPOUND TRANSPORT,NUCLEAR EXPORT,NUCLEAR TRANSPORT,NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS,AMINO ACID METABOLIC PROCESS,AMINO ACID BIOSYNTHETIC PROCESS,ALPHA AMINO ACID METABOLIC PROCESS,L AMINO ACID METABOLIC PROCESS,TRNA METABOLIC PROCESS,RNA MODIFICATION,MACROMOLECULE METHYLATION,METHYLATION,MITOCHONDRIAL GENE EXPRESSION
RIBOSOME BIOGENESIS,1.0,0.7065868263473054,0.218562874251497,0.7125748502994012,0.3413173652694611,0.23952095808383234,0.20359281437125748,0.1317365269461078,0.0,0.014970059880239521,0.011976047904191617,0.0,0.008982035928143712,0.005988023952095809,0.029940119760479042,0.008982035928143712,0.014970059880239521,0.008982035928143712,0.011976047904191617,0.017964071856287425,0.02694610778443114,0.017964071856287425,0.029940119760479042,0.041916167664670656,0.014970059880239521,0.014970059880239521,0.008982035928143712,0.014970059880239521,0.05089820359281437,0.05389221556886228,0.04790419161676647,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.059880239520958084,0.12275449101796407,0.09281437125748503,0.09880239520958084,0.05389221556886228
RRNA PROCESSING,1.0,1.0,0.3093220338983051,1.0,0.3728813559322034,0.2033898305084746,0.17796610169491525,0.09745762711864407,0.0,0.00847457627118644,0.00847457627118644,0.0,0.00423728813559322,0.0,0.012711864406779662,0.00423728813559322,0.012711864406779662,0.00847457627118644,0.012711864406779662,0.0211864406779661,0.029661016949152543,0.012711864406779662,0.03389830508474576,0.046610169491525424,0.00847457627118644,0.00847457627118644,0.00423728813559322,0.00847457627118644,0.03389830508474576,0.03389830508474576,0.06779661016949153,0.0,0.0,0.0,0.0,0.0847457627118644,0.1694915254237288,0.13135593220338984,0.13983050847457626,0.025423728813559324
MATURATION OF SSU RRNA,1.0,1.0,1.0,1.0,1.0,0.0273972602739726,0.1232876712328767,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.0684931506849315,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.0136986301369863,0.0410958904109589,0.0410958904109589,0.0136986301369863,0.0,0.0,0.0,0.0,0.0547945205479452,0.1095890410958904,0.0821917808219178,0.0821917808219178,0.0
RRNA METABOLIC PROCESS,0.8235294117647058,0.8166089965397924,0.25259515570934254,1.0,0.3044982698961938,0.1695501730103806,0.1453287197231834,0.08304498269896193,0.0,0.006920415224913495,0.006920415224913495,0.0,0.006920415224913495,0.0,0.01730103806228374,0.006920415224913495,0.01384083044982699,0.006920415224913495,0.01730103806228374,0.02422145328719723,0.03460207612456748,0.010380622837370242,0.05190311418685121,0.03806228373702422,0.006920415224913495,0.006920415224913495,0.0034602076124567475,0.006920415224913495,0.02768166089965398,0.02768166089965398,0.06228373702422145,0.0034602076124567475,0.0,0.0,0.0,0.11418685121107267,0.1384083044982699,0.10726643598615918,0.11418685121107267,0.020761245674740483
RIBOSOMAL SMALL SUBUNIT BIOGENESIS,1.0,0.7719298245614035,0.6403508771929824,0.7719298245614035,1.0,0.043859649122807015,0.23684210526315788,0.22807017543859648,0.0,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.008771929824561403,0.017543859649122806,0.008771929824561403,0.017543859649122806,0.02631578947368421,0.043859649122807015,0.008771929824561403,0.03508771929824561,0.03508771929824561,0.008771929824561403,0.008771929824561403,0.0,0.008771929824561403,0.05263157894736842,0.05263157894736842,0.017543859649122806,0.0,0.0,0.0,0.0,0.043859649122807015,0.09649122807017543,0.07894736842105263,0.07894736842105263,0.008771929824561403
RIBOSOMAL LARGE SUBUNIT BIOGENESIS,1.0,0.6,0.025,0.6125,0.0625,1.0,0.4,0.1375,0.0,0.025,0.025,0.0,0.0125,0.0,0.075,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.025,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0375,0.05,0.0125,0.0,0.0,0.0,0.0,0.0125,0.0875,0.075,0.075,0.075
PROTEIN RNA COMPLEX ORGANIZATION,0.25,0.15441176470588236,0.03308823529411765,0.15441176470588236,0.09926470588235294,0.11764705882352941,1.0,0.16176470588235295,0.0,0.014705882352941176,0.014705882352941176,0.003676470588235294,0.003676470588235294,0.0,0.01838235294117647,0.01838235294117647,0.025735294117647058,0.011029411764705883,0.011029411764705883,0.014705882352941176,0.022058823529411766,0.01838235294117647,0.04044117647058824,0.058823529411764705,0.014705882352941176,0.025735294117647058,0.01838235294117647,0.01838235294117647,0.029411764705882353,0.03308823529411765,0.06985294117647059,0.003676470588235294,0.0,0.0,0.0,0.01838235294117647,0.07352941176470588,0.0625,0.0625,0.029411764705882353
CYTOPLASMIC TRANSLATION,0.24858757062146894,0.12994350282485875,0.03389830508474576,0.13559322033898305,0.14689265536723164,0.062146892655367235,0.24858757062146894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.011299435028248588,0.011299435028248588,0.011299435028248588,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.062146892655367235,0.02824858757062147,0.04519774011299435,0.03954802259887006,0.04519774011299435,0.03954802259887006,0.05084745762711865,0.0847457627118644,0.022598870056497175,0.0,0.005649717514124294,0.005649717514124294,0.022598870056497175,0.02824858757062147,0.022598870056497175,0.02824858757062147,0.005649717514124294
ACUTE PHASE RESPONSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
ORGANIC ACID BIOSYNTHETIC PROCESS,0.014245014245014245,0.005698005698005698,0.0,0.005698005698005698,0.002849002849002849,0.005698005698005698,0.011396011396011397,0.0,0.011396011396011397,1.0,0.698005698005698,0.21937321937321938,0.002849002849002849,0.0,0.005698005698005698,0.002849002849002849,0.005698005698005698,0.008547008547008548,0.008547008547008548,0.011396011396011397,0.014245014245014245,0.017094017094017096,0.008547008547008548,0.005698005698005698,0.0,0.002849002849002849,0.002849002849002849,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.0,0.24786324786324787,0.20512820512820512,0.22507122507122507,0.20797720797720798,0.005698005698005698,0.005698005698005698,0.008547008547008548,0.022792022792022793,0.008547008547008548
MONOCARBOXYLIC ACID BIOSYNTHETIC PROCESS,0.0163265306122449,0.00816326530612245,0.0,0.00816326530612245,0.004081632653061225,0.00816326530612245,0.0163265306122449,0.0,0.012244897959183673,1.0,1.0,0.31020408163265306,0.004081632653061225,0.0,0.004081632653061225,0.004081632653061225,0.00816326530612245,0.012244897959183673,0.012244897959183673,0.0163265306122449,0.02040816326530612,0.024489795918367346,0.012244897959183673,0.00816326530612245,0.0,0.004081632653061225,0.004081632653061225,0.00816326530612245,0.012244897959183673,0.02040816326530612,0.0,0.053061224489795916,0.012244897959183673,0.053061224489795916,0.04897959183673469,0.004081632653061225,0.004081632653061225,0.00816326530612245,0.0163265306122449,0.012244897959183673
STEROID METABOLIC PROCESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0028328611898017,0.0,0.0084985835694051,0.21813031161473087,0.21529745042492918,1.0,0.0028328611898017,0.0,0.0028328611898017,0.0028328611898017,0.0084985835694051,0.0056657223796034,0.0056657223796034,0.0056657223796034,0.0084985835694051,0.014164305949008499,0.0056657223796034,0.0056657223796034,0.0,0.0056657223796034,0.0028328611898017,0.0084985835694051,0.0028328611898017,0.0169971671388102,0.0,0.0169971671388102,0.0,0.0169971671388102,0.014164305949008499,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0056657223796034,0.0056657223796034
DNA TEMPLATED DNA REPLICATION,0.017241379310344827,0.005747126436781609,0.0,0.011494252873563218,0.0,0.005747126436781609,0.005747126436781609,0.0,0.0,0.005747126436781609,0.005747126436781609,0.005747126436781609,1.0,0.2471264367816092,1.0,0.28735632183908044,0.2413793103448276,0.034482758620689655,0.040229885057471264,0.06321839080459771,0.08620689655172414,0.040229885057471264,0.1206896551724138,0.022988505747126436,0.005747126436781609,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.028735632183908046,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.017241379310344827,0.022988505747126436
DNA REPLICATION INITIATION,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.23255813953488372,0.27906976744186046,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.11627906976744186,0.023255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA REPLICATION,0.03115264797507788,0.009345794392523364,0.0,0.01557632398753894,0.0,0.018691588785046728,0.01557632398753894,0.003115264797507788,0.0,0.006230529595015576,0.003115264797507788,0.003115264797507788,0.5420560747663551,0.13395638629283488,1.0,0.21495327102803738,0.1588785046728972,0.03426791277258567,0.04361370716510903,0.06230529595015576,0.08411214953271028,0.056074766355140186,0.14018691588785046,0.024922118380062305,0.006230529595015576,0.01557632398753894,0.009345794392523364,0.009345794392523364,0.012461059190031152,0.028037383177570093,0.006230529595015576,0.003115264797507788,0.003115264797507788,0.003115264797507788,0.003115264797507788,0.003115264797507788,0.006230529595015576,0.003115264797507788,0.01557632398753894,0.012461059190031152
RECOMBINATIONAL REPAIR,0.015306122448979591,0.00510204081632653,0.0,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.025510204081632654,0.0,0.0,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.25510204081632654,0.05102040816326531,0.3520408163265306,1.0,0.1683673469387755,0.061224489795918366,0.08163265306122448,0.11734693877551021,0.15306122448979592,0.0663265306122449,0.20408163265306123,0.03571428571428571,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.025510204081632654,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.015306122448979591,0.015306122448979591,0.00510204081632653
CELL CYCLE CHECKPOINT SIGNALING,0.024509803921568627,0.014705882352941176,0.0,0.0196078431372549,0.00980392156862745,0.004901960784313725,0.03431372549019608,0.0,0.0,0.00980392156862745,0.00980392156862745,0.014705882352941176,0.20588235294117646,0.058823529411764705,0.25,0.16176470588235295,1.0,0.3088235294117647,0.3235294117647059,0.3431372549019608,0.35294117647058826,0.31862745098039214,0.3480392156862745,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.00980392156862745,0.024509803921568627,0.058823529411764705,0.004901960784313725,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.0196078431372549,0.0
MITOTIC SISTER CHROMATID SEGREGATION,0.014150943396226415,0.009433962264150943,0.0047169811320754715,0.009433962264150943,0.0047169811320754715,0.0047169811320754715,0.014150943396226415,0.009433962264150943,0.0,0.014150943396226415,0.014150943396226415,0.009433962264150943,0.02830188679245283,0.0047169811320754715,0.05188679245283019,0.05660377358490566,0.2971698113207547,1.0,1.0,1.0,1.0,1.0,0.4339622641509434,0.04245283018867924,0.018867924528301886,0.03773584905660377,0.02358490566037736,0.0330188679245283,0.02358490566037736,0.05660377358490566,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0
SISTER CHROMATID SEGREGATION,0.015810276679841896,0.011857707509881422,0.007905138339920948,0.019762845849802372,0.007905138339920948,0.003952569169960474,0.011857707509881422,0.007905138339920948,0.0,0.011857707509881422,0.011857707509881422,0.007905138339920948,0.02766798418972332,0.007905138339920948,0.05533596837944664,0.06324110671936758,0.2608695652173913,0.8379446640316206,1.0,1.0,1.0,0.8379446640316206,0.5138339920948617,0.03557312252964427,0.015810276679841896,0.03162055335968379,0.019762845849802372,0.02766798418972332,0.023715415019762844,0.05138339920948617,0.015810276679841896,0.0,0.0,0.0,0.0,0.0,0.0,0.007905138339920948,0.007905138339920948,0.0
NUCLEAR CHROMOSOME SEGREGATION,0.017341040462427744,0.014450867052023121,0.008670520231213872,0.02023121387283237,0.008670520231213872,0.002890173410404624,0.011560693641618497,0.005780346820809248,0.0,0.011560693641618497,0.011560693641618497,0.005780346820809248,0.031791907514450865,0.014450867052023121,0.057803468208092484,0.06647398843930635,0.2023121387283237,0.6127167630057804,0.7312138728323699,1.0,1.0,0.6242774566473989,0.38439306358381503,0.031791907514450865,0.011560693641618497,0.028901734104046242,0.017341040462427744,0.023121387283236993,0.02023121387283237,0.046242774566473986,0.014450867052023121,0.0,0.0,0.0,0.0,0.0,0.0,0.008670520231213872,0.011560693641618497,0.0
CHROMOSOME SEGREGATION,0.019736842105263157,0.015350877192982455,0.010964912280701754,0.021929824561403508,0.010964912280701754,0.0021929824561403508,0.013157894736842105,0.006578947368421052,0.0021929824561403508,0.010964912280701754,0.010964912280701754,0.006578947368421052,0.03289473684210526,0.010964912280701754,0.05921052631578947,0.06578947368421052,0.15789473684210525,0.4649122807017544,0.5548245614035088,0.7587719298245614,1.0,0.49122807017543857,0.30701754385964913,0.03289473684210526,0.008771929824561403,0.02850877192982456,0.019736842105263157,0.02631578947368421,0.021929824561403508,0.04824561403508772,0.010964912280701754,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.013157894736842105,0.0021929824561403508
MITOTIC NUCLEAR DIVISION,0.02,0.01,0.0033333333333333335,0.01,0.0033333333333333335,0.006666666666666667,0.016666666666666666,0.01,0.013333333333333334,0.02,0.02,0.016666666666666666,0.023333333333333334,0.0033333333333333335,0.06,0.043333333333333335,0.21666666666666667,0.7066666666666667,0.7066666666666667,0.72,0.7466666666666667,1.0,0.30666666666666664,0.03,0.013333333333333334,0.02666666666666667,0.016666666666666666,0.023333333333333334,0.03,0.056666666666666664,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
REGULATION OF CHROMOSOME ORGANIZATION,0.039525691699604744,0.03162055335968379,0.007905138339920948,0.05928853754940711,0.015810276679841896,0.003952569169960474,0.043478260869565216,0.011857707509881422,0.0,0.011857707509881422,0.011857707509881422,0.007905138339920948,0.08300395256916997,0.011857707509881422,0.17786561264822134,0.15810276679841898,0.28063241106719367,0.36363636363636365,0.5138339920948617,0.525691699604743,0.5533596837944664,0.36363636363636365,1.0,0.11857707509881422,0.02766798418972332,0.043478260869565216,0.03162055335968379,0.03162055335968379,0.039525691699604744,0.06324110671936758,0.05138339920948617,0.0,0.0,0.0,0.0,0.007905138339920948,0.015810276679841896,0.003952569169960474,0.007905138339920948,0.0
