"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","ZNF263","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","20.00000000000000","2","6","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=53); Enrichr--Queries(rank=1365); ARCHS4--Coexpression(rank=1379); GTEx--Coexpression(rank=1536)","28","rank=30; score=0.78502; p=0.16405","rank=28; score=0.006734","rank=2; score=9.7263; direction=Repressed"
"2","SP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.33333333333334","5","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=5; score=1.8882; p=0.012936","rank=55; score=0.01347","rank=37; score=2.9602; direction=Activated"
"3","CREB3L1","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;CollecTRI","42.00000000000000","31","4","Enrichr--Queries(rank=10); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=24); GTEx--Coexpression(rank=298)","31","rank=43; score=0.66272; p=0.21741","rank=31; score=0.007123","rank=52; score=2.5915; direction=Activated"
"4","ASCL1","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","57.33333333333334","24","4","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=100); GTEx--Coexpression(rank=595); ARCHS4--Coexpression(rank=794)","70","rank=78; score=0.32986; p=0.46789","rank=70; score=0.01684","rank=24; score=3.4418; direction=Activated"
"5","VDR","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.00000000000000","40","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=95); ARCHS4--Coexpression(rank=572); Enrichr--Queries(rank=743)","143","rank=45; score=0.61197; p=0.24436","rank=143; score=0.03367","rank=40; score=2.92; direction=Activated"
"6","SNAI2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.66666666666667","36","4","ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=113); GTEx--Coexpression(rank=122)","105","rank=92; score=0.26954; p=0.53761","rank=105; score=0.02457","rank=36; score=3.058; direction=Repressed"
"7","PRDM14","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","78.33333333333333","6","5","ReMap--ChIP-seq(rank=26); Literature--ChIP-seq(rank=31); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=953); GTEx--Coexpression(rank=957)","123","rank=106; score=0.17639; p=0.66621","rank=123; score=0.02849","rank=6; score=5.4132; direction=Activated"
"8","MEF2C","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","79.33333333333333","40","5","Enrichr--Queries(rank=20); ENCODE--ChIP-seq(rank=118); GTEx--Coexpression(rank=138); ReMap--ChIP-seq(rank=289); ARCHS4--Coexpression(rank=679)","60","rank=40; score=0.68261; p=0.20768","rank=60; score=0.01425","rank=138; score=0.9977; direction=Repressed"
"9","STAT1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","87.66666666666667","47","6","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Literature--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=228); Enrichr--Queries(rank=370); GTEx--Coexpression(rank=1073)","130","rank=47; score=0.60629; p=0.24758","rank=130; score=0.0303","rank=86; score=1.7852; direction=Activated"
"10","EPAS1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.66666666666666","3","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=3; score=2.0174; p=0.0096063","rank=228; score=0.05352","rank=35; score=3.0762; direction=Activated"
