"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","EGR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","5","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=475)","5","rank=5; score=0.001245","rank=14; score=42.634; p=0.00018161; adjP=0.0028898"
"2","MTF2","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","16.0","4","3","Literature--ChIP-seq(rank=1); GTEx--Coexpression(rank=1412); ARCHS4--Coexpression(rank=1628)","28","rank=28; score=0.006098","rank=4; score=146.17; p=6.4796e-22; adjP=2.4169e-19"
"3","FOSL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","15","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=138); GTEx--Coexpression(rank=395); ARCHS4--Coexpression(rank=866)","41","rank=41; score=0.008475","rank=15; score=20.04; p=0.00021942; adjP=0.037324"
"4","ZNF217","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","39.0","19","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=243); Enrichr--Queries(rank=555); ARCHS4--Coexpression(rank=1018); GTEx--Coexpression(rank=1342)","59","rank=59; score=0.0122","rank=19; score=100.38; p=5.9612e-15; adjP=8.8941e-13"
"5","FOSL1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.0","13","5","ARCHS4--Coexpression(rank=5); ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=22); Enrichr--Queries(rank=132); GTEx--Coexpression(rank=240)","13","rank=13; score=0.003071","rank=75; score=15.079; p=0.00024089; adjP=0.0016248"
"6","PBX3","ChEA3;ENRICHR","4","DoRothEA;ChEA3;VIPER;ENRICHR","46.5","23","5","Enrichr--Queries(rank=21); ENCODE--ChIP-seq(rank=50); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=166); GTEx--Coexpression(rank=549)","70","rank=70; score=0.01496","rank=23; score=13.5; p=0.068982; adjP=0.99901"
"7","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","44","5","Enrichr--Queries(rank=15); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=103); ARCHS4--Coexpression(rank=233); GTEx--Coexpression(rank=249)","52","rank=52; score=0.01068","rank=44; score=17.194; p=6.2091e-05; adjP=0.00053241"
"8","ZEB1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.5","28","5","ENCODE--ChIP-seq(rank=6); GTEx--Coexpression(rank=24); ARCHS4--Coexpression(rank=70); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=188)","69","rank=69; score=0.01493","rank=28; score=19.638; p=0.0013361; adjP=0.13611"
"9","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","50.5","17","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=95); Enrichr--Queries(rank=358); ARCHS4--Coexpression(rank=428); GTEx--Coexpression(rank=432)","84","rank=84; score=0.01829","rank=17; score=79.327; p=5.7318e-14; adjP=4.751e-12"
"10","HES1","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","54.0","21","4","GTEx--Coexpression(rank=7); Enrichr--Queries(rank=90); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=1455)","21","rank=21; score=0.004356","rank=87; score=105.48; p=0.0073528; adjP=0.068632"
