Pathway,NRSF 01,CAGNWMCNNNGAC UNKNOWN,RFX1 02,POU6F1 01,POU3F2 01,OCT1 02,RRAGTTGT UNKNOWN,CP2 01,CP2 02,SREBP1 Q6,SREBP Q3,MZF1 01,PAX4 03,TFIII Q6,GATA2 01,SPZ1 01,ZIC3 01,MAZR 01,LFA1 Q6,AP4 Q6 01,HEB Q6,MYOD 01,T3R Q6,SYATTGTG UNKNOWN,MYCMAX B,MYCMAX 01,AP2 Q6 01,AP2 Q6,AP2 Q3,AHR Q5,SP1 01,SP1 Q2 01,EGR Q6,SP1 Q6 01,MEF2 Q6 01,NFE2 01,GCM Q2,PTF1BETA Q6,YY1 Q6,YY1 02
NRSF 01,1.0,0.5567010309278351,0.061855670103092786,0.020618556701030927,0.041237113402061855,0.05154639175257732,0.010309278350515464,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.010309278350515464,0.041237113402061855,0.05154639175257732,0.020618556701030927,0.010309278350515464,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.030927835051546393,0.05154639175257732,0.041237113402061855,0.030927835051546393,0.061855670103092786,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.041237113402061855,0.010309278350515464,0.08247422680412371,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.061855670103092786,0.020618556701030927,0.030927835051546393,0.010309278350515464
CAGNWMCNNNGAC UNKNOWN,0.6136363636363636,1.0,0.09090909090909091,0.056818181818181816,0.022727272727272728,0.045454545454545456,0.03409090909090909,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.03409090909090909,0.056818181818181816,0.022727272727272728,0.07954545454545454,0.09090909090909091,0.07954545454545454,0.06818181818181818,0.011363636363636364,0.07954545454545454,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.03409090909090909,0.045454545454545456,0.011363636363636364,0.06818181818181818,0.045454545454545456,0.056818181818181816,0.011363636363636364,0.03409090909090909,0.045454545454545456,0.011363636363636364,0.0,0.0
RFX1 02,0.02097902097902098,0.027972027972027972,1.0,0.038461538461538464,0.01048951048951049,0.03146853146853147,0.038461538461538464,0.027972027972027972,0.038461538461538464,0.03496503496503497,0.04195804195804196,0.03146853146853147,0.05244755244755245,0.027972027972027972,0.006993006993006993,0.013986013986013986,0.038461538461538464,0.03146853146853147,0.02097902097902098,0.06643356643356643,0.04895104895104895,0.08041958041958042,0.03146853146853147,0.03496503496503497,0.027972027972027972,0.02097902097902098,0.03496503496503497,0.027972027972027972,0.024475524475524476,0.027972027972027972,0.04195804195804196,0.03496503496503497,0.017482517482517484,0.02097902097902098,0.024475524475524476,0.027972027972027972,0.024475524475524476,0.04195804195804196,0.02097902097902098,0.03146853146853147
POU6F1 01,0.008333333333333333,0.020833333333333332,0.04583333333333333,1.0,0.09166666666666666,0.125,0.075,0.05,0.05,0.041666666666666664,0.05416666666666667,0.041666666666666664,0.058333333333333334,0.025,0.025,0.0375,0.06666666666666667,0.041666666666666664,0.06666666666666667,0.0625,0.041666666666666664,0.029166666666666667,0.05,0.09583333333333334,0.041666666666666664,0.016666666666666666,0.025,0.041666666666666664,0.020833333333333332,0.05416666666666667,0.025,0.0375,0.016666666666666666,0.020833333333333332,0.10416666666666667,0.03333333333333333,0.0375,0.058333333333333334,0.029166666666666667,0.016666666666666666
POU3F2 01,0.0392156862745098,0.0196078431372549,0.029411764705882353,0.21568627450980393,1.0,0.11764705882352941,0.06862745098039216,0.0196078431372549,0.0784313725490196,0.06862745098039216,0.049019607843137254,0.08823529411764706,0.0784313725490196,0.029411764705882353,0.06862745098039216,0.08823529411764706,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.049019607843137254,0.049019607843137254,0.0196078431372549,0.0784313725490196,0.08823529411764706,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.029411764705882353,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.049019607843137254,0.06862745098039216,0.0196078431372549,0.049019607843137254,0.058823529411764705,0.049019607843137254,0.08823529411764706,0.00980392156862745,0.029411764705882353
OCT1 02,0.023255813953488372,0.018604651162790697,0.04186046511627907,0.13953488372093023,0.05581395348837209,1.0,0.05116279069767442,0.06511627906976744,0.06511627906976744,0.06511627906976744,0.06976744186046512,0.046511627906976744,0.05581395348837209,0.037209302325581395,0.03255813953488372,0.06046511627906977,0.08372093023255814,0.03255813953488372,0.05581395348837209,0.05116279069767442,0.03255813953488372,0.06046511627906977,0.03255813953488372,0.05116279069767442,0.037209302325581395,0.023255813953488372,0.009302325581395349,0.05116279069767442,0.023255813953488372,0.06046511627906977,0.03255813953488372,0.04186046511627907,0.06046511627906977,0.013953488372093023,0.07906976744186046,0.037209302325581395,0.06511627906976744,0.09302325581395349,0.05581395348837209,0.04186046511627907
RRAGTTGT UNKNOWN,0.0038910505836575876,0.011673151750972763,0.042801556420233464,0.07003891050583658,0.027237354085603113,0.042801556420233464,1.0,0.03501945525291829,0.03501945525291829,0.04669260700389105,0.038910505836575876,0.027237354085603113,0.05058365758754864,0.011673151750972763,0.01556420233463035,0.04669260700389105,0.054474708171206226,0.042801556420233464,0.042801556420233464,0.038910505836575876,0.027237354085603113,0.054474708171206226,0.023346303501945526,0.019455252918287938,0.0311284046692607,0.042801556420233464,0.05058365758754864,0.04669260700389105,0.06614785992217899,0.042801556420233464,0.0622568093385214,0.05058365758754864,0.03501945525291829,0.03501945525291829,0.038910505836575876,0.011673151750972763,0.038910505836575876,0.07392996108949416,0.03501945525291829,0.042801556420233464
CP2 01,0.011494252873563218,0.007662835249042145,0.03065134099616858,0.04597701149425287,0.007662835249042145,0.05363984674329502,0.034482758620689655,1.0,0.14942528735632185,0.11877394636015326,0.11494252873563218,0.1111111111111111,0.11877394636015326,0.06896551724137931,0.0421455938697318,0.08812260536398467,0.0842911877394636,0.09961685823754789,0.06896551724137931,0.06896551724137931,0.07662835249042145,0.06130268199233716,0.06896551724137931,0.04597701149425287,0.08812260536398467,0.05363984674329502,0.06896551724137931,0.07662835249042145,0.07662835249042145,0.034482758620689655,0.05747126436781609,0.05747126436781609,0.07279693486590039,0.04597701149425287,0.034482758620689655,0.06513409961685823,0.04597701149425287,0.06896551724137931,0.019157088122605363,0.04597701149425287
CP2 02,0.007874015748031496,0.007874015748031496,0.04330708661417323,0.047244094488188976,0.031496062992125984,0.05511811023622047,0.03543307086614173,0.15354330708661418,1.0,0.07086614173228346,0.09055118110236221,0.06299212598425197,0.08267716535433071,0.03543307086614173,0.023622047244094488,0.05905511811023622,0.07086614173228346,0.05905511811023622,0.07874015748031496,0.051181102362204724,0.06299212598425197,0.04330708661417323,0.05511811023622047,0.05511811023622047,0.05905511811023622,0.05511811023622047,0.05905511811023622,0.07874015748031496,0.06299212598425197,0.051181102362204724,0.051181102362204724,0.05905511811023622,0.06299212598425197,0.03543307086614173,0.05511811023622047,0.051181102362204724,0.07086614173228346,0.051181102362204724,0.03937007874015748,0.03543307086614173
SREBP1 Q6,0.012145748987854251,0.004048582995951417,0.04048582995951417,0.04048582995951417,0.02834008097165992,0.05668016194331984,0.048582995951417005,0.12550607287449392,0.0728744939271255,1.0,0.39271255060728744,0.10121457489878542,0.15789473684210525,0.07692307692307693,0.03643724696356275,0.0931174089068826,0.08502024291497975,0.10931174089068826,0.08097165991902834,0.06072874493927125,0.07692307692307693,0.04048582995951417,0.048582995951417005,0.05263157894736842,0.06477732793522267,0.048582995951417005,0.06882591093117409,0.05263157894736842,0.05668016194331984,0.05668016194331984,0.05263157894736842,0.05668016194331984,0.09716599190283401,0.044534412955465584,0.032388663967611336,0.04048582995951417,0.06072874493927125,0.0728744939271255,0.02834008097165992,0.03643724696356275
