"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","rank=1; score=471.78; p=9.9137e-39; adjP=1.031e-36","rank=4; score=5.9422; p=1.1424e-06","rank=1; score=10.914; p=9.8658e-28; direction=Repressed"
"2","E2F1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","1","6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","rank=4; score=165.53; p=4.7122e-12; adjP=1.72e-09","rank=1; score=11.327; p=4.7138e-12","rank=21; score=3.2171; p=0.0012949; direction=Repressed"
"3","TFDP1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.000000000000000","6","4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","rank=22; score=284.53; p=1.5966e-05; adjP=0.00072844","rank=6; score=4.7968; p=1.5967e-05","rank=8; score=3.9171; p=8.9622e-05; direction=Repressed"
"4","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.000000000000000","6","6","Literature--ChIP-seq(rank=64); ENCODE--ChIP-seq(rank=65); Enrichr--Queries(rank=173); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=1000)","480","rank=36; score=27.891; p=0.00037094; adjP=0.011283","rank=9; score=3.4307; p=0.00037095","rank=6; score=4.2912; p=1.7771e-05; direction=Repressed"
"5","FOXM1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.333333333333332","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=3); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=8)","7","rank=2; score=236.25; p=2.2677e-16; adjP=1.7007e-13","rank=7; score=4.6194; p=2.4021e-05","rank=46; score=2.4596; p=0.01391; direction=Repressed"
"6","SMAD4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.000000000000000","10","5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1422); GTEx--Coexpression(rank=1449)","536","rank=20; score=19.522; p=0.0005884; adjP=0.013469","rank=36; score=1.8142; p=0.015339","rank=10; score=3.8356; p=0.00012524; direction=Activated"
"7","HSF1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.666666666666664","28","5","Literature--ChIP-seq(rank=34); ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=212); GTEx--Coexpression(rank=548); ARCHS4--Coexpression(rank=1556)","753","rank=45; score=13.629; p=0.013287; adjP=0.084454","rank=49; score=1.5548; p=0.027872","rank=28; score=2.9028; p=0.0036979; direction=Activated"
"8","EGR1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.666666666666664","37","6","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=98); Enrichr--Queries(rank=153); ARCHS4--Coexpression(rank=413); GTEx--Coexpression(rank=467)","276","rank=37; score=11.455; p=0.016127; adjP=0.092333","rank=40; score=1.7535; p=0.017639","rank=57; score=2.3418; p=0.019192; direction=Activated"
"9","E2F6","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.000000000000000","29","5","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=119); ReMap--ChIP-seq(rank=181); ARCHS4--Coexpression(rank=240); GTEx--Coexpression(rank=1058)","165","rank=62; score=37.399; p=0.026146; adjP=0.15645","rank=47; score=1.5826; p=0.026146","rank=29; score=2.8977; p=0.0037589; direction=Repressed"
"10","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.000000000000000","15","4","ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=868); Enrichr--Queries(rank=1115); ARCHS4--Coexpression(rank=1209)","1172","rank=54; score=33.779; p=0.0017691; adjP=0.037983","rank=15; score=2.7522; p=0.0017691","rank=87; score=2.0844; p=0.037121; direction=Activated"
