Pathway,"GSE24634 TREG VS TCONV POST DAY10 IL4
CONVERSION DN","GSE24634 TREG VS TCONV POST DAY7 IL4
CONVERSION DN",GSE24634 TEFF VS TCONV DAY7 IN CULTURE DN,GSE24634 TEFF VS TCONV DAY10 IN CULTURE DN,GSE24634 TEFF VS TCONV DAY3 IN CULTURE DN,"GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION DN","GSE24634 IL4 VS CTRL TREATED NAIVE CD4 TCELL
DAY5 UP",GSE10325 LUPUS CD4 TCELL VS LUPUS MYELOID DN,GSE10325 LUPUS BCELL VS LUPUS MYELOID DN,GSE10325 BCELL VS MYELOID DN,GSE22886 NAIVE CD8 TCELL VS MONOCYTE DN,GSE22886 NAIVE TCELL VS MONOCYTE DN,GSE22886 NAIVE CD4 TCELL VS MONOCYTE DN,GSE29618 MONOCYTE VS MDC UP,GSE29618 MONOCYTE VS MDC DAY7 FLU VACCINE UP,GSE29618 MONOCYTE VS PDC UP,GSE29618 MONOCYTE VS PDC DAY7 FLU VACCINE UP,"GSE34156 TLR1 TLR2 LIGAND VS NOD2 AND TLR1
TLR2 LIGAND 24H TREATED MONOCYTE UP","GSE34156 UNTREATED VS 6H TLR1 TLR2 LIGAND
TREATED MONOCYTE UP","GSE34156 UNTREATED VS 24H NOD2 LIGAND TREATED
MONOCYTE DN",GSE10325 CD4 TCELL VS MYELOID DN,GSE11057 CD4 EFF MEM VS PBMC DN,GSE11057 PBMC VS MEM CD4 TCELL UP,GSE6259 33D1 POS DC VS CD4 TCELL DN,"GSE30971 CTRL VS LPS STIM MACROPHAGE WBP7 HET
2H DN","GSE2405 0H VS 3H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN","GSE37301 RAG2 KO VS RAG2 AND ETS1 KO NK CELL
UP",GSE20715 0H VS 24H OZONE LUNG DN,GSE20715 0H VS 24H OZONE TLR4 KO LUNG DN,"GSE22196 HEALTHY VS OBESE MOUSE SKIN
GAMMADELTA TCELL UP","GSE34392 ST2 KO VS WT DAY8 LCMV EFFECTOR CD8
TCELL DN","GSE32986 CURDLAN LOWDOSE VS CURDLAN HIGHDOSE
STIM DC DN",GSE7509 DC VS MONOCYTE DN,GSE360 CTRL VS M TUBERCULOSIS DC DN,GSE360 L DONOVANI VS B MALAYI HIGH DOSE DC UP,"GSE19401 PAM2CSK4 VS RETINOIC ACID AND
PAM2CSK4 STIM FOLLICULAR DC DN",GSE360 DC VS MAC L DONOVANI DN,"GSE41176 WT VS TAK1 KO ANTI IGM STIM BCELL 3H
DN",GSE22886 UNSTIM VS IL15 STIM NKCELL DN,GSE24574 BCL6 LOW TFH VS TCONV CD4 TCELL DN
"GSE24634 TREG VS TCONV POST DAY10 IL4
CONVERSION DN",1.0,0.315,0.265,0.31,0.26,0.205,0.21,0.275,0.21,0.19,0.24,0.24,0.225,0.175,0.17,0.165,0.19,0.195,0.19,0.185,0.19,0.165,0.155,0.07,0.1,0.01,0.03,0.03,0.025,0.08,0.065,0.04,0.05,0.04,0.055,0.13,0.055,0.09,0.0,0.02
"GSE24634 TREG VS TCONV POST DAY7 IL4
CONVERSION DN",0.3181818181818182,1.0,0.2222222222222222,0.1919191919191919,0.18686868686868688,0.20202020202020202,0.15151515151515152,0.21212121212121213,0.15656565656565657,0.14646464646464646,0.21212121212121213,0.19696969696969696,0.1919191919191919,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.13131313131313133,0.15151515151515152,0.12626262626262627,0.11616161616161616,0.07575757575757576,0.07575757575757576,0.005050505050505051,0.025252525252525252,0.030303030303030304,0.04040404040404041,0.06060606060606061,0.045454545454545456,0.05555555555555555,0.04040404040404041,0.06060606060606061,0.05555555555555555,0.06565656565656566,0.050505050505050504,0.06565656565656566,0.005050505050505051,0.010101010101010102
GSE24634 TEFF VS TCONV DAY7 IN CULTURE DN,0.265,0.22,1.0,0.195,0.18,0.17,0.085,0.205,0.185,0.165,0.185,0.17,0.175,0.175,0.165,0.12,0.155,0.17,0.145,0.12,0.16,0.12,0.1,0.05,0.055,0.015,0.015,0.04,0.04,0.07,0.06,0.035,0.035,0.045,0.05,0.07,0.085,0.04,0.01,0.015
GSE24634 TEFF VS TCONV DAY10 IN CULTURE DN,0.31,0.19,0.195,1.0,0.19,0.155,0.135,0.21,0.19,0.15,0.19,0.195,0.21,0.125,0.15,0.115,0.12,0.125,0.125,0.12,0.135,0.14,0.075,0.085,0.06,0.01,0.015,0.03,0.03,0.03,0.045,0.045,0.04,0.03,0.03,0.055,0.05,0.065,0.005,0.005
GSE24634 TEFF VS TCONV DAY3 IN CULTURE DN,0.26,0.185,0.18,0.19,1.0,0.175,0.09,0.225,0.175,0.19,0.21,0.19,0.21,0.19,0.19,0.135,0.135,0.155,0.14,0.135,0.16,0.105,0.13,0.11,0.095,0.01,0.015,0.01,0.025,0.07,0.035,0.045,0.08,0.055,0.055,0.08,0.065,0.075,0.0,0.0
"GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION DN",0.205,0.2,0.17,0.155,0.175,1.0,0.155,0.175,0.105,0.13,0.17,0.165,0.16,0.11,0.11,0.1,0.1,0.105,0.115,0.105,0.14,0.1,0.1,0.09,0.045,0.005,0.02,0.015,0.015,0.095,0.04,0.045,0.035,0.025,0.04,0.065,0.05,0.055,0.005,0.025
"GSE24634 IL4 VS CTRL TREATED NAIVE CD4 TCELL
DAY5 UP",0.21,0.15,0.085,0.135,0.09,0.155,1.0,0.18,0.16,0.14,0.135,0.12,0.13,0.075,0.095,0.11,0.125,0.07,0.08,0.08,0.14,0.11,0.11,0.065,0.06,0.015,0.03,0.025,0.03,0.04,0.045,0.03,0.02,0.04,0.045,0.045,0.035,0.02,0.015,0.03
GSE10325 LUPUS CD4 TCELL VS LUPUS MYELOID DN,0.275,0.21,0.205,0.21,0.225,0.175,0.18,1.0,0.555,0.425,0.505,0.49,0.475,0.315,0.25,0.3,0.32,0.32,0.285,0.265,0.375,0.225,0.25,0.09,0.07,0.015,0.025,0.025,0.02,0.035,0.045,0.055,0.06,0.075,0.055,0.06,0.065,0.075,0.005,0.02
GSE10325 LUPUS BCELL VS LUPUS MYELOID DN,0.21,0.155,0.185,0.19,0.175,0.105,0.16,0.555,1.0,0.495,0.4,0.365,0.355,0.33,0.305,0.33,0.36,0.265,0.21,0.195,0.175,0.155,0.19,0.09,0.08,0.01,0.01,0.015,0.03,0.035,0.03,0.035,0.045,0.05,0.04,0.045,0.07,0.065,0.005,0.01
GSE10325 BCELL VS MYELOID DN,0.19,0.145,0.165,0.15,0.19,0.13,0.14,0.425,0.495,1.0,0.325,0.3,0.305,0.275,0.25,0.28,0.3,0.18,0.14,0.12,0.325,0.185,0.22,0.09,0.1,0.005,0.02,0.03,0.03,0.03,0.05,0.045,0.04,0.045,0.045,0.055,0.055,0.055,0.005,0.01
GSE22886 NAIVE CD8 TCELL VS MONOCYTE DN,0.24,0.21,0.185,0.19,0.21,0.17,0.135,0.505,0.4,0.325,1.0,0.765,0.73,0.32,0.255,0.29,0.3,0.27,0.235,0.245,0.28,0.19,0.165,0.055,0.045,0.01,0.025,0.02,0.04,0.06,0.045,0.055,0.06,0.075,0.035,0.04,0.055,0.075,0.01,0.02
GSE22886 NAIVE TCELL VS MONOCYTE DN,0.24,0.195,0.17,0.195,0.19,0.165,0.12,0.49,0.365,0.3,0.765,1.0,0.765,0.32,0.275,0.26,0.295,0.25,0.225,0.235,0.28,0.25,0.16,0.055,0.045,0.01,0.02,0.025,0.035,0.05,0.055,0.055,0.05,0.06,0.04,0.055,0.065,0.075,0.01,0.025
GSE22886 NAIVE CD4 TCELL VS MONOCYTE DN,0.225,0.19,0.175,0.21,0.21,0.16,0.13,0.475,0.355,0.305,0.73,0.765,1.0,0.295,0.255,0.265,0.285,0.24,0.215,0.23,0.285,0.22,0.16,0.05,0.05,0.005,0.02,0.02,0.035,0.055,0.03,0.055,0.06,0.07,0.03,0.045,0.065,0.06,0.01,0.02
GSE29618 MONOCYTE VS MDC UP,0.175,0.13,0.175,0.125,0.19,0.11,0.075,0.315,0.33,0.275,0.32,0.32,0.295,1.0,0.655,0.45,0.435,0.19,0.175,0.15,0.15,0.15,0.17,0.085,0.045,0.02,0.02,0.025,0.035,0.035,0.055,0.04,0.075,0.08,0.065,0.05,0.06,0.05,0.01,0.01
GSE29618 MONOCYTE VS MDC DAY7 FLU VACCINE UP,0.17,0.15,0.165,0.15,0.19,0.11,0.095,0.25,0.305,0.25,0.255,0.275,0.255,0.655,1.0,0.345,0.38,0.17,0.155,0.14,0.115,0.12,0.145,0.075,0.06,0.015,0.03,0.02,0.03,0.015,0.05,0.035,0.08,0.11,0.055,0.05,0.07,0.055,0.0,0.005
GSE29618 MONOCYTE VS PDC UP,0.1658291457286432,0.1407035175879397,0.12060301507537688,0.11557788944723618,0.135678391959799,0.10050251256281408,0.11055276381909548,0.3015075376884422,0.3316582914572864,0.2814070351758794,0.2914572864321608,0.2613065326633166,0.2663316582914573,0.45226130653266333,0.34673366834170855,1.0,0.6381909547738693,0.1507537688442211,0.1457286432160804,0.12562814070351758,0.18090452261306533,0.1658291457286432,0.19597989949748743,0.08542713567839195,0.05025125628140704,0.01507537688442211,0.020100502512562814,0.04020100502512563,0.02512562814070352,0.05025125628140704,0.06532663316582915,0.06532663316582915,0.07537688442211055,0.08040201005025126,0.07537688442211055,0.06030150753768844,0.06532663316582915,0.04522613065326633,0.0,0.02512562814070352
GSE29618 MONOCYTE VS PDC DAY7 FLU VACCINE UP,0.19,0.14,0.155,0.12,0.135,0.1,0.125,0.32,0.36,0.3,0.3,0.295,0.285,0.435,0.38,0.635,1.0,0.16,0.16,0.14,0.195,0.175,0.19,0.06,0.07,0.02,0.03,0.025,0.01,0.06,0.055,0.05,0.06,0.075,0.085,0.055,0.06,0.045,0.0,0.025
"GSE34156 TLR1 TLR2 LIGAND VS NOD2 AND TLR1
TLR2 LIGAND 24H TREATED MONOCYTE UP",0.1989795918367347,0.14285714285714285,0.17346938775510204,0.12755102040816327,0.15816326530612246,0.10714285714285714,0.07142857142857142,0.32653061224489793,0.27040816326530615,0.1836734693877551,0.2755102040816326,0.25510204081632654,0.24489795918367346,0.19387755102040816,0.17346938775510204,0.15306122448979592,0.16326530612244897,1.0,0.576530612244898,0.5204081632653061,0.1989795918367347,0.1377551020408163,0.19387755102040816,0.08163265306122448,0.02040816326530612,0.01020408163265306,0.05612244897959184,0.025510204081632654,0.03571428571428571,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.04081632653061224,0.0663265306122449,0.05612244897959184,0.08673469387755102,0.04081632653061224,0.07142857142857142,0.01020408163265306,0.00510204081632653
"GSE34156 UNTREATED VS 6H TLR1 TLR2 LIGAND
TREATED MONOCYTE UP",0.19289340101522842,0.1319796954314721,0.14720812182741116,0.12690355329949238,0.14213197969543148,0.116751269035533,0.08121827411167512,0.2893401015228426,0.2131979695431472,0.14213197969543148,0.23857868020304568,0.22842639593908629,0.2182741116751269,0.17766497461928935,0.15736040609137056,0.14720812182741116,0.16243654822335024,0.5736040609137056,1.0,0.7258883248730964,0.14720812182741116,0.14720812182741116,0.18781725888324874,0.07106598984771574,0.02030456852791878,0.01015228426395939,0.050761421319796954,0.015228426395939087,0.025380710659898477,0.02030456852791878,0.07106598984771574,0.050761421319796954,0.03553299492385787,0.05583756345177665,0.06091370558375635,0.06598984771573604,0.050761421319796954,0.06598984771573604,0.005076142131979695,0.015228426395939087
"GSE34156 UNTREATED VS 24H NOD2 LIGAND TREATED
MONOCYTE DN",0.185,0.13,0.12,0.12,0.135,0.105,0.08,0.265,0.195,0.12,0.245,0.235,0.23,0.15,0.14,0.125,0.14,0.51,0.715,1.0,0.16,0.165,0.16,0.06,0.015,0.005,0.05,0.015,0.025,0.04,0.075,0.075,0.035,0.055,0.06,0.07,0.055,0.07,0.005,0.02
GSE10325 CD4 TCELL VS MYELOID DN,0.19,0.15,0.16,0.135,0.16,0.14,0.14,0.375,0.175,0.325,0.28,0.28,0.285,0.15,0.115,0.18,0.195,0.195,0.145,0.16,1.0,0.2,0.19,0.03,0.075,0.02,0.04,0.04,0.03,0.05,0.04,0.055,0.055,0.055,0.055,0.05,0.045,0.025,0.005,0.03
GSE11057 CD4 EFF MEM VS PBMC DN,0.17010309278350516,0.12886597938144329,0.12371134020618557,0.14432989690721648,0.10824742268041238,0.10309278350515463,0.1134020618556701,0.23195876288659795,0.15979381443298968,0.19072164948453607,0.1958762886597938,0.25773195876288657,0.2268041237113402,0.15463917525773196,0.12371134020618557,0.17010309278350516,0.18041237113402062,0.13917525773195877,0.14948453608247422,0.17010309278350516,0.20618556701030927,1.0,0.3711340206185567,0.05670103092783505,0.061855670103092786,0.005154639175257732,0.0,0.020618556701030927,0.02577319587628866,0.030927835051546393,0.061855670103092786,0.061855670103092786,0.02577319587628866,0.015463917525773196,0.02577319587628866,0.03608247422680412,0.03608247422680412,0.015463917525773196,0.005154639175257732,0.020618556701030927
GSE11057 PBMC VS MEM CD4 TCELL UP,0.15736040609137056,0.116751269035533,0.10152284263959391,0.07614213197969544,0.1319796954314721,0.10152284263959391,0.1116751269035533,0.25380710659898476,0.19289340101522842,0.2233502538071066,0.16751269035532995,0.16243654822335024,0.16243654822335024,0.17258883248730963,0.14720812182741116,0.19796954314720813,0.19289340101522842,0.19289340101522842,0.18781725888324874,0.16243654822335024,0.19289340101522842,0.36548223350253806,1.0,0.05583756345177665,0.06598984771573604,0.02030456852791878,0.025380710659898477,0.02030456852791878,0.015228426395939087,0.01015228426395939,0.03553299492385787,0.06091370558375635,0.025380710659898477,0.04060913705583756,0.030456852791878174,0.04568527918781726,0.030456852791878174,0.04568527918781726,0.0,0.005076142131979695
GSE6259 33D1 POS DC VS CD4 TCELL DN,0.07954545454545454,0.08522727272727272,0.056818181818181816,0.09659090909090909,0.125,0.10227272727272728,0.07386363636363637,0.10227272727272728,0.10227272727272728,0.10227272727272728,0.0625,0.0625,0.056818181818181816,0.09659090909090909,0.08522727272727272,0.09659090909090909,0.06818181818181818,0.09090909090909091,0.07954545454545454,0.06818181818181818,0.03409090909090909,0.0625,0.0625,1.0,0.08522727272727272,0.005681818181818182,0.022727272727272728,0.03409090909090909,0.011363636363636364,0.028409090909090908,0.03409090909090909,0.022727272727272728,0.022727272727272728,0.028409090909090908,0.017045454545454544,0.07954545454545454,0.07386363636363637,0.011363636363636364,0.0,0.0
"GSE30971 CTRL VS LPS STIM MACROPHAGE WBP7 HET
2H DN",0.10101010101010101,0.07575757575757576,0.05555555555555555,0.06060606060606061,0.09595959595959595,0.045454545454545456,0.06060606060606061,0.0707070707070707,0.08080808080808081,0.10101010101010101,0.045454545454545456,0.045454545454545456,0.050505050505050504,0.045454545454545456,0.06060606060606061,0.050505050505050504,0.0707070707070707,0.020202020202020204,0.020202020202020204,0.015151515151515152,0.07575757575757576,0.06060606060606061,0.06565656565656566,0.07575757575757576,1.0,0.015151515151515152,0.010101010101010102,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.015151515151515152,0.005050505050505051,0.025252525252525252,0.005050505050505051,0.005050505050505051,0.07575757575757576,0.06060606060606061,0.005050505050505051,0.020202020202020204,0.020202020202020204
"GSE2405 0H VS 3H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN",0.010101010101010102,0.005050505050505051,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.015151515151515152,0.010101010101010102,0.005050505050505051,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.020202020202020204,0.015151515151515152,0.015151515151515152,0.020202020202020204,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.020202020202020204,0.005050505050505051,0.015151515151515152,1.0,0.005050505050505051,0.025252525252525252,0.005050505050505051,0.025252525252525252,0.015151515151515152,0.0,0.020202020202020204,0.025252525252525252,0.015151515151515152,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.010101010101010102,0.005050505050505051
"GSE37301 RAG2 KO VS RAG2 AND ETS1 KO NK CELL
UP",0.03,0.025,0.015,0.015,0.015,0.02,0.03,0.025,0.01,0.02,0.025,0.02,0.02,0.02,0.03,0.02,0.03,0.055,0.05,0.05,0.04,0.0,0.025,0.02,0.01,0.005,1.0,0.035,0.04,0.03,0.015,0.025,0.03,0.02,0.03,0.02,0.02,0.015,0.02,0.0
GSE20715 0H VS 24H OZONE LUNG DN,0.03,0.03,0.04,0.03,0.01,0.015,0.025,0.025,0.015,0.03,0.02,0.025,0.02,0.025,0.02,0.04,0.025,0.025,0.015,0.015,0.04,0.02,0.02,0.03,0.015,0.025,0.035,1.0,0.26,0.02,0.04,0.03,0.045,0.025,0.03,0.02,0.035,0.01,0.04,0.01
GSE20715 0H VS 24H OZONE TLR4 KO LUNG DN,0.025,0.04,0.04,0.03,0.025,0.015,0.03,0.02,0.03,0.03,0.04,0.035,0.035,0.035,0.03,0.025,0.01,0.035,0.025,0.025,0.03,0.025,0.015,0.01,0.015,0.005,0.04,0.26,1.0,0.015,0.04,0.03,0.02,0.02,0.025,0.01,0.035,0.025,0.03,0.02
"GSE22196 HEALTHY VS OBESE MOUSE SKIN
GAMMADELTA TCELL UP",0.08040201005025126,0.06030150753768844,0.07035175879396985,0.03015075376884422,0.07035175879396985,0.09547738693467336,0.04020100502512563,0.035175879396984924,0.035175879396984924,0.03015075376884422,0.06030150753768844,0.05025125628140704,0.05527638190954774,0.035175879396984924,0.01507537688442211,0.05025125628140704,0.06030150753768844,0.020100502512562814,0.020100502512562814,0.04020100502512563,0.05025125628140704,0.03015075376884422,0.010050251256281407,0.02512562814070352,0.03015075376884422,0.02512562814070352,0.03015075376884422,0.020100502512562814,0.01507537688442211,1.0,0.035175879396984924,0.04522613065326633,0.05025125628140704,0.07537688442211055,0.03015075376884422,0.04522613065326633,0.020100502512562814,0.010050251256281407,0.01507537688442211,0.04522613065326633
"GSE34392 ST2 KO VS WT DAY8 LCMV EFFECTOR CD8
TCELL DN",0.065,0.045,0.06,0.045,0.035,0.04,0.045,0.045,0.03,0.05,0.045,0.055,0.03,0.055,0.05,0.065,0.055,0.06,0.07,0.075,0.04,0.06,0.035,0.03,0.015,0.015,0.015,0.04,0.04,0.035,1.0,0.33,0.09,0.06,0.07,0.01,0.03,0.035,0.005,0.015
"GSE32986 CURDLAN LOWDOSE VS CURDLAN HIGHDOSE
STIM DC DN",0.04,0.055,0.035,0.045,0.045,0.045,0.03,0.055,0.035,0.045,0.055,0.055,0.055,0.04,0.035,0.065,0.05,0.04,0.05,0.075,0.055,0.06,0.06,0.02,0.005,0.0,0.025,0.03,0.03,0.045,0.33,1.0,0.08,0.07,0.05,0.015,0.025,0.04,0.015,0.01
GSE7509 DC VS MONOCYTE DN,0.05,0.04,0.035,0.04,0.08,0.035,0.02,0.06,0.045,0.04,0.06,0.05,0.06,0.075,0.08,0.075,0.06,0.04,0.035,0.035,0.055,0.025,0.025,0.02,0.025,0.02,0.03,0.045,0.02,0.05,0.09,0.08,1.0,0.065,0.035,0.02,0.025,0.02,0.01,0.04
GSE360 CTRL VS M TUBERCULOSIS DC DN,0.04,0.06,0.045,0.03,0.055,0.025,0.04,0.075,0.05,0.045,0.075,0.06,0.07,0.08,0.11,0.08,0.075,0.065,0.055,0.055,0.055,0.015,0.04,0.025,0.005,0.025,0.02,0.025,0.02,0.075,0.06,0.07,0.065,1.0,0.145,0.01,0.06,0.05,0.005,0.05
GSE360 L DONOVANI VS B MALAYI HIGH DOSE DC UP,0.05527638190954774,0.05527638190954774,0.05025125628140704,0.03015075376884422,0.05527638190954774,0.04020100502512563,0.04522613065326633,0.05527638190954774,0.04020100502512563,0.04522613065326633,0.035175879396984924,0.04020100502512563,0.03015075376884422,0.06532663316582915,0.05527638190954774,0.07537688442211055,0.08542713567839195,0.05527638190954774,0.06030150753768844,0.06030150753768844,0.05527638190954774,0.02512562814070352,0.03015075376884422,0.01507537688442211,0.005025125628140704,0.01507537688442211,0.03015075376884422,0.03015075376884422,0.02512562814070352,0.03015075376884422,0.07035175879396985,0.05025125628140704,0.035175879396984924,0.1457286432160804,1.0,0.020100502512562814,0.05025125628140704,0.04522613065326633,0.01507537688442211,0.05025125628140704
"GSE19401 PAM2CSK4 VS RETINOIC ACID AND
PAM2CSK4 STIM FOLLICULAR DC DN",0.13,0.065,0.07,0.055,0.08,0.065,0.045,0.06,0.045,0.055,0.04,0.055,0.045,0.05,0.05,0.06,0.055,0.085,0.065,0.07,0.05,0.035,0.045,0.07,0.075,0.015,0.02,0.02,0.01,0.045,0.01,0.015,0.02,0.01,0.02,1.0,0.11,0.095,0.03,0.05
