"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=13.221; direction=Repressed","rank=1; score=14.093; p=4.1865e-45; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","2","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=7.4807; direction=Repressed","rank=2; score=6.5732; p=4.9261e-11; direction=Repressed"
"3","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","4","6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","rank=4; score=6.1051; direction=Repressed","rank=6; score=4.3698; p=1.2437e-05; direction=Repressed"
"4","CDX2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","5","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=8; score=4.7399; direction=Activated","rank=5; score=4.5586; p=5.1507e-06; direction=Activated"
"5","E2F2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","12.0","11","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","rank=11; score=4.475; direction=Repressed","rank=13; score=3.7109; p=0.00020656; direction=Repressed"
"6","HNF4A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","5","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","rank=5; score=5.0173; direction=Activated","rank=23; score=3.122; p=0.0017963; direction=Activated"
"7","E2F3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.0","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=20; score=3.3956; direction=Repressed","rank=8; score=3.8674; p=0.00011001; direction=Repressed"
"8","RARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","17","5","Literature--ChIP-seq(rank=28); ReMap--ChIP-seq(rank=62); Enrichr--Queries(rank=692); ARCHS4--Coexpression(rank=868); GTEx--Coexpression(rank=918)","638","rank=17; score=3.6294; direction=Activated","rank=17; score=3.468; p=0.00052428; direction=Activated"
"9","REST","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.5","19","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","rank=30; score=3.0152; direction=Repressed","rank=19; score=3.4328; p=0.00059744; direction=Activated"
"10","PPARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.5","24","3","Enrichr--Queries(rank=544); GTEx--Coexpression(rank=610); ARCHS4--Coexpression(rank=969)","1154","rank=24; score=3.2251; direction=Activated","rank=25; score=3.0103; p=0.0026101; direction=Activated"
