Pathway,IGA IMMUNOGLOBULIN COMPLEX,IGA IMMUNOGLOBULIN COMPLEX CIRCULATING,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,SPLICEOSOMAL COMPLEX,U2 TYPE SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,IGG IMMUNOGLOBULIN COMPLEX,IGE IMMUNOGLOBULIN COMPLEX,CELL SUBSTRATE JUNCTION,PODOSOME,LAMELLIPODIUM,CELL LEADING EDGE,RUFFLE,CELL CORTEX,CORTICAL CYTOSKELETON,"RNA POLYMERASE II TRANSCRIPTION REGULATOR
COMPLEX",TRANSCRIPTION FACTOR AP 1 COMPLEX,CILIARY TRANSITION ZONE,CENTRIOLE,CILIARY BASAL BODY,CILIARY MEMBRANE,SPINDLE,SPINDLE POLE,MICROTUBULE,CHROMOSOMAL REGION,HISTONE DEACETYLASE COMPLEX,ATPASE COMPLEX,SWI SNF SUPERFAMILY TYPE COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,UBIQUITIN LIGASE COMPLEX,CYTOPLASMIC SIDE OF PLASMA MEMBRANE,SNARE COMPLEX,EARLY ENDOSOME,VESICLE TETHERING COMPLEX,ACTIVIN RECEPTOR COMPLEX,CYTOSOLIC RIBOSOME,RIBOSOMAL SUBUNIT,SODIUM POTASSIUM EXCHANGING ATPASE COMPLEX,"ENDOPLASMIC RETICULUM ENDOSOME MEMBRANE
CONTACT SITE"
IGA IMMUNOGLOBULIN COMPLEX,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGA IMMUNOGLOBULIN COMPLEX CIRCULATING,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR SPECK,0.0,0.0,1.0,1.0,0.18271604938271604,0.1308641975308642,0.10864197530864197,0.0,0.0,0.019753086419753086,0.0024691358024691358,0.014814814814814815,0.022222222222222223,0.007407407407407408,0.0,0.0,0.04691358024691358,0.0,0.0049382716049382715,0.012345679012345678,0.024691358024691357,0.0,0.0345679012345679,0.024691358024691357,0.009876543209876543,0.06666666666666667,0.037037037037037035,0.019753086419753086,0.019753086419753086,0.022222222222222223,0.02962962962962963,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0024691358024691358,0.0,0.0
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.0,0.0,0.841995841995842,1.0,0.16216216216216217,0.11434511434511435,0.09771309771309772,0.0,0.0,0.016632016632016633,0.002079002079002079,0.012474012474012475,0.018711018711018712,0.006237006237006237,0.0,0.0,0.0395010395010395,0.0,0.004158004158004158,0.010395010395010396,0.02079002079002079,0.0,0.031185031185031187,0.02286902286902287,0.008316008316008316,0.07692307692307693,0.031185031185031187,0.018711018711018712,0.018711018711018712,0.018711018711018712,0.02702702702702703,0.002079002079002079,0.0,0.0,0.0,0.0,0.004158004158004158,0.002079002079002079,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0,0.0,0.3378995433789954,0.3561643835616438,1.0,0.5068493150684932,0.4931506849315068,0.0,0.0,0.0136986301369863,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0091324200913242,0.0045662100456621,0.0319634703196347,0.0,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0
U2 TYPE SPLICEOSOMAL COMPLEX,0.0,0.0,0.4774774774774775,0.4954954954954955,1.0,1.0,0.6396396396396397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.009009009009009009,0.0,0.009009009009009009,0.0,0.009009009009009009,0.009009009009009009,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.4074074074074074,0.4351851851851852,1.0,0.6574074074074074,1.0,0.0,0.0,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.0,0.009259259259259259,0.009259259259259259,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGG IMMUNOGLOBULIN COMPLEX,0.46153846153846156,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGE IMMUNOGLOBULIN COMPLEX,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL SUBSTRATE JUNCTION,0.0,0.0,0.019184652278177457,0.019184652278177457,0.007194244604316547,0.0,0.004796163069544364,0.0,0.0,1.0,0.0407673860911271,0.1510791366906475,0.23741007194244604,0.12470023980815348,0.13908872901678657,0.07913669064748201,0.004796163069544364,0.0,0.002398081534772182,0.007194244604316547,0.011990407673860911,0.004796163069544364,0.050359712230215826,0.019184652278177457,0.0407673860911271,0.019184652278177457,0.0,0.004796163069544364,0.002398081534772182,0.004796163069544364,0.004796163069544364,0.03836930455635491,0.004796163069544364,0.050359712230215826,0.004796163069544364,0.0,0.09832134292565947,0.10071942446043165,0.0,0.0
