"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1140)","32","rank=1; score=8.0012; direction=Repressed","rank=1; score=8.6709; p=4.2871e-18; direction=Repressed"
"2","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=37)","11","rank=3; score=4.6343; direction=Repressed","rank=2; score=6.376; p=1.8177e-10; direction=Repressed"
"3","CDX2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","5","5","ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=104); Literature--ChIP-seq(rank=129); Enrichr--Queries(rank=1021)","181","rank=5; score=4.2868; direction=Activated","rank=6; score=4.027; p=5.6494e-05; direction=Activated"
"4","HNF1B","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","12.5","9","3","ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=917)","1134","rank=9; score=3.8625; direction=Activated","rank=16; score=2.9956; p=0.0027388; direction=Activated"
"5","PPARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.5","10","3","ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=889); GTEx--Coexpression(rank=1166)","1148","rank=10; score=3.8046; direction=Activated","rank=25; score=2.7365; p=0.0062106; direction=Activated"
"6","NFE2L2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","2","5","ReMap--ChIP-seq(rank=154); Literature--ChIP-seq(rank=155); GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=831)","469","rank=2; score=5.6078; direction=Activated","rank=40; score=2.4009; p=0.016355; direction=Activated"
"7","NFYA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","15","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=16); GTEx--Coexpression(rank=100); Enrichr--Queries(rank=722); ARCHS4--Coexpression(rank=1044)","125","rank=27; score=2.8853; direction=Repressed","rank=15; score=3.0202; p=0.0025259; direction=Repressed"
"8","ZBTB33","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","32.5","30","5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=1117); Enrichr--Queries(rank=1298)","706","rank=30; score=2.8453; direction=Repressed","rank=35; score=2.4306; p=0.015075; direction=Activated"
"9","HNF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","3","3","GTEx--Coexpression(rank=339); ARCHS4--Coexpression(rank=423); Enrichr--Queries(rank=634)","743","rank=68; score=2.083; direction=Activated","rank=3; score=5.523; p=3.3335e-08; direction=Activated"
"10","TFAP2C","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","39","6","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=92); GTEx--Coexpression(rank=143); Enrichr--Queries(rank=411); ARCHS4--Coexpression(rank=831)","344","rank=39; score=2.68; direction=Activated","rank=44; score=2.3546; p=0.018542; direction=Activated"
