"TF","HVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-14.86902927506929473","-14.86902927506929473","14.86902927506929473","Repressed","1","viper","1","14.86902927506929473",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=90); ARCHS4--Coexpression(rank=820); GTEx--Coexpression(rank=971)","16","0.00609800000000000","Literature ChIP-seq,0.006098"
"E2F1","-8.88236957105734426","-8.88236957105734426","8.88236957105734426","Repressed","2","viper","2","8.88236957105734426",NA,NA,"6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=4); Literature--ChIP-seq(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=98)","10","0.00284900000000000","Enrichr Queries,0.002849"
"E2F2","-7.86219181392606625","-7.86219181392606625","7.86219181392606625","Repressed","3","viper","3","7.86219181392606625",NA,NA,"3","ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=8); GTEx--Coexpression(rank=1005)","11","0.00368600000000000","ARCHS4 Coexpression,0.003686"
"MYC","-7.38972093236035210","-7.38972093236035210","7.38972093236035210","Repressed","4","viper","4","7.38972093236035210",NA,NA,"6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=63); Enrichr--Queries(rank=70); ARCHS4--Coexpression(rank=224); GTEx--Coexpression(rank=643)","165","0.04268000000000000","Literature ChIP-seq,0.04268"
"TFDP1","-6.50387319315368817","-6.50387319315368817","6.50387319315368817","Repressed","5","viper","5","6.50387319315368817",NA,NA,"4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=14); ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=22)","9","0.00248900000000000","GTEx Coexpression,0.002489"
"KLF5","6.05371745998681110","6.05371745998681110","6.05371745998681110","Activated","6","viper","6","6.05371745998681110",NA,NA,"5","ReMap--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=54); Literature--ChIP-seq(rank=64); Enrichr--Queries(rank=120); GTEx--Coexpression(rank=483)","103","0.02694000000000000","ReMap ChIP-seq,0.02694"
"ZNF263","-5.73554679541846824","-5.73554679541846824","5.73554679541846824","Repressed","7","viper","7","5.73554679541846824",NA,NA,"6","ReMap--ChIP-seq(rank=20); ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=712); ARCHS4--Coexpression(rank=1419); GTEx--Coexpression(rank=1584)","260","0.06734000000000000","ReMap ChIP-seq,0.06734"
"ZFX","-5.22033654893262700","-5.22033654893262700","5.22033654893262700","Repressed","8","viper","8","5.22033654893262700",NA,NA,"5","ReMap--ChIP-seq(rank=146); Literature--ChIP-seq(rank=151); Enrichr--Queries(rank=1331); ARCHS4--Coexpression(rank=1340); GTEx--Coexpression(rank=1391)","1333","0.49159999999999998","ReMap ChIP-seq,0.4916"
"E2F3","-5.20689091098078283","-5.20689091098078283","5.20689091098078283","Repressed","9","viper","9","5.20689091098078283",NA,NA,"3","ARCHS4--Coexpression(rank=17); Enrichr--Queries(rank=25); GTEx--Coexpression(rank=1247)","33","0.01044000000000000","ARCHS4 Coexpression,0.01044"
"TP53","5.14081581233974472","5.14081581233974472","5.14081581233974472","Activated","10","viper","10","5.14081581233974472",NA,NA,"5","ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=99); GTEx--Coexpression(rank=114); Enrichr--Queries(rank=257)","15","0.00552800000000000","ARCHS4 Coexpression,0.005528"
