Pathway,PSMB5 TARGET GENES,HSF4 TARGET GENES,DROSHA TARGET GENES,SOX11 TARGET GENES,RARB TARGET GENES,HJURP TARGET GENES,HMCES TARGET GENES,CASP3 TARGET GENES,TFAM TARGET GENES,RPA1 TARGET GENES,RBMX TARGET GENES,VRTN TARGET GENES,HOXC11 TARGET GENES,NPM1 TARGET GENES,SRPK1 TARGET GENES,ZZZ3 TARGET GENES,PER1 TARGET GENES,CSHL1 TARGET GENES,ZNF837 TARGET GENES,GTF2E2 TARGET GENES,HIVEP1 TARGET GENES,DLX2 TARGET GENES,ZSCAN5C TARGET GENES,PRDM5 TARGET GENES,NR1H4 TARGET GENES,ZMYM2 TARGET GENES,ELF5 TARGET GENES,ZBTB1 TARGET GENES,ZNF548 TARGET GENES,PITX1 TARGET GENES,PCGF6 TARGET GENES,PRMT5 TARGET GENES,MTHFD1 TARGET GENES,SIPA1 TARGET GENES,PBRM1 TARGET GENES,FOXF2 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TASOR TARGET GENES
RBMX TARGET GENES,0.2,0.0,0.2,0.1,0.2,0.3,0.0,0.2,0.4,0.7,1.0,0.4,0.4,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.0
VRTN TARGET GENES,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.13043478260869565,0.34782608695652173,0.34782608695652173,0.17391304347826086,1.0,0.13043478260869565,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13043478260869565,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0
HOXC11 TARGET GENES,0.03076923076923077,0.0,0.06153846153846154,0.0,0.03076923076923077,0.09230769230769231,0.0,0.046153846153846156,0.12307692307692308,0.1076923076923077,0.06153846153846154,0.046153846153846156,1.0,0.09230769230769231,0.0,0.07692307692307693,0.015384615384615385,0.0,0.0,0.07692307692307693,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.015384615384615385,0.03076923076923077
NPM1 TARGET GENES,0.06318681318681318,0.0,0.013736263736263736,0.0027472527472527475,0.0,0.013736263736263736,0.0,0.0,0.0027472527472527475,0.01098901098901099,0.0027472527472527475,0.005494505494505495,0.016483516483516484,1.0,0.1401098901098901,0.07692307692307693,0.005494505494505495,0.013736263736263736,0.0027472527472527475,0.07967032967032966,0.0,0.0,0.005494505494505495,0.008241758241758242,0.0027472527472527475,0.005494505494505495,0.07142857142857142,0.008241758241758242,0.008241758241758242,0.03021978021978022,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475,0.01098901098901099,0.0,0.0,0.005494505494505495,0.02197802197802198
SRPK1 TARGET GENES,0.03217821782178218,0.0,0.0024752475247524753,0.0024752475247524753,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.12623762376237624,1.0,0.04455445544554455,0.009900990099009901,0.01485148514851485,0.0,0.04950495049504951,0.0,0.022277227722772276,0.0024752475247524753,0.012376237623762377,0.009900990099009901,0.007425742574257425,0.0594059405940594,0.007425742574257425,0.0049504950495049506,0.04207920792079208,0.0024752475247524753,0.007425742574257425,0.0,0.019801980198019802,0.0,0.0,0.0024752475247524753,0.012376237623762377
ZZZ3 TARGET GENES,0.05329153605015674,0.0,0.003134796238244514,0.0,0.0,0.025078369905956112,0.0,0.0,0.003134796238244514,0.006269592476489028,0.006269592476489028,0.003134796238244514,0.01567398119122257,0.0877742946708464,0.05642633228840126,1.0,0.012539184952978056,0.03134796238244514,0.0,0.05956112852664577,0.0,0.02821316614420063,0.006269592476489028,0.006269592476489028,0.006269592476489028,0.03134796238244514,0.06269592476489028,0.025078369905956112,0.006269592476489028,0.02821316614420063,0.006269592476489028,0.009404388714733543,0.009404388714733543,0.01567398119122257,0.0,0.0,0.01567398119122257,0.012539184952978056
PER1 TARGET GENES,0.30303030303030304,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.12121212121212122,0.12121212121212122,1.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.0
CSHL1 TARGET GENES,0.02766798418972332,0.007905138339920948,0.0,0.007905138339920948,0.0,0.019762845849802372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019762845849802372,0.023715415019762844,0.039525691699604744,0.0,1.0,0.007905138339920948,0.043478260869565216,0.0,0.04743083003952569,0.0,0.003952569169960474,0.015810276679841896,0.007905138339920948,0.039525691699604744,0.003952569169960474,0.007905138339920948,0.03162055335968379,0.003952569169960474,0.023715415019762844,0.0,0.019762845849802372,0.0,0.0,0.007905138339920948,0.03557312252964427
ZNF837 TARGET GENES,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,1.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E2 TARGET GENES,0.2278177458033573,0.023980815347721823,0.03117505995203837,0.004796163069544364,0.0,0.023980815347721823,0.0,0.0,0.0,0.007194244604316547,0.002398081534772182,0.007194244604316547,0.011990407673860911,0.06954436450839328,0.047961630695443645,0.045563549160671464,0.011990407673860911,0.026378896882494004,0.002398081534772182,1.0,0.007194244604316547,0.023980815347721823,0.02158273381294964,0.002398081534772182,0.014388489208633094,0.011990407673860911,0.05995203836930456,0.016786570743405275,0.011990407673860911,0.05275779376498801,0.0,0.026378896882494004,0.004796163069544364,0.02158273381294964,0.0,0.0,0.019184652278177457,0.047961630695443645
HIVEP1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
DLX2 TARGET GENES,0.0273972602739726,0.010273972602739725,0.0,0.003424657534246575,0.0,0.003424657534246575,0.0,0.0,0.0,0.010273972602739725,0.0,0.0,0.003424657534246575,0.0,0.030821917808219176,0.030821917808219176,0.0,0.0410958904109589,0.003424657534246575,0.03424657534246575,0.003424657534246575,1.0,0.0410958904109589,0.023972602739726026,0.0547945205479452,0.0,0.030821917808219176,0.00684931506849315,0.003424657534246575,0.023972602739726026,0.003424657534246575,0.023972602739726026,0.0,0.0136986301369863,0.0,0.0,0.003424657534246575,0.03424657534246575
ZSCAN5C TARGET GENES,0.019736842105263157,0.019736842105263157,0.006578947368421052,0.013157894736842105,0.0,0.006578947368421052,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.0,0.0,0.05921052631578947,0.0,0.07894736842105263,1.0,0.03289473684210526,0.006578947368421052,0.019736842105263157,0.07894736842105263,0.039473684210526314,0.006578947368421052,0.006578947368421052,0.0,0.006578947368421052,0.0,0.013157894736842105,0.0,0.0,0.006578947368421052,0.0
PRDM5 TARGET GENES,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.007936507936507936,0.023809523809523808,0.03968253968253968,0.015873015873015872,0.0,0.007936507936507936,0.0,0.007936507936507936,0.0,0.05555555555555555,0.03968253968253968,1.0,0.023809523809523808,0.007936507936507936,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.007936507936507936,0.023809523809523808
NR1H4 TARGET GENES,0.02528735632183908,0.0,0.004597701149425287,0.0,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.004597701149425287,0.0022988505747126436,0.009195402298850575,0.004597701149425287,0.0,0.009195402298850575,0.0,0.013793103448275862,0.0,0.0367816091954023,0.0022988505747126436,0.006896551724137931,1.0,0.011494252873563218,0.01839080459770115,0.004597701149425287,0.0022988505747126436,0.02528735632183908,0.0,0.016091954022988506,0.0,0.006896551724137931,0.0,0.0,0.004597701149425287,0.022988505747126436
ZMYM2 TARGET GENES,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.07692307692307693,0.0,0.015384615384615385,0.0,0.038461538461538464,0.0,0.0,0.023076923076923078,0.007692307692307693,0.038461538461538464,1.0,0.03076923076923077,0.015384615384615385,0.0,0.038461538461538464,0.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.015384615384615385,0.007692307692307693
ELF5 TARGET GENES,0.016494845360824743,0.0,0.004123711340206186,0.002061855670103093,0.0,0.002061855670103093,0.0,0.0,0.0,0.008247422680412371,0.004123711340206186,0.006185567010309278,0.002061855670103093,0.05360824742268041,0.049484536082474224,0.041237113402061855,0.002061855670103093,0.020618556701030927,0.004123711340206186,0.05154639175257732,0.0,0.018556701030927835,0.024742268041237112,0.008247422680412371,0.016494845360824743,0.008247422680412371,1.0,0.02268041237113402,0.004123711340206186,0.032989690721649485,0.008247422680412371,0.010309278350515464,0.0,0.0,0.0,0.0,0.002061855670103093,0.016494845360824743
ZBTB1 TARGET GENES,0.008695652173913044,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.02608695652173913,0.02608695652173913,0.06956521739130435,0.0,0.008695652173913044,0.0,0.06086956521739131,0.0,0.017391304347826087,0.05217391304347826,0.0,0.017391304347826087,0.017391304347826087,0.09565217391304348,1.0,0.008695652173913044,0.034782608695652174,0.008695652173913044,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.02608695652173913
ZNF548 TARGET GENES,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.031746031746031744,0.031746031746031744,0.0,0.031746031746031744,0.0,0.07936507936507936,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,1.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.031746031746031744,0.0,0.0,0.015873015873015872,0.0
PITX1 TARGET GENES,0.04843304843304843,0.005698005698005698,0.005698005698005698,0.002849002849002849,0.0,0.014245014245014245,0.0,0.0,0.0,0.011396011396011397,0.002849002849002849,0.0,0.014245014245014245,0.03133903133903134,0.04843304843304843,0.02564102564102564,0.002849002849002849,0.022792022792022793,0.0,0.06267806267806268,0.0,0.019943019943019943,0.002849002849002849,0.0,0.03133903133903134,0.014245014245014245,0.045584045584045586,0.011396011396011397,0.002849002849002849,1.0,0.008547008547008548,0.002849002849002849,0.008547008547008548,0.011396011396011397,0.0,0.0,0.011396011396011397,0.011396011396011397
PCGF6 TARGET GENES,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.0,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.05194805194805195,0.012987012987012988,0.012987012987012988,0.03896103896103896,1.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988
PRMT5 TARGET GENES,0.0761904761904762,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.009523809523809525,0.0,0.009523809523809525,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.0,0.10476190476190476,0.009523809523809525,0.06666666666666667,0.009523809523809525,0.0,0.06666666666666667,0.009523809523809525,0.047619047619047616,0.0,0.0,0.009523809523809525,0.0,1.0,0.0380952380952381,0.0380952380952381,0.0,0.0,0.009523809523809525,0.0380952380952381
MTHFD1 TARGET GENES,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.0,0.18181818181818182,1.0,0.0,0.0,0.0,0.045454545454545456,0.0
SIPA1 TARGET GENES,0.040268456375838924,0.0,0.026845637583892617,0.0,0.0,0.026845637583892617,0.0,0.0,0.013422818791946308,0.026845637583892617,0.013422818791946308,0.013422818791946308,0.006711409395973154,0.026845637583892617,0.053691275167785234,0.03355704697986577,0.0,0.03355704697986577,0.0,0.06040268456375839,0.0,0.026845637583892617,0.013422818791946308,0.006711409395973154,0.020134228187919462,0.0,0.0,0.006711409395973154,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.026845637583892617,0.0,1.0,0.006711409395973154,0.0,0.006711409395973154,0.040268456375838924
PBRM1 TARGET GENES,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0
FOXF2 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",0.136986301369863,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0273972602739726,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.0273972602739726,0.0,0.1095890410958904,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0,0.0136986301369863,0.0547945205479452,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0,1.0,0.0684931506849315
TASOR TARGET GENES,0.08247422680412371,0.01718213058419244,0.003436426116838488,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.006872852233676976,0.027491408934707903,0.01718213058419244,0.013745704467353952,0.0,0.030927835051546393,0.0,0.06872852233676977,0.0,0.03436426116838488,0.0,0.010309278350515464,0.03436426116838488,0.003436426116838488,0.027491408934707903,0.010309278350515464,0.0,0.013745704467353952,0.003436426116838488,0.013745704467353952,0.0,0.020618556701030927,0.0,0.0,0.01718213058419244,1.0
