Pathway,PSMB5 TARGET GENES,HSF4 TARGET GENES,DROSHA TARGET GENES,SOX11 TARGET GENES,RARB TARGET GENES,HJURP TARGET GENES,HMCES TARGET GENES,CASP3 TARGET GENES,TFAM TARGET GENES,RPA1 TARGET GENES,RBMX TARGET GENES,VRTN TARGET GENES,HOXC11 TARGET GENES,NPM1 TARGET GENES,SRPK1 TARGET GENES,ZZZ3 TARGET GENES,PER1 TARGET GENES,CSHL1 TARGET GENES,ZNF837 TARGET GENES,GTF2E2 TARGET GENES,HIVEP1 TARGET GENES,DLX2 TARGET GENES,ZSCAN5C TARGET GENES,PRDM5 TARGET GENES,NR1H4 TARGET GENES,ZMYM2 TARGET GENES,ELF5 TARGET GENES,ZBTB1 TARGET GENES,ZNF548 TARGET GENES,PITX1 TARGET GENES,PCGF6 TARGET GENES,PRMT5 TARGET GENES,MTHFD1 TARGET GENES,SIPA1 TARGET GENES,PBRM1 TARGET GENES,FOXF2 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",TASOR TARGET GENES
PSMB5 TARGET GENES,1.0,0.03215434083601286,0.02572347266881029,0.00964630225080386,0.0,0.02572347266881029,0.0,0.0,0.0,0.006430868167202572,0.006430868167202572,0.0,0.006430868167202572,0.07395498392282958,0.04180064308681672,0.05466237942122187,0.03215434083601286,0.022508038585209004,0.006430868167202572,0.3054662379421222,0.0,0.02572347266881029,0.00964630225080386,0.0,0.03536977491961415,0.012861736334405145,0.02572347266881029,0.003215434083601286,0.006430868167202572,0.05466237942122187,0.006430868167202572,0.02572347266881029,0.006430868167202572,0.01929260450160772,0.0,0.0,0.03215434083601286,0.07717041800643087
HSF4 TARGET GENES,0.45454545454545453,1.0,0.13636363636363635,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.22727272727272727
DROSHA TARGET GENES,0.11267605633802817,0.04225352112676056,1.0,0.014084507042253521,0.028169014084507043,0.07042253521126761,0.04225352112676056,0.056338028169014086,0.07042253521126761,0.11267605633802817,0.028169014084507043,0.028169014084507043,0.056338028169014086,0.07042253521126761,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.18309859154929578,0.0,0.0,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.0,0.04225352112676056,0.0,0.056338028169014086,0.014084507042253521,0.0,0.014084507042253521,0.014084507042253521
SOX11 TARGET GENES,0.06382978723404255,0.02127659574468085,0.02127659574468085,1.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617
RARB TARGET GENES,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HJURP TARGET GENES,0.12698412698412698,0.015873015873015872,0.07936507936507936,0.015873015873015872,0.1111111111111111,1.0,0.1746031746031746,0.12698412698412698,0.1746031746031746,0.31746031746031744,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.07936507936507936,0.0,0.12698412698412698,0.031746031746031744,0.07936507936507936,0.0,0.15873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.07936507936507936,0.0,0.0,0.015873015873015872,0.06349206349206349,0.0,0.0,0.031746031746031744,0.0
HMCES TARGET GENES,0.0,0.0,0.13636363636363635,0.0,0.22727272727272727,0.5,1.0,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASP3 TARGET GENES,0.0,0.0,0.26666666666666666,0.0,0.13333333333333333,0.5333333333333333,0.26666666666666666,1.0,0.7333333333333333,0.26666666666666666,0.13333333333333333,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFAM TARGET GENES,0.0,0.0,0.09259259259259259,0.0,0.037037037037037035,0.2037037037037037,0.037037037037037035,0.2037037037037037,1.0,0.16666666666666666,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0
RPA1 TARGET GENES,0.02564102564102564,0.0,0.10256410256410256,0.0,0.07692307692307693,0.2564102564102564,0.1282051282051282,0.05128205128205128,0.11538461538461539,1.0,0.08974358974358974,0.10256410256410256,0.08974358974358974,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.01282051282051282,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.02564102564102564,0.02564102564102564,0.0,0.0,0.05128205128205128,0.038461538461538464,0.0,0.05128205128205128,0.0,0.01282051282051282,0.01282051282051282,0.05128205128205128,0.01282051282051282,0.0,0.02564102564102564,0.01282051282051282
