Pathway,NFXL1 TARGET GENES,PIAS4 TARGET GENES,RBM15 TARGET GENES,NR1I2 TARGET GENES,RUVBL1 TARGET GENES,RUVBL2 TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,ZNF101 TARGET GENES,KLF14 TARGET GENES,CHAMP1 TARGET GENES,ZNF16 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",FOXC1 TARGET GENES,EMX1 TARGET GENES,HOXA7 TARGET GENES,HSF2 TARGET GENES,CTR9 TARGET GENES,DMRT1 TARGET GENES,YBX3 TARGET GENES,ZZZ3 TARGET GENES,CDX1 TARGET GENES,MYBL1 TARGET GENES,IRX2 TARGET GENES,ZNF581 TARGET GENES,HOXD11 TARGET GENES,HOXA13 TARGET GENES,TAFAZZIN TARGET GENES,ATOH8 TARGET GENES,PGM3 TARGET GENES,ZMYND11 TARGET GENES,ZNF419 TARGET GENES,ZNF34 TARGET GENES,ATF5 TARGET GENES,MSX1 TARGET GENES,DLX2 TARGET GENES,NFE2L3 TARGET GENES,ZNF524 TARGET GENES,FOXF1 TARGET GENES,PHF21A TARGET GENES
NFXL1 TARGET GENES,1.0,0.021141649048625793,0.02748414376321353,0.016913319238900635,0.008456659619450317,0.006342494714587738,0.016913319238900635,0.006342494714587738,0.021141649048625793,0.021141649048625793,0.012684989429175475,0.008456659619450317,0.019027484143763214,0.008456659619450317,0.006342494714587738,0.010570824524312896,0.019027484143763214,0.004228329809725159,0.02959830866807611,0.0,0.02536997885835095,0.0,0.02536997885835095,0.004228329809725159,0.010570824524312896,0.004228329809725159,0.0,0.048625792811839326,0.004228329809725159,0.02959830866807611,0.0,0.0,0.016913319238900635,0.02748414376321353,0.006342494714587738,0.019027484143763214,0.0,0.03805496828752643,0.0021141649048625794,0.03805496828752643
PIAS4 TARGET GENES,0.12987012987012986,1.0,0.05194805194805195,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.03896103896103896,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.0,0.0,0.0,0.03896103896103896,0.0,0.03896103896103896,0.0,0.025974025974025976,0.0,0.0,0.0,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.0,0.025974025974025976,0.03896103896103896,0.0,0.05194805194805195,0.0,0.03896103896103896,0.0,0.0
RBM15 TARGET GENES,0.06565656565656566,0.020202020202020204,1.0,0.020202020202020204,0.03535353535353535,0.005050505050505051,0.030303030303030304,0.005050505050505051,0.03535353535353535,0.045454545454545456,0.010101010101010102,0.0,0.03535353535353535,0.015151515151515152,0.020202020202020204,0.005050505050505051,0.025252525252525252,0.010101010101010102,0.005050505050505051,0.0,0.050505050505050504,0.020202020202020204,0.04040404040404041,0.020202020202020204,0.010101010101010102,0.0,0.0,0.020202020202020204,0.0,0.030303030303030304,0.025252525252525252,0.0,0.015151515151515152,0.04040404040404041,0.005050505050505051,0.015151515151515152,0.0,0.03535353535353535,0.0,0.03535353535353535
NR1I2 TARGET GENES,0.022988505747126436,0.0028735632183908046,0.011494252873563218,1.0,0.034482758620689655,0.008620689655172414,0.05172413793103448,0.040229885057471264,0.028735632183908046,0.020114942528735632,0.011494252873563218,0.0028735632183908046,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.011494252873563218,0.022988505747126436,0.008620689655172414,0.07183908045977011,0.0,0.03735632183908046,0.008620689655172414,0.05747126436781609,0.04597701149425287,0.08620689655172414,0.020114942528735632,0.008620689655172414,0.034482758620689655,0.0,0.028735632183908046,0.005747126436781609,0.0,0.031609195402298854,0.06321839080459771,0.022988505747126436,0.034482758620689655,0.0,0.04310344827586207,0.0028735632183908046,0.022988505747126436
RUVBL1 TARGET GENES,0.02197802197802198,0.005494505494505495,0.038461538461538464,0.06593406593406594,1.0,0.038461538461538464,0.13186813186813187,0.1043956043956044,0.07142857142857142,0.09340659340659341,0.027472527472527472,0.0,0.01098901098901099,0.01098901098901099,0.02197802197802198,0.02197802197802198,0.027472527472527472,0.02197802197802198,0.13736263736263737,0.02197802197802198,0.06593406593406594,0.01098901098901099,0.1043956043956044,0.04395604395604396,0.016483516483516484,0.03296703296703297,0.016483516483516484,0.02197802197802198,0.0,0.005494505494505495,0.005494505494505495,0.0,0.02197802197802198,0.0989010989010989,0.03296703296703297,0.01098901098901099,0.005494505494505495,0.08791208791208792,0.0,0.03296703296703297
RUVBL2 TARGET GENES,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.1794871794871795,1.0,0.15384615384615385,0.1794871794871795,0.05128205128205128,0.1794871794871795,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.10256410256410256,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.07692307692307693,0.07692307692307693,0.0,0.02564102564102564,0.0,0.10256410256410256,0.0,0.0
ALKBH3 TARGET GENES,0.01805869074492099,0.004514672686230248,0.013544018058690745,0.040632054176072234,0.05417607223476298,0.013544018058690745,1.0,0.3047404063205418,0.13318284424379231,0.16478555304740405,0.045146726862302484,0.0,0.011286681715575621,0.006772009029345372,0.01580135440180587,0.03611738148984198,0.02708803611738149,0.002257336343115124,0.0654627539503386,0.029345372460496615,0.056433408577878104,0.01805869074492099,0.05417607223476298,0.024830699774266364,0.029345372460496615,0.033860045146726865,0.011286681715575621,0.03160270880361174,0.0,0.01805869074492099,0.002257336343115124,0.0,0.07900677200902935,0.05869074492099323,0.013544018058690745,0.01805869074492099,0.0,0.11286681715575621,0.0,0.03160270880361174
RORA TARGET GENES,0.011278195488721804,0.011278195488721804,0.0037593984962406013,0.05263157894736842,0.07142857142857142,0.02631578947368421,0.5075187969924813,1.0,0.12030075187969924,0.13533834586466165,0.05639097744360902,0.0037593984962406013,0.011278195488721804,0.022556390977443608,0.04887218045112782,0.03383458646616541,0.03759398496240601,0.015037593984962405,0.13533834586466165,0.03007518796992481,0.10150375939849623,0.015037593984962405,0.04887218045112782,0.041353383458646614,0.03383458646616541,0.02631578947368421,0.018796992481203006,0.015037593984962405,0.0,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.07518796992481203,0.10902255639097744,0.03383458646616541,0.06390977443609022,0.0,0.09022556390977443,0.0,0.011278195488721804
ZNF101 TARGET GENES,0.02028397565922921,0.004056795131845842,0.014198782961460446,0.02028397565922921,0.02636916835699797,0.004056795131845842,0.11967545638945233,0.06490872210953347,1.0,0.08924949290060852,0.038539553752535496,0.002028397565922921,0.02434077079107505,0.0,0.014198782961460446,0.012170385395537525,0.018255578093306288,0.008113590263691683,0.038539553752535496,0.016227180527383367,0.04259634888438134,0.006085192697768763,0.034482758620689655,0.028397565922920892,0.038539553752535496,0.010141987829614604,0.010141987829614604,0.04056795131845842,0.0,0.02231237322515213,0.0,0.0,0.29006085192697767,0.05273833671399594,0.02231237322515213,0.012170385395537525,0.0,0.12373225152129817,0.0,0.018255578093306288
KLF14 TARGET GENES,0.038910505836575876,0.007782101167315175,0.03501945525291829,0.027237354085603113,0.06614785992217899,0.027237354085603113,0.2840466926070039,0.14007782101167315,0.17120622568093385,1.0,0.04669260700389105,0.023346303501945526,0.019455252918287938,0.0,0.0,0.027237354085603113,0.0311284046692607,0.007782101167315175,0.03501945525291829,0.007782101167315175,0.0311284046692607,0.007782101167315175,0.05058365758754864,0.027237354085603113,0.038910505836575876,0.019455252918287938,0.0,0.058365758754863814,0.0038910505836575876,0.05058365758754864,0.01556420233463035,0.007782101167315175,0.07782101167315175,0.027237354085603113,0.019455252918287938,0.011673151750972763,0.0,0.21011673151750973,0.0,0.04669260700389105
