Pathway,E2F1 Q6,E2F4DP1 01,E2F1DP1 01,E2F1DP2 01,E2F4DP2 01,E2F 02,SGCGSSAAA E2F1DP2 01,E2F Q4,E2F Q6,E2F1DP1RB 01,E2F1 Q3,E2F1 Q6 01,E2F Q4 01,E2F1 Q4 01,E2F Q3 01,E2F Q3,E2F Q6 01,E2F 03,MYCMAX 01,MAX 01,TCCCRNNRTGC UNKNOWN,RRCCGTTA UNKNOWN,GATA C,HNF1 01,RGTTAMWNATT HNF1 01,HNF1 Q6,STAT4 01,CDX2 Q5,FREAC4 01,GR Q6,HEB Q6,AREB6 02,MYOD Q6,OLF1 01,S8 01,YTAATTAA LHX3 01,TGTYNNNNNRGCARM UNKNOWN,TGACCTTG SF1 Q6,SF1 Q6,NRSF 01
E2F1 Q6,1.0,0.9067796610169492,0.902542372881356,0.902542372881356,0.902542372881356,0.9067796610169492,0.6779661016949152,0.8305084745762712,0.847457627118644,0.711864406779661,0.7627118644067796,0.6228813559322034,0.4576271186440678,0.5042372881355932,0.5127118644067796,0.4576271186440678,0.4322033898305085,0.4449152542372881,0.0847457627118644,0.059322033898305086,0.0635593220338983,0.059322033898305086,0.025423728813559324,0.046610169491525424,0.012711864406779662,0.05508474576271186,0.029661016949152543,0.029661016949152543,0.00423728813559322,0.038135593220338986,0.01694915254237288,0.038135593220338986,0.0211864406779661,0.029661016949152543,0.025423728813559324,0.029661016949152543,0.00423728813559322,0.059322033898305086,0.038135593220338986,0.012711864406779662
E2F4DP1 01,0.8842975206611571,1.0,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9297520661157025,0.6694214876033058,0.7768595041322314,0.7933884297520661,0.7892561983471075,0.6942148760330579,0.5702479338842975,0.39669421487603307,0.4462809917355372,0.45041322314049587,0.44214876033057854,0.3884297520661157,0.4256198347107438,0.08264462809917356,0.06198347107438017,0.06611570247933884,0.06198347107438017,0.024793388429752067,0.04132231404958678,0.012396694214876033,0.045454545454545456,0.028925619834710745,0.028925619834710745,0.004132231404958678,0.028925619834710745,0.024793388429752067,0.0371900826446281,0.024793388429752067,0.03305785123966942,0.028925619834710745,0.028925619834710745,0.004132231404958678,0.05785123966942149,0.04132231404958678,0.01652892561983471
E2F1DP1 01,0.8949579831932774,0.9411764705882353,1.0,1.0,1.0,0.9957983193277311,0.7100840336134454,0.7857142857142857,0.8025210084033614,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.40756302521008403,0.4579831932773109,0.46638655462184875,0.37815126050420167,0.3949579831932773,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.058823529411764705,0.058823529411764705,0.025210084033613446,0.04201680672268908,0.012605042016806723,0.04201680672268908,0.029411764705882353,0.029411764705882353,0.004201680672268907,0.03361344537815126,0.02100840336134454,0.037815126050420166,0.02100840336134454,0.037815126050420166,0.025210084033613446,0.025210084033613446,0.004201680672268907,0.058823529411764705,0.04201680672268908,0.01680672268907563
E2F1DP2 01,0.8949579831932774,0.9411764705882353,1.0,1.0,1.0,0.9957983193277311,0.7100840336134454,0.7857142857142857,0.8025210084033614,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.40756302521008403,0.4579831932773109,0.46638655462184875,0.37815126050420167,0.3949579831932773,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.058823529411764705,0.058823529411764705,0.025210084033613446,0.04201680672268908,0.012605042016806723,0.04201680672268908,0.029411764705882353,0.029411764705882353,0.004201680672268907,0.03361344537815126,0.02100840336134454,0.037815126050420166,0.02100840336134454,0.037815126050420166,0.025210084033613446,0.025210084033613446,0.004201680672268907,0.058823529411764705,0.04201680672268908,0.01680672268907563
E2F4DP2 01,0.8949579831932774,0.9411764705882353,1.0,1.0,1.0,0.9957983193277311,0.7100840336134454,0.7857142857142857,0.8025210084033614,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.40756302521008403,0.4579831932773109,0.46638655462184875,0.37815126050420167,0.3949579831932773,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.058823529411764705,0.058823529411764705,0.025210084033613446,0.04201680672268908,0.012605042016806723,0.04201680672268908,0.029411764705882353,0.029411764705882353,0.004201680672268907,0.03361344537815126,0.02100840336134454,0.037815126050420166,0.02100840336134454,0.037815126050420166,0.025210084033613446,0.025210084033613446,0.004201680672268907,0.058823529411764705,0.04201680672268908,0.01680672268907563
E2F 02,0.8991596638655462,0.9453781512605042,0.9957983193277311,0.9957983193277311,0.9957983193277311,1.0,0.7142857142857143,0.7899159663865546,0.8067226890756303,0.7394957983193278,0.7142857142857143,0.5882352941176471,0.4117647058823529,0.46218487394957986,0.47058823529411764,0.38235294117647056,0.3949579831932773,0.4327731092436975,0.08823529411764706,0.06302521008403361,0.058823529411764705,0.058823529411764705,0.025210084033613446,0.04201680672268908,0.012605042016806723,0.046218487394957986,0.029411764705882353,0.029411764705882353,0.004201680672268907,0.03361344537815126,0.02100840336134454,0.037815126050420166,0.02100840336134454,0.037815126050420166,0.025210084033613446,0.025210084033613446,0.004201680672268907,0.058823529411764705,0.04201680672268908,0.01680672268907563
SGCGSSAAA E2F1DP2 01,0.9411764705882353,0.9529411764705882,0.9941176470588236,0.9941176470588236,0.9941176470588236,1.0,1.0,0.8294117647058824,0.8470588235294118,0.7352941176470589,0.7470588235294118,0.6705882352941176,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.4,0.4294117647058823,0.48823529411764705,0.1,0.07647058823529412,0.052941176470588235,0.07647058823529412,0.023529411764705882,0.052941176470588235,0.011764705882352941,0.058823529411764705,0.029411764705882353,0.01764705882352941,0.0,0.041176470588235294,0.011764705882352941,0.029411764705882353,0.01764705882352941,0.03529411764705882,0.023529411764705882,0.029411764705882353,0.0058823529411764705,0.058823529411764705,0.041176470588235294,0.023529411764705882
E2F Q4,0.8235294117647058,0.7899159663865546,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7899159663865546,0.592436974789916,1.0,0.9747899159663865,0.8067226890756303,0.7016806722689075,0.6386554621848739,0.5126050420168067,0.5966386554621849,0.6050420168067226,0.5462184873949579,0.47058823529411764,0.4957983193277311,0.07983193277310924,0.058823529411764705,0.07142857142857142,0.04201680672268908,0.04201680672268908,0.037815126050420166,0.01680672268907563,0.046218487394957986,0.029411764705882353,0.029411764705882353,0.004201680672268907,0.046218487394957986,0.02100840336134454,0.04201680672268908,0.02100840336134454,0.046218487394957986,0.025210084033613446,0.025210084033613446,0.004201680672268907,0.06722689075630252,0.0546218487394958,0.012605042016806723
E2F Q6,0.847457627118644,0.8135593220338984,0.809322033898305,0.809322033898305,0.809322033898305,0.8135593220338984,0.6101694915254238,0.9830508474576272,1.0,0.8135593220338984,0.7076271186440678,0.6440677966101694,0.5169491525423728,0.6016949152542372,0.6101694915254238,0.5508474576271186,0.4745762711864407,0.5,0.08050847457627118,0.05508474576271186,0.06779661016949153,0.0423728813559322,0.0423728813559322,0.038135593220338986,0.01694915254237288,0.046610169491525424,0.025423728813559324,0.029661016949152543,0.00423728813559322,0.046610169491525424,0.0211864406779661,0.0423728813559322,0.0211864406779661,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.00423728813559322,0.0635593220338983,0.05084745762711865,0.012711864406779662
E2F1DP1RB 01,0.721030042918455,0.8197424892703863,0.7510729613733905,0.7510729613733905,0.7510729613733905,0.7553648068669528,0.5364806866952789,0.8240343347639485,0.8240343347639485,1.0,0.7167381974248928,0.5493562231759657,0.48068669527896996,0.5536480686695279,0.5407725321888412,0.592274678111588,0.45493562231759654,0.48068669527896996,0.06437768240343347,0.060085836909871244,0.07725321888412018,0.04721030042918455,0.04291845493562232,0.03862660944206009,0.017167381974248927,0.04291845493562232,0.02575107296137339,0.030042918454935622,0.008583690987124463,0.030042918454935622,0.030042918454935622,0.04721030042918455,0.034334763948497854,0.04291845493562232,0.02575107296137339,0.030042918454935622,0.004291845493562232,0.03862660944206009,0.060085836909871244,0.017167381974248927
