"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.333333333333333","1","4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","rank=1; score=303.2; p=9.6059e-07; adjP=0.00018059","rank=1; score=6.0174; p=9.6068e-07","rank=5; score=4.0311; p=5.5512e-05; direction=Activated"
"2","ATF3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.333333333333334","4","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05","rank=13; score=1.9926; p=0.010171","rank=8; score=3.289; p=0.0010054; direction=Activated"
"3","NFKB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.666666666666666","3","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=7; score=44.387; p=0.00014541; adjP=0.0085574","rank=3; score=3.7397; p=0.00018208","rank=22; score=2.7139; p=0.0066492; direction=Activated"
"4","RELA","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.666666666666666","4","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=10; score=26.559; p=6.3953e-05; adjP=0.0058118","rank=4; score=3.1473; p=0.00071234","rank=24; score=2.6249; p=0.0086683; direction=Activated"
"5","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.666666666666668","8","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=37; score=27.651; p=0.0025844; adjP=0.038888","rank=8; score=2.5876; p=0.0025845","rank=29; score=2.5412; p=0.011046; direction=Activated"
"6","STAT1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.000000000000000","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=53; score=55.009; p=0.0042483; adjP=0.053246","rank=36; score=1.321; p=0.047749","rank=4; score=4.1029; p=4.0798e-05; direction=Activated"
"7","FOSL2","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.333333333333336","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451","rank=69; score=0.86834; p=0.13541","rank=34; score=2.4463; p=0.014433; direction=Activated"
"8","CEBPB","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.333333333333329","6","6","ENCODE--ChIP-seq(rank=5); Enrichr--Queries(rank=44); ReMap--ChIP-seq(rank=62); Literature--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=214); GTEx--Coexpression(rank=352)","119","rank=6; score=44.179; p=0.0026891; adjP=0.038888","rank=9; score=2.5704; p=0.0026891","rank=115; score=1.6854; p=0.091911; direction=Activated"
"9","IRF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.333333333333336","32","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=1169)","18","rank=58; score=122.93; p=0.0048116; adjP=0.056536","rank=32; score=1.3248; p=0.047332","rank=40; score=2.3866; p=0.017005; direction=Activated"
"10","CLOCK","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.000000000000000","12","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=612); Enrichr--Queries(rank=1231); GTEx--Coexpression(rank=1571)","811","rank=71; score=83.813; p=0.007811; adjP=0.066749","rank=12; score=2.1073; p=0.0078111","rank=49; score=2.2647; p=0.023533; direction=Activated"
