Pathway,T CELL RECEPTOR COMPLEX,ALPHA BETA T CELL RECEPTOR COMPLEX,IMMUNOLOGICAL SYNAPSE,PRESYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,PRESYNAPTIC ACTIVE ZONE,NEURON PROJECTION TERMINUS,SYNAPTIC VESICLE MEMBRANE,EXOCYTIC VESICLE,GABA ERGIC SYNAPSE,NEURON PROJECTION MEMBRANE,DENDRITE MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC DENSITY MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,NEURON SPINE,EXCITATORY SYNAPSE,DISTAL AXON,SITE OF POLARIZED GROWTH,NEUROMUSCULAR JUNCTION,CYTOPLASMIC REGION,MONOATOMIC ION CHANNEL COMPLEX,CATION CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,MAIN AXON,PERIKARYON,SARCOLEMMA,CELL CELL CONTACT ZONE,SARCOPLASM,CONTRACTILE MUSCLE FIBER,I BAND,DENSE CORE GRANULE,NEURONAL DENSE CORE VESICLE,OUTER KINETOCHORE,TRANSCRIPTION FACTOR AP 1 COMPLEX,MHC PROTEIN COMPLEX,IMMUNOGLOBULIN COMPLEX CIRCULATING,RIBOSOMAL SUBUNIT
T CELL RECEPTOR COMPLEX,1.0,0.06802721088435375,0.034013605442176874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHA BETA T CELL RECEPTOR COMPLEX,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNOLOGICAL SYNAPSE,0.10638297872340426,0.02127659574468085,1.0,0.06382978723404255,0.0851063829787234,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.02127659574468085,0.0,0.0,0.0,0.06382978723404255,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0
PRESYNAPTIC MEMBRANE,0.0,0.0,0.016483516483516484,1.0,1.0,0.3021978021978022,0.1813186813186813,0.15934065934065933,0.24725274725274726,0.13186813186813187,0.07692307692307693,0.04945054945054945,0.5,0.1813186813186813,0.15384615384615385,0.2692307692307692,0.2967032967032967,0.12087912087912088,0.11538461538461539,0.22527472527472528,0.08241758241758242,0.07692307692307693,0.06043956043956044,0.21978021978021978,0.15934065934065933,0.03296703296703297,0.04945054945054945,0.11538461538461539,0.054945054945054944,0.016483516483516484,0.01098901098901099,0.016483516483516484,0.01098901098901099,0.027472527472527472,0.01098901098901099,0.0,0.0,0.0,0.0,0.0
SYNAPTIC MEMBRANE,0.0,0.0,0.009009009009009009,0.4099099099099099,1.0,0.13063063063063063,0.0990990990990991,0.08558558558558559,0.13288288288288289,0.14864864864864866,0.09684684684684684,0.08333333333333333,0.7094594594594594,0.34234234234234234,0.27702702702702703,0.44819819819819817,0.41216216216216217,0.19144144144144143,0.11036036036036036,0.13963963963963963,0.06306306306306306,0.08558558558558559,0.04504504504504504,0.25,0.12162162162162163,0.013513513513513514,0.04954954954954955,0.09009009009009009,0.06756756756756757,0.02027027027027027,0.015765765765765764,0.02702702702702703,0.02027027027027027,0.013513513513513514,0.006756756756756757,0.0,0.0,0.0,0.0,0.0
PRESYNAPTIC ACTIVE ZONE,0.0,0.0,0.0,0.6395348837209303,0.6744186046511628,1.0,0.19767441860465115,0.18604651162790697,0.2558139534883721,0.19767441860465115,0.05813953488372093,0.03488372093023256,0.2441860465116279,0.11627906976744186,0.09302325581395349,0.27906976744186046,0.3023255813953488,0.09302325581395349,0.1511627906976744,0.23255813953488372,0.06976744186046512,0.11627906976744186,0.16279069767441862,0.11627906976744186,0.06976744186046512,0.0,0.023255813953488372,0.03488372093023256,0.06976744186046512,0.03488372093023256,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.0,0.0,0.0,0.0,0.0
NEURON PROJECTION TERMINUS,0.0,0.0,0.0,0.25,0.3333333333333333,0.12878787878787878,1.0,0.2196969696969697,0.2803030303030303,0.08333333333333333,0.08333333333333333,0.06060606060606061,0.20454545454545456,0.08333333333333333,0.08333333333333333,0.19696969696969696,0.25,0.14393939393939395,0.09090909090909091,0.8787878787878788,0.06060606060606061,0.06818181818181818,0.06818181818181818,0.15151515151515152,0.13636363636363635,0.022727272727272728,0.09848484848484848,0.21212121212121213,0.06060606060606061,0.007575757575757576,0.022727272727272728,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
SYNAPTIC VESICLE MEMBRANE,0.0,0.0,0.007042253521126761,0.20422535211267606,0.2676056338028169,0.11267605633802817,0.20422535211267606,1.0,1.0,0.056338028169014086,0.035211267605633804,0.035211267605633804,0.11971830985915492,0.07042253521126761,0.06338028169014084,0.13380281690140844,0.1619718309859155,0.06338028169014084,0.07042253521126761,0.2112676056338028,0.056338028169014086,0.09154929577464789,0.04225352112676056,0.07042253521126761,0.035211267605633804,0.0,0.007042253521126761,0.04225352112676056,0.035211267605633804,0.0,0.014084507042253521,0.014084507042253521,0.007042253521126761,0.07746478873239436,0.028169014084507043,0.0,0.0,0.0,0.0,0.0
EXOCYTIC VESICLE,0.0,0.0,0.0071174377224199285,0.1601423487544484,0.2099644128113879,0.07829181494661921,0.13167259786476868,0.505338078291815,1.0,0.03914590747330961,0.02491103202846975,0.021352313167259787,0.08896797153024912,0.05338078291814947,0.0498220640569395,0.11387900355871886,0.1423487544483986,0.08185053380782918,0.0498220640569395,0.15302491103202848,0.05338078291814947,0.05693950177935943,0.03914590747330961,0.05338078291814947,0.02491103202846975,0.0,0.017793594306049824,0.05338078291814947,0.028469750889679714,0.0,0.0071174377224199285,0.014234875444839857,0.0071174377224199285,0.05693950177935943,0.03202846975088968,0.0,0.0,0.0,0.0,0.0
GABA ERGIC SYNAPSE,0.0,0.0,0.0,0.21238938053097345,0.584070796460177,0.1504424778761062,0.09734513274336283,0.07079646017699115,0.09734513274336283,1.0,0.11504424778761062,0.09734513274336283,0.504424778761062,0.2831858407079646,0.13274336283185842,0.415929203539823,0.2920353982300885,0.1504424778761062,0.08849557522123894,0.168141592920354,0.08849557522123894,0.04424778761061947,0.07964601769911504,0.22123893805309736,0.061946902654867256,0.0,0.035398230088495575,0.061946902654867256,0.05309734513274336,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.035398230088495575,0.02654867256637168,0.0,0.0,0.0,0.0,0.017699115044247787
