Pathway,T CELL RECEPTOR COMPLEX,ALPHA BETA T CELL RECEPTOR COMPLEX,IMMUNOLOGICAL SYNAPSE,PRESYNAPTIC MEMBRANE,SYNAPTIC MEMBRANE,PRESYNAPTIC ACTIVE ZONE,NEURON PROJECTION TERMINUS,SYNAPTIC VESICLE MEMBRANE,EXOCYTIC VESICLE,GABA ERGIC SYNAPSE,NEURON PROJECTION MEMBRANE,DENDRITE MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC DENSITY MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,NEURON SPINE,EXCITATORY SYNAPSE,DISTAL AXON,SITE OF POLARIZED GROWTH,NEUROMUSCULAR JUNCTION,CYTOPLASMIC REGION,MONOATOMIC ION CHANNEL COMPLEX,CATION CHANNEL COMPLEX,SODIUM CHANNEL COMPLEX,MAIN AXON,PERIKARYON,SARCOLEMMA,CELL CELL CONTACT ZONE,SARCOPLASM,CONTRACTILE MUSCLE FIBER,I BAND,DENSE CORE GRANULE,NEURONAL DENSE CORE VESICLE,OUTER KINETOCHORE,TRANSCRIPTION FACTOR AP 1 COMPLEX,MHC PROTEIN COMPLEX,IMMUNOGLOBULIN COMPLEX CIRCULATING,RIBOSOMAL SUBUNIT
NEURON PROJECTION MEMBRANE,0.0,0.0,0.0,0.2153846153846154,0.6615384615384615,0.07692307692307693,0.16923076923076924,0.07692307692307693,0.1076923076923077,0.2,1.0,0.6923076923076923,0.5076923076923077,0.26153846153846155,0.12307692307692308,0.35384615384615387,0.24615384615384617,0.4307692307692308,0.06153846153846154,0.23076923076923078,0.07692307692307693,0.015384615384615385,0.03076923076923077,0.38461538461538464,0.13846153846153847,0.0,0.26153846153846155,0.15384615384615385,0.06153846153846154,0.0,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.0,0.0
DENDRITE MEMBRANE,0.0,0.0,0.0,0.2,0.8222222222222222,0.06666666666666667,0.17777777777777778,0.1111111111111111,0.13333333333333333,0.24444444444444444,1.0,1.0,0.6444444444444445,0.37777777777777777,0.17777777777777778,0.4888888888888889,0.28888888888888886,0.5333333333333333,0.08888888888888889,0.26666666666666666,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.5333333333333333,0.17777777777777778,0.0,0.13333333333333333,0.17777777777777778,0.06666666666666667,0.0,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC MEMBRANE,0.0,0.0,0.006349206349206349,0.28888888888888886,1.0,0.06666666666666667,0.08571428571428572,0.05396825396825397,0.07936507936507936,0.18095238095238095,0.10476190476190476,0.09206349206349207,1.0,0.48253968253968255,0.3904761904761905,0.580952380952381,0.5111111111111111,0.20634920634920634,0.1111111111111111,0.11746031746031746,0.050793650793650794,0.08253968253968254,0.0380952380952381,0.30793650793650795,0.13015873015873017,0.015873015873015872,0.05396825396825397,0.08888888888888889,0.06349206349206349,0.022222222222222223,0.01904761904761905,0.02857142857142857,0.022222222222222223,0.009523809523809525,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC SPECIALIZATION MEMBRANE,0.0,0.0,0.006578947368421052,0.21710526315789475,1.0,0.06578947368421052,0.07236842105263158,0.06578947368421052,0.09868421052631579,0.21052631578947367,0.1118421052631579,0.1118421052631579,1.0,1.0,0.8092105263157895,1.0,0.8289473684210527,0.23026315789473684,0.14473684210526316,0.09868421052631579,0.039473684210526314,0.08552631578947369,0.039473684210526314,0.3618421052631579,0.13157894736842105,0.03289473684210526,0.039473684210526314,0.09868421052631579,0.05921052631578947,0.013157894736842105,0.0,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC DENSITY MEMBRANE,0.0,0.0,0.008130081300813009,0.22764227642276422,1.0,0.06504065040650407,0.08943089430894309,0.07317073170731707,0.11382113821138211,0.12195121951219512,0.06504065040650407,0.06504065040650407,1.0,1.0,1.0,1.0,1.0,0.21951219512195122,0.15447154471544716,0.11382113821138211,0.04065040650406504,0.06504065040650407,0.04878048780487805,0.2845528455284553,0.13821138211382114,0.04065040650406504,0.04878048780487805,0.08130081300813008,0.056910569105691054,0.016260162601626018,0.0,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC SPECIALIZATION,0.0,0.0,0.007792207792207792,0.12727272727272726,0.5168831168831168,0.06233766233766234,0.06753246753246753,0.04935064935064935,0.08311688311688312,0.12207792207792208,0.05974025974025974,0.05714285714285714,0.4753246753246753,0.3948051948051948,0.3194805194805195,1.0,0.9116883116883117,0.23636363636363636,0.09090909090909091,0.12467532467532468,0.07272727272727272,0.05714285714285714,0.046753246753246755,0.15844155844155844,0.05454545454545454,0.012987012987012988,0.02857142857142857,0.08831168831168831,0.04415584415584416,0.015584415584415584,0.023376623376623377,0.033766233766233764,0.023376623376623377,0.01038961038961039,0.005194805194805195,0.0,0.0,0.0,0.0,0.04415584415584416
NEURON TO NEURON SYNAPSE,0.0,0.0,0.0075,0.135,0.4575,0.065,0.0825,0.0575,0.1,0.0825,0.04,0.0325,0.4025,0.315,0.3075,0.8775,1.0,0.225,0.1125,0.14,0.0725,0.0425,0.0475,0.1025,0.045,0.0125,0.035,0.085,0.0425,0.0225,0.0225,0.0325,0.0225,0.0275,0.0175,0.0,0.0,0.0,0.0,0.0425
NEURON SPINE,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.13095238095238096,0.5059523809523809,0.047619047619047616,0.1130952380952381,0.05357142857142857,0.13690476190476192,0.10119047619047619,0.16666666666666666,0.14285714285714285,0.3869047619047619,0.20833333333333334,0.16071428571428573,0.5416666666666666,0.5357142857142857,1.0,0.11904761904761904,0.22023809523809523,0.13095238095238096,0.05357142857142857,0.06547619047619048,0.16071428571428573,0.05357142857142857,0.0,0.05357142857142857,0.13690476190476192,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.07142857142857142,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.0,0.0
EXCITATORY SYNAPSE,0.0,0.0,0.0,0.29577464788732394,0.6901408450704225,0.18309859154929578,0.16901408450704225,0.14084507042253522,0.19718309859154928,0.14084507042253522,0.056338028169014086,0.056338028169014086,0.49295774647887325,0.30985915492957744,0.2676056338028169,0.49295774647887325,0.6338028169014085,0.28169014084507044,1.0,0.14084507042253522,0.056338028169014086,0.09859154929577464,0.09859154929577464,0.2112676056338028,0.07042253521126761,0.0,0.014084507042253521,0.04225352112676056,0.04225352112676056,0.028169014084507043,0.0,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0
DISTAL AXON,0.0,0.0,0.0,0.14909090909090908,0.22545454545454546,0.07272727272727272,0.4218181818181818,0.10909090909090909,0.15636363636363637,0.06909090909090909,0.05454545454545454,0.04363636363636364,0.13454545454545455,0.05454545454545454,0.05090909090909091,0.17454545454545456,0.20363636363636364,0.13454545454545455,0.03636363636363636,1.0,0.6,0.06181818181818182,0.06909090909090909,0.08727272727272728,0.07272727272727272,0.014545454545454545,0.06545454545454546,0.1781818181818182,0.04,0.014545454545454545,0.014545454545454545,0.04,0.01818181818181818,0.03272727272727273,0.02909090909090909,0.0,0.0,0.0,0.0,0.0
SITE OF POLARIZED GROWTH,0.0,0.0,0.0,0.08823529411764706,0.16470588235294117,0.03529411764705882,0.047058823529411764,0.047058823529411764,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.023529411764705882,0.09411764705882353,0.03529411764705882,0.029411764705882353,0.16470588235294117,0.17058823529411765,0.12941176470588237,0.023529411764705882,0.9705882352941176,1.0,0.058823529411764705,0.09411764705882353,0.041176470588235294,0.029411764705882353,0.0058823529411764705,0.041176470588235294,0.14705882352941177,0.023529411764705882,0.01764705882352941,0.0058823529411764705,0.029411764705882353,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0
NEUROMUSCULAR JUNCTION,0.0,0.0,0.033707865168539325,0.15730337078651685,0.42696629213483145,0.11235955056179775,0.10112359550561797,0.14606741573033707,0.1797752808988764,0.056179775280898875,0.011235955056179775,0.011235955056179775,0.29213483146067415,0.14606741573033707,0.0898876404494382,0.24719101123595505,0.19101123595505617,0.10112359550561797,0.07865168539325842,0.19101123595505617,0.11235955056179775,1.0,0.06741573033707865,0.10112359550561797,0.033707865168539325,0.0,0.06741573033707865,0.11235955056179775,0.21348314606741572,0.06741573033707865,0.0449438202247191,0.06741573033707865,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOPLASMIC REGION,0.0,0.0,0.002824858757062147,0.031073446327683617,0.05649717514124294,0.03954802259887006,0.025423728813559324,0.01694915254237288,0.031073446327683617,0.025423728813559324,0.005649717514124294,0.002824858757062147,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.05367231638418079,0.031073446327683617,0.01977401129943503,0.05367231638418079,0.04519774011299435,0.01694915254237288,1.0,0.022598870056497175,0.01977401129943503,0.005649717514124294,0.01977401129943503,0.025423728813559324,0.002824858757062147,0.00847457627118644,0.002824858757062147,0.00847457627118644,0.00847457627118644,0.005649717514124294,0.002824858757062147,0.002824858757062147,0.0,0.0,0.0,0.0
MONOATOMIC ION CHANNEL COMPLEX,0.0,0.0,0.0,0.10810810810810811,0.3,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.04054054054054054,0.06756756756756757,0.06756756756756757,0.06486486486486487,0.26216216216216215,0.14864864864864866,0.0945945945945946,0.16486486486486487,0.11081081081081082,0.07297297297297298,0.04054054054054054,0.06486486486486487,0.01891891891891892,0.024324324324324326,0.021621621621621623,1.0,0.6405405405405405,0.07567567567567568,0.05945945945945946,0.06486486486486487,0.0972972972972973,0.01891891891891892,0.032432432432432434,0.062162162162162166,0.04864864864864865,0.005405405405405406,0.005405405405405406,0.0,0.0,0.0,0.0,0.0
CATION CHANNEL COMPLEX,0.0,0.0,0.0,0.12236286919831224,0.22784810126582278,0.02531645569620253,0.0759493670886076,0.02109704641350211,0.029535864978902954,0.029535864978902954,0.0379746835443038,0.03375527426160337,0.1729957805907173,0.08438818565400844,0.07172995780590717,0.08860759493670886,0.0759493670886076,0.0379746835443038,0.02109704641350211,0.08438818565400844,0.02109704641350211,0.012658227848101266,0.029535864978902954,1.0,1.0,0.11814345991561181,0.08860759493670886,0.08016877637130802,0.14345991561181434,0.029535864978902954,0.046413502109704644,0.0970464135021097,0.0759493670886076,0.004219409282700422,0.004219409282700422,0.0,0.0,0.0,0.0,0.0
SODIUM CHANNEL COMPLEX,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.0,0.0,0.14285714285714285,0.03571428571428571,0.0,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAIN AXON,0.0,0.0,0.014084507042253521,0.1267605633802817,0.30985915492957744,0.028169014084507043,0.18309859154929578,0.014084507042253521,0.07042253521126761,0.056338028169014086,0.23943661971830985,0.08450704225352113,0.23943661971830985,0.08450704225352113,0.08450704225352113,0.15492957746478872,0.19718309859154928,0.1267605633802817,0.014084507042253521,0.2535211267605634,0.09859154929577464,0.08450704225352113,0.09859154929577464,0.30985915492957744,0.29577464788732394,0.08450704225352113,1.0,0.22535211267605634,0.1267605633802817,0.07042253521126761,0.04225352112676056,0.09859154929577464,0.07042253521126761,0.04225352112676056,0.028169014084507043,0.0,0.0,0.0,0.0,0.0
PERIKARYON,0.0,0.0,0.0,0.13815789473684212,0.2631578947368421,0.019736842105263157,0.18421052631578946,0.039473684210526314,0.09868421052631579,0.046052631578947366,0.06578947368421052,0.05263157894736842,0.18421052631578946,0.09868421052631579,0.06578947368421052,0.2236842105263158,0.2236842105263158,0.1513157894736842,0.019736842105263157,0.3223684210526316,0.16447368421052633,0.06578947368421052,0.05921052631578947,0.15789473684210525,0.125,0.019736842105263157,0.10526315789473684,1.0,0.05263157894736842,0.006578947368421052,0.013157894736842105,0.046052631578947366,0.039473684210526314,0.039473684210526314,0.03289473684210526,0.0,0.0,0.0,0.0,0.006578947368421052
SARCOLEMMA,0.0,0.0,0.0070921985815602835,0.07092198581560284,0.2127659574468085,0.0425531914893617,0.05673758865248227,0.03546099290780142,0.05673758865248227,0.0425531914893617,0.028368794326241134,0.02127659574468085,0.14184397163120568,0.06382978723404255,0.04964539007092199,0.12056737588652482,0.12056737588652482,0.06382978723404255,0.02127659574468085,0.07801418439716312,0.028368794326241134,0.1347517730496454,0.0070921985815602835,0.2553191489361702,0.24113475177304963,0.028368794326241134,0.06382978723404255,0.05673758865248227,1.0,0.16312056737588654,0.16312056737588654,0.3262411347517731,0.2624113475177305,0.0070921985815602835,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0
CELL CELL CONTACT ZONE,0.0,0.0,0.02702702702702703,0.04054054054054054,0.12162162162162163,0.04054054054054054,0.013513513513513514,0.0,0.0,0.013513513513513514,0.0,0.0,0.0945945945945946,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.12162162162162163,0.04054054054054054,0.02702702702702703,0.05405405405405406,0.04054054054054054,0.08108108108108109,0.04054054054054054,0.0945945945945946,0.0945945945945946,0.05405405405405406,0.06756756756756757,0.013513513513513514,0.3108108108108108,1.0,0.04054054054054054,0.28378378378378377,0.22972972972972974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARCOPLASM,0.0,0.0,0.0,0.022222222222222223,0.07777777777777778,0.011111111111111112,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.0,0.06666666666666667,0.0,0.0,0.1,0.1,0.03333333333333333,0.0,0.044444444444444446,0.011111111111111112,0.044444444444444446,0.011111111111111112,0.13333333333333333,0.12222222222222222,0.0,0.03333333333333333,0.022222222222222223,0.25555555555555554,0.03333333333333333,1.0,0.3111111111111111,0.24444444444444444,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0,0.0
CONTRACTILE MUSCLE FIBER,0.0,0.0,0.0,0.011857707509881422,0.04743083003952569,0.011857707509881422,0.03162055335968379,0.007905138339920948,0.015810276679841896,0.003952569169960474,0.007905138339920948,0.0,0.03557312252964427,0.003952569169960474,0.003952569169960474,0.05138339920948617,0.05138339920948617,0.04743083003952569,0.007905138339920948,0.043478260869565216,0.019762845849802372,0.023715415019762844,0.011857707509881422,0.09090909090909091,0.09090909090909091,0.015810276679841896,0.02766798418972332,0.02766798418972332,0.18181818181818182,0.08300395256916997,0.11067193675889328,1.0,0.5928853754940712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I BAND,0.0,0.0,0.0,0.013333333333333334,0.06,0.013333333333333334,0.02666666666666667,0.006666666666666667,0.013333333333333334,0.0,0.006666666666666667,0.0,0.04666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.013333333333333334,0.03333333333333333,0.013333333333333334,0.02666666666666667,0.02,0.12,0.12,0.02666666666666667,0.03333333333333333,0.04,0.24666666666666667,0.11333333333333333,0.14666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENSE CORE GRANULE,0.0,0.0,0.0,0.1,0.12,0.04,0.16,0.22,0.32,0.08,0.04,0.04,0.06,0.02,0.02,0.08,0.22,0.06,0.04,0.18,0.04,0.0,0.04,0.04,0.02,0.0,0.06,0.12,0.02,0.0,0.02,0.0,0.0,1.0,0.64,0.0,0.0,0.0,0.0,0.0
NEURONAL DENSE CORE VESICLE,0.0,0.0,0.0,0.0625,0.09375,0.03125,0.1875,0.125,0.28125,0.09375,0.0625,0.0625,0.03125,0.03125,0.03125,0.0625,0.21875,0.09375,0.0,0.25,0.0625,0.0,0.03125,0.0625,0.03125,0.0,0.0625,0.15625,0.03125,0.0,0.03125,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
OUTER KINETOCHORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRANSCRIPTION FACTOR AP 1 COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MHC PROTEIN COMPLEX,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IMMUNOGLOBULIN COMPLEX CIRCULATING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RIBOSOMAL SUBUNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.09289617486338798,0.09289617486338798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
