"Analysis_Name","Scope_Group_Column","Scope_Group_Value","GeneSet_Name","Source","Ranked_Genes","GSEA_Terms","Positive_NES","Negative_NES","CSV_File"
"Liver_metastasis","tissue_class","Liver_metastasis","hallmark","computed","18889","30","30","0","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/hallmark/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","hallmark","computed","18912","12","12","0","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","hallmark","computed","18789","26","8","4","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/hallmark/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","CP_BIOCARTA","computed","18889","25","18","7","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_BIOCARTA/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","CP_BIOCARTA","computed","18912","85","84","1","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_BIOCARTA/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","CP_BIOCARTA","computed","18789","68","57","11","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_BIOCARTA/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","CP_KEGG_MEDICUS","computed","18889","83","62","21","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","CP_KEGG_MEDICUS","computed","18912","177","156","15","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","CP_KEGG_MEDICUS","computed","18789","114","79","35","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_KEGG_MEDICUS/gsea_result.csv"
"Liver_metastasis","tissue_class","Liver_metastasis","CP_KEGG_LEGACY","computed","18889","56","37","7","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Primary_tumor","tissue_class","Primary_tumor","CP_KEGG_LEGACY","computed","18912","50","37","3","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
"Normal_colon","tissue_class","Normal_colon","CP_KEGG_LEGACY","computed","18789","67","42","21","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_KEGG_LEGACY/gsea_result.csv"
