"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","4","ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=713); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=1404)","895","rank=2; score=4.9598; direction=Activated","rank=1; score=5.3843; p=7.2727e-08; direction=Activated"
"2","NFKB1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","4","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","rank=4; score=4.2144; direction=Activated","rank=15; score=3.2326; p=0.0012265; direction=Activated"
"3","RELA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.5","8","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=656)","68","rank=8; score=3.7914; direction=Activated","rank=31; score=2.8349; p=0.0045847; direction=Activated"
"4","FOSL1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","13","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=109)","45","rank=29; score=2.5787; direction=Activated","rank=13; score=3.3459; p=0.0008201; direction=Activated"
"5","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","4","6","ENCODE--ChIP-seq(rank=102); Literature--ChIP-seq(rank=117); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=988); GTEx--Coexpression(rank=1263); ARCHS4--Coexpression(rank=1323)","1500","rank=39; score=2.3109; direction=Repressed","rank=4; score=3.8771; p=0.00010571; direction=Repressed"
"6","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","5","6","Literature--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=1028); ARCHS4--Coexpression(rank=1434)","688","rank=38; score=2.3257; direction=Activated","rank=5; score=3.7634; p=0.00016763; direction=Activated"
"7","IRF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","20","5","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=259); Enrichr--Queries(rank=986); GTEx--Coexpression(rank=1195); ARCHS4--Coexpression(rank=1231)","1274","rank=28; score=2.5843; direction=Repressed","rank=20; score=3.0396; p=0.0023686; direction=Activated"
"8","STAT3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","15","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=763)","143","rank=15; score=3.4093; direction=Activated","rank=36; score=2.7048; p=0.0068338; direction=Activated"
"9","ETV4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.0","10","4","Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=373); GTEx--Coexpression(rank=614)","168","rank=10; score=3.7243; direction=Activated","rank=42; score=2.6722; p=0.0075352; direction=Activated"
"10","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.0","8","6","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=109); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=683); Enrichr--Queries(rank=1063); ARCHS4--Coexpression(rank=1395)","986","rank=52; score=1.987; direction=Activated","rank=8; score=3.6329; p=0.0002803; direction=Activated"
