"TF","DLD1","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-12.03626670307464686","-12.03626670307464686","12.03626670307464686","Repressed","1","viper","1","12.03626670307464686",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=6); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=1305); ARCHS4--Coexpression(rank=1318)","17","0.00609800000000000","Literature ChIP-seq,0.006098"
"ZNF263","-6.97409623199855133","-6.97409623199855133","6.97409623199855133","Repressed","2","viper","2","6.97409623199855133",NA,NA,"6","ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=68); Enrichr--Queries(rank=683); GTEx--Coexpression(rank=1479); ARCHS4--Coexpression(rank=1493)","395","0.09764000000000000","ReMap ChIP-seq,0.09764"
"MYC","-6.96164586509100936","-6.96164586509100936","6.96164586509100936","Repressed","3","viper","3","6.96164586509100936",NA,NA,"6","Literature--ChIP-seq(rank=64); ENCODE--ChIP-seq(rank=65); Enrichr--Queries(rank=173); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=220); GTEx--Coexpression(rank=1000)","480","0.12320000000000000","Enrichr Queries,0.1232"
"E2F1","-6.94446816082077145","-6.94446816082077145","6.94446816082077145","Repressed","4","viper","4","6.94446816082077145",NA,NA,"6","GTEx--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=194)","13","0.00373400000000000","GTEx Coexpression,0.003734"
"PRDM14","6.59533593893632908","6.59533593893632908","6.59533593893632908","Activated","5","viper","5","6.59533593893632908",NA,NA,"5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=126); Enrichr--Queries(rank=1187); GTEx--Coexpression(rank=1248)","103","0.02694000000000000","ReMap ChIP-seq,0.02694"
"ZBTB7A","-6.50033551971387791","-6.50033551971387791","6.50033551971387791","Repressed","6","viper","6","6.50033551971387791",NA,NA,"5","ReMap--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=29); GTEx--Coexpression(rank=688); ARCHS4--Coexpression(rank=823); Enrichr--Queries(rank=1292)","171","0.04377000000000000","ReMap ChIP-seq,0.04377"
"E2F2","-5.91470691975016738","-5.91470691975016738","5.91470691975016738","Repressed","7","viper","7","5.91470691975016738",NA,NA,"3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=285)","9","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"KLF9","5.45002364507030101","5.45002364507030101","5.45002364507030101","Activated","8","viper","8","5.45002364507030101",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=178); Enrichr--Queries(rank=209); GTEx--Coexpression(rank=1021)","428","0.10929999999999999","ARCHS4 Coexpression,0.1093"
"FOXO3","5.20756347311518741","5.20756347311518741","5.20756347311518741","Activated","9","viper","9","5.20756347311518741",NA,NA,"4","Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=827); ARCHS4--Coexpression(rank=1217); GTEx--Coexpression(rank=1277)","1392","0.58899999999999997","Enrichr Queries,0.589"
"TFDP1","-5.14447575612769015","-5.14447575612769015","5.14447575612769015","Repressed","10","viper","10","5.14447575612769015",NA,NA,"4","GTEx--Coexpression(rank=1); ARCHS4--Coexpression(rank=28); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=59)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"KLF5","4.94405759019489999","4.94405759019489999","4.94405759019489999","Activated","11","viper","11","4.94405759019489999",NA,NA,"5","Literature--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=128); Enrichr--Queries(rank=134); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=665)","327","0.07862000000000000","ARCHS4 Coexpression,0.07862"
