Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,SPLICEOSOMAL COMPLEX,CELL CORTEX,CELL CORTEX REGION,LATERAL PLASMA MEMBRANE,CELL LEADING EDGE,RUFFLE,LAMELLIPODIUM,CATION CHANNEL COMPLEX,PROTON TRANSPORTING ATP SYNTHASE COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,PROTEASOME CORE COMPLEX,SPERMATOPROTEASOME COMPLEX,PROTEASOME STORAGE GRANULE,P BODY,ORGANELLAR RIBOSOME,NEUROMUSCULAR JUNCTION,SPECTRIN ASSOCIATED CYTOSKELETON,ROUGH ENDOPLASMIC RETICULUM MEMBRANE,TRANSLOCON COMPLEX,CATENIN COMPLEX,DESMOSOME,PREFOLDIN COMPLEX,SNARE COMPLEX,VESICLE TETHERING COMPLEX,MISMATCH REPAIR COMPLEX,RNAI EFFECTOR COMPLEX,NUCLEAR PORE,NUCLEAR ENVELOPE,MRE11 COMPLEX
RIBOSOMAL SUBUNIT,1.0,0.6120218579234973,1.0,0.31693989071038253,0.0,0.0,0.5409836065573771,0.22404371584699453,0.40437158469945356,0.22950819672131148,0.00546448087431694,0.0,0.0,0.0,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44808743169398907,0.0,0.0,0.02185792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,0.5178571428571429,0.0,0.0,0.5178571428571429,0.0,0.026785714285714284,0.21428571428571427,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIBOSOME,0.7754237288135594,0.4745762711864407,1.0,0.2457627118644068,0.0,0.0,0.5127118644067796,0.17372881355932204,0.3135593220338983,0.18220338983050846,0.00847457627118644,0.00847457627118644,0.0,0.0,0.012711864406779662,0.00847457627118644,0.00423728813559322,0.0,0.0,0.0,0.0,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.3559322033898305,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012711864406779662,0.0
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.39655172413793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESPIRATORY CHAIN COMPLEX,0.0,0.0,0.0,0.0,1.0,0.41228070175438597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.19298245614035087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADH DEHYDROGENASE COMPLEX,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC RIBOSOME,0.8181818181818182,0.4793388429752066,1.0,0.4793388429752066,0.0,0.0,1.0,0.33884297520661155,0.33884297520661155,0.33884297520661155,0.0,0.008264462809917356,0.0,0.0,0.024793388429752067,0.01652892561983471,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL RIBOSOMAL SUBUNIT,1.0,0.04054054054054054,1.0,0.0,0.0,0.0,0.5540540540540541,0.5540540540540541,1.0,0.25675675675675674,0.0,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL SUBSTRATE JUNCTION,0.10071942446043165,0.05755395683453238,0.10311750599520383,0.05515587529976019,0.0,0.0,0.09832134292565947,0.04316546762589928,0.045563549160671464,1.0,0.007194244604316547,0.13908872901678657,0.009592326139088728,0.014388489208633094,0.23741007194244604,0.12470023980815348,0.1510791366906475,0.002398081534772182,0.0,0.004796163069544364,0.002398081534772182,0.0,0.0,0.0,0.004796163069544364,0.0,0.02158273381294964,0.002398081534772182,0.004796163069544364,0.0,0.011990407673860911,0.009592326139088728,0.0,0.004796163069544364,0.004796163069544364,0.0,0.002398081534772182,0.0,0.03117505995203837,0.0
SPLICEOSOMAL COMPLEX,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,1.0,0.0045662100456621,0.0,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0182648401826484,0.0
CELL CORTEX,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.17901234567901234,0.0030864197530864196,1.0,0.08950617283950617,0.037037037037037035,0.23148148148148148,0.11419753086419752,0.13580246913580246,0.024691358024691357,0.0,0.033950617283950615,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.018518518518518517,0.021604938271604937,0.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0030864197530864196,0.05246913580246913,0.0,0.0,0.0,0.043209876543209874,0.0
CELL CORTEX REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,1.0,1.0,0.10344827586206896,0.20689655172413793,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0
LATERAL PLASMA MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.17647058823529413,0.04411764705882353,1.0,0.1323529411764706,0.058823529411764705,0.08823529411764706,0.04411764705882353,0.0,0.058823529411764705,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.014705882352941176,0.0,0.0,0.04411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL LEADING EDGE,0.0045662100456621,0.0,0.00684931506849315,0.0,0.0,0.0,0.00684931506849315,0.0045662100456621,0.0045662100456621,0.22602739726027396,0.00228310502283105,0.17123287671232876,0.0136986301369863,0.02054794520547945,1.0,0.4337899543378995,0.4748858447488584,0.02968036529680365,0.0,0.07077625570776255,0.0045662100456621,0.0,0.0,0.0,0.0091324200913242,0.0,0.0182648401826484,0.0045662100456621,0.0,0.0,0.01598173515981735,0.00684931506849315,0.0,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0410958904109589,0.0
RUFFLE,0.005263157894736842,0.0,0.010526315789473684,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.2736842105263158,0.0,0.19473684210526315,0.005263157894736842,0.021052631578947368,1.0,1.0,0.30526315789473685,0.010526315789473684,0.0,0.015789473684210527,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.0
LAMELLIPODIUM,0.004807692307692308,0.0,0.004807692307692308,0.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.30288461538461536,0.004807692307692308,0.21153846153846154,0.014423076923076924,0.028846153846153848,1.0,0.27884615384615385,1.0,0.014423076923076924,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.03365384615384615,0.014423076923076924,0.0,0.019230769230769232,0.004807692307692308,0.0,0.0,0.0,0.03365384615384615,0.0
