"statistic","source","condition","score","p_value"
"ora","NR2F1","HVL_CRC29","0.592214945926949565","0.25573198760192855649719945176912005990743637085"
"ora","NR2F2","HVL_CRC29","0.015543727860403500","0.96484215973683395972670950868632644414901733398"
"ora","NR2F6","HVL_CRC29","0.331980348650021184","0.46560716126075790688432221031689550727605819702"
"ora","NR3C1","HVL_CRC29","1.132966756746475845","0.07362634529330741584018937828659545630216598511"
"ora","NR4A1","HVL_CRC29","1.374022494764824964","0.04226467222424645092671013912877242546528577805"
"ora","NR5A1","HVL_CRC29","0.124876553899104251","0.75010739342259125095324634457938373088836669922"
"ora","NR5A2","HVL_CRC29","0.088194660092446225","0.81621644365722845204658142392872832715511322021"
"ora","NRF1","HVL_CRC29","0.225677903913234335","0.59473308104858191303065950705786235630512237549"
"ora","ONECUT1","HVL_CRC29","0.072291108247795180","0.84665970661290512744301395287038758397102355957"
"ora","OTX2","HVL_CRC29","0.675304356211023693","0.21120084127560420639291294264694442972540855408"
"ora","PAX5","HVL_CRC29","1.143266117382451652","0.07190082649849457996360513334366260096430778503"
"ora","PAX6","HVL_CRC29","0.040546082255970388","0.91086479680865717334370401658816263079643249512"
"ora","PAX8","HVL_CRC29","0.997090079505267068","0.10067228370469134823839141290591214783489704132"
"ora","PBX2","HVL_CRC29","0.611216980423095690","0.24478399565509881274927295180532382801175117493"
"ora","PBX3","HVL_CRC29","0.795495275986621175","0.16014180675830208544496713329863268882036209106"
"ora","PDX1","HVL_CRC29","1.040933156902388079","0.09100533299091606576070034861913882195949554443"
"ora","PGR","HVL_CRC29","0.236644422890335826","0.57990329593612521819068206241354346275329589844"
"ora","PKNOX1","HVL_CRC29","0.384936870015895771","0.41215742683702216719865418781409971415996551514"
"ora","POU2F1","HVL_CRC29","0.069541481022269175","0.85203712637337369883994142583105713129043579102"
"ora","POU2F2","HVL_CRC29","0.000000000000000000","1.00000000000000000000000000000000000000000000000"
"ora","POU4F2","HVL_CRC29","0.140600124706851570","0.72343559811742097487297087354818359017372131348"
"ora","POU5F1","HVL_CRC29","0.239690261391256709","0.57585048719917353299280193823506124317646026611"
"ora","PPARA","HVL_CRC29","1.463755520119300657","0.03437514033900676557742315253562992438673973083"
"ora","PPARG","HVL_CRC29","0.599573192992045367","0.25143562250554740700181355350650846958160400391"
"ora","PRDM1","HVL_CRC29","1.059175971235544189","0.08726177218676491043058973673396394588053226471"
"ora","PRDM14","HVL_CRC29","0.325306821983357974","0.47281710334917120830411363385792355984449386597"
"ora","PROX1","HVL_CRC29","0.176849311896900424","0.66550402752961779206941628217464312911033630371"
"ora","RARA","HVL_CRC29","1.703199186809238652","0.01980618417559248251036407850733667146414518356"
"ora","RBPJ","HVL_CRC29","0.646095426318250787","0.22589393652240419285703865170944482088088989258"
"ora","REL","HVL_CRC29","0.164891425700860489","0.68408264763627268933987579657696187496185302734"
"ora","RELA","HVL_CRC29","2.046497497651452502","0.00898467769410674424457319275916233891621232033"
"ora","RELB","HVL_CRC29","0.416338595465543193","0.38340820669334796377825114177539944648742675781"
"ora","REST","HVL_CRC29","0.880891166553488758","0.13155544665630697354075095972802955657243728638"
"ora","RFX1","HVL_CRC29","1.529887875063639324","0.02951971259987433079952090508868423057720065117"
"ora","RFX2","HVL_CRC29","1.764461450029674250","0.01720040013103613096845379004662390798330307007"
"ora","RFX5","HVL_CRC29","0.920164243325350850","0.12018098431299373274327990657184273004531860352"
"ora","RUNX1","HVL_CRC29","1.284026061688736675","0.05199647928969126225995367462928697932511568069"
"ora","RUNX2","HVL_CRC29","1.394192102216557982","0.04034668872969336683720342762171640060842037201"
"ora","RUNX3","HVL_CRC29","0.049323516421924340","0.89264028674971018784134457746404223144054412842"
"ora","RXRA","HVL_CRC29","0.201178143403758919","0.62924801845019207036102670826949179172515869141"
"ora","SIX2","HVL_CRC29","0.174372049966968062","0.66931098061703020452029022635542787611484527588"
"ora","SIX5","HVL_CRC29","0.198189486778226287","0.63359320824878839761851168077555485069751739502"
"ora","SMAD1","HVL_CRC29","0.830751853394220308","0.14765499614555677165839142617187462747097015381"
"ora","SMAD3","HVL_CRC29","3.890995350194007329","0.00012853004210339717553260308058327154867583886"
"ora","SMAD4","HVL_CRC29","0.793458339452318695","0.16089467118468112061258068479219218716025352478"
"ora","SMAD5","HVL_CRC29","0.997090079505267068","0.10067228370469134823839141290591214783489704132"
"ora","SNAI2","HVL_CRC29","0.489712765653984750","0.32380774658505567797917024108755867928266525269"
"ora","SNAPC4","HVL_CRC29","1.255157250369427047","0.05557030105830730593030608588378527201712131500"
"ora","SOX10","HVL_CRC29","0.106741639311104169","0.78209293133008239706782660505268722772598266602"
"ora","SOX11","HVL_CRC29","0.125254623931084025","0.74945468026484385326568826712900772690773010254"
"ora","SOX13","HVL_CRC29","1.374022494764824964","0.04226467222424645092671013912877242546528577805"
"ora","SOX2","HVL_CRC29","0.632439799414842296","0.23310962223831202533297357604169519618153572083"
"ora","SOX6","HVL_CRC29","0.185262413544481780","0.65273603109272904099213974404847249388694763184"
"ora","SOX9","HVL_CRC29","0.780543129351975340","0.16575127227393471329719432105775922536849975586"
"ora","SP1","HVL_CRC29","2.535055237053644106","0.00291705597584285443446550090129676391370594501"
"ora","SP2","HVL_CRC29","0.278342068853692060","0.52681475619989859282554789388086646795272827148"
"ora","SP3","HVL_CRC29","1.267957117589961102","0.05395638966388885404690256564208539202809333801"
"ora","SP4","HVL_CRC29","0.503097068646320422","0.31398068409281676416355821856996044516563415527"
"ora","SPI1","HVL_CRC29","0.044820257611671778","0.90194435001137751584110446856357157230377197266"
"ora","SPIB","HVL_CRC29","0.849241697689107289","0.14150060681711063015342233484261669218540191650"
"ora","SREBF1","HVL_CRC29","1.518826019607161903","0.03028126266641224459408299196638836292549967766"
"ora","SREBF2","HVL_CRC29","0.920164243325350850","0.12018098431299373274327990657184273004531860352"
"ora","SRF","HVL_CRC29","0.279113577590418493","0.52587971925472420942071494209812954068183898926"
"ora","STAT1","HVL_CRC29","2.763528259945341237","0.00172373992201967172338550327026496233884245157"
"ora","STAT2","HVL_CRC29","3.478984551079236098","0.00033190626406314356058521730652444148290669546"
"ora","STAT3","HVL_CRC29","0.906615864648050551","0.12398927922093205822307027119677513837814331055"
"ora","STAT4","HVL_CRC29","1.132966756746475845","0.07362634529330741584018937828659545630216598511"
"ora","STAT5A","HVL_CRC29","2.321010604946688538","0.00477517613111977379247718999977223575115203857"
"ora","STAT5B","HVL_CRC29","1.389526360634136148","0.04078248070316869283713501204147178214043378830"
"ora","STAT6","HVL_CRC29","0.073526002911228142","0.84425569150154200492863765248330309987068176270"
"ora","TAL1","HVL_CRC29","0.078098776411252319","0.83541298937923258449700369965285062789916992188"
"ora","TBP","HVL_CRC29","0.275550467515286834","0.53021197536974606911996943381382152438163757324"
"ora","TBX21","HVL_CRC29","0.829363311396774994","0.14812783952337907344976031254191184416413307190"
"ora","TCF12","HVL_CRC29","1.525543310163467892","0.02981650187029585494236094689313176786527037621"
"ora","TCF3","HVL_CRC29","0.318347555501403146","0.48045469813703978179120213098940439522266387939"
"ora","TCF4","HVL_CRC29","0.807413834043085754","0.15580671316165617401594545299303717911243438721"
"ora","TCF7","HVL_CRC29","0.849241697689107289","0.14150060681711063015342233484261669218540191650"
"ora","TCF7L2","HVL_CRC29","1.904238686220279142","0.01246698146440130237910803856493657804094254971"
"ora","TEAD1","HVL_CRC29","0.600915293163863717","0.25065981040272800051127433107467368245124816895"
"ora","TEAD2","HVL_CRC29","0.910906017553511860","0.12277048809177851240725942716380814090371131897"
"ora","TEAD4","HVL_CRC29","0.326149893472556962","0.47190014037058769513777178872260265052318572998"
"ora","TFAP2A","HVL_CRC29","2.626232550730603688","0.00236465316268695026347135268451893352903425694"
"ora","TFAP2C","HVL_CRC29","0.318347555501403146","0.48045469813703978179120213098940439522266387939"
"ora","TFAP4","HVL_CRC29","0.892629339243045550","0.12804736939681715668370998173486441373825073242"
"ora","TFDP1","HVL_CRC29","6.034694213655320993","0.00000092322123758545833875654475220162709092619"
"ora","TGIF2","HVL_CRC29","0.390495337277825483","0.40691590256287840654536580586864147335290908813"
"ora","THAP1","HVL_CRC29","1.430502046873973976","0.03711059804286511581983276641949487384408712387"
"ora","THAP11","HVL_CRC29","0.623886438306832658","0.23774618770697927838675411749136401340365409851"
"ora","TP53","HVL_CRC29","7.873478215533189051","0.00000001338202338487412519316544482926231718345"
"ora","TP63","HVL_CRC29","0.390495337277825483","0.40691590256287840654536580586864147335290908813"
"ora","TP73","HVL_CRC29","0.559814338709714754","0.27554063903541675673025679316197056323289871216"
"ora","TWIST1","HVL_CRC29","0.318347555501403146","0.48045469813703978179120213098940439522266387939"
"ora","USF1","HVL_CRC29","2.512896150787025995","0.00306975594574107699813447780456954205874353647"
"ora","USF2","HVL_CRC29","3.084982277016303787","0.00082227620526733160091770180599723971681669354"
"ora","VDR","HVL_CRC29","1.881811132064192149","0.01312770678510285192464035475268246955238282681"
"ora","WT1","HVL_CRC29","1.557107700103527170","0.02772632438005326674379524831692833686247467995"
"ora","XBP1","HVL_CRC29","0.278842035207865713","0.52620862807015456041881407145410776138305664062"
"ora","YY1","HVL_CRC29","0.224535383107561104","0.59629973575561667775701835125801153481006622314"
"ora","ZBED1","HVL_CRC29","2.760860462674854077","0.00173436115252381195875330810451941943028941751"
"ora","ZBTB11","HVL_CRC29","0.007314029652539233","0.98329984419452776123193871171679347753524780273"
"ora","ZBTB33","HVL_CRC29","0.201178143403758919","0.62924801845019207036102670826949179172515869141"
"ora","ZBTB7A","HVL_CRC29","1.352984073434977619","0.04436249123662292653813565834752807859331369400"
"ora","ZEB1","HVL_CRC29","0.124876553899104251","0.75010739342259125095324634457938373088836669922"
"ora","ZEB2","HVL_CRC29","0.255167310588499507","0.55569013814395940009660534997237846255302429199"
"ora","ZFX","HVL_CRC29","0.236775259030000573","0.57972861980223233668851889888173900544643402100"
"ora","ZKSCAN1","HVL_CRC29","0.790907092402413525","0.16184262267301707804989518990623764693737030029"
"ora","ZNF143","HVL_CRC29","0.622882226923889504","0.23829656003840121725190215329348575323820114136"
"ora","ZNF217","HVL_CRC29","0.548561101960134967","0.28277362418841944791125797564745880663394927979"
"ora","ZNF24","HVL_CRC29","0.057178889876541392","0.87663965085921824460513107624137774109840393066"
"ora","ZNF263","HVL_CRC29","4.195428081983717306","0.00006376346629044815389909112157695858513761777"
"ora","ZNF274","HVL_CRC29","0.078098776411252319","0.83541298937923258449700369965285062789916992188"
"ora","ZNF384","HVL_CRC29","0.489712765653984750","0.32380774658505567797917024108755867928266525269"
"ora","ZNF592","HVL_CRC29","0.000000000000000000","1.00000000000000000000000000000000000000000000000"
"ora","ZNF639","HVL_CRC29","0.013884437008223225","0.96853554310617828715379573623067699372768402100"
"ora","ZNF740","HVL_CRC29","0.098974809214572912","0.79620553212551214983250247314572334289550781250"
