"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=3; score=18370; p=7.7682e-103; adjP=5.5543e-100"
"2","E2F1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","4","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=4; score=0.001245","rank=4; score=229.78; p=7.0575e-21; adjP=1.0092e-18"
"3","MYBL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","5","6","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); ENCODE--ChIP-seq(rank=10); GTEx--Coexpression(rank=12)","5","rank=5; score=0.001425","rank=16; score=172.83; p=4.6429e-18; adjP=5.5328e-16"
"4","E2F4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=33; score=0.0101","rank=1; score=5524.7; p=2.123e-95; adjP=2.1018e-93"
"5","CTCF","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.5","19","6","ARCHS4--Coexpression(rank=10); ReMap--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=43); Literature--ChIP-seq(rank=96); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=532)","19","rank=19; score=0.006143","rank=20; score=49.142; p=0.0010166; adjP=0.020333"
"6","TFDP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.5","10","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=11); Enrichr--Queries(rank=19)","10","rank=10; score=0.002489","rank=41; score=96.769; p=0.006863; adjP=0.064769"
"7","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.5","8","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=45; score=0.01351","rank=8; score=85.44; p=1.4011e-06; adjP=5.2893e-05"
"8","IRF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","15","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); GTEx--Coexpression(rank=218); Enrichr--Queries(rank=448); ARCHS4--Coexpression(rank=694)","44","rank=44; score=0.01347","rank=15; score=290.2; p=1.5886e-26; adjP=1.2836e-24"
"9","E2F3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.0","6","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=56; score=0.01658","rank=6; score=725.08; p=3.9105e-07; adjP=1.9683e-05"
"10","NFYB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.0","7","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=31); Enrichr--Queries(rank=74); GTEx--Coexpression(rank=552)","65","rank=65; score=0.01904","rank=7; score=295.47; p=1.1294e-29; adjP=3.0036e-28"
