Pathway,RESPIRATORY CHAIN COMPLEX,NADH DEHYDROGENASE COMPLEX,OXIDOREDUCTASE COMPLEX,CYTOCHROME COMPLEX,RESPIRATORY CHAIN COMPLEX IV,IMMUNOGLOBULIN COMPLEX,BLOOD MICROPARTICLE,PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,PROTON TRANSPORTING ATP SYNTHASE COMPLEX,CHROMOSOMAL REGION,CHROMOSOME TELOMERIC REGION,NUCLEAR CHROMOSOME,SWI SNF SUPERFAMILY TYPE COMPLEX,NUCLEAR RIBONUCLEOPROTEIN GRANULE,NUCLEAR SPECK,SPLICEOSOMAL COMPLEX,APICAL PLASMA MEMBRANE,BRUSH BORDER MEMBRANE,"ATPASE DEPENDENT TRANSMEMBRANE TRANSPORT
COMPLEX",PROTON TRANSPORTING V TYPE ATPASE COMPLEX,"PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX
PROTON TRANSPORTING DOMAIN",SPINDLE,SPINDLE POLE,MITOTIC SPINDLE,MICROTUBULE,CONDENSED CHROMOSOME,CONDENSED CHROMOSOME CENTROMERIC REGION,CHROMOSOME CENTROMERIC REGION,CENTRIOLE,CILIARY BASAL BODY,CENTRIOLAR SATELLITE,MICROBODY,MICROBODY LUMEN,AZUROPHIL GRANULE,LATE ENDOSOME,LATE ENDOSOME MEMBRANE,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,COLLAGEN TRIMER,PRERIBOSOME,CYTOSOLIC RIBOSOME
RESPIRATORY CHAIN COMPLEX,1.0,0.41228070175438597,0.4473684210526316,0.34210526315789475,0.21929824561403508,0.0,0.0,0.19298245614035087,0.19298245614035087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.017543859649122806,0.0,0.0,0.0
NADH DEHYDROGENASE COMPLEX,1.0,1.0,1.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.0,0.0
OXIDOREDUCTASE COMPLEX,0.4396551724137931,0.4051724137931034,1.0,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.008620689655172414,0.017241379310344827,0.0,0.0,0.02586206896551724,0.0,0.0,0.0
CYTOCHROME COMPLEX,0.975,0.025,0.025,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0
RESPIRATORY CHAIN COMPLEX IV,1.0,0.04,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNOGLOBULIN COMPLEX,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.005747126436781609,0.0,0.0,0.0,0.0,0.0
BLOOD MICROPARTICLE,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.013793103448275862,0.0,0.006896551724137931,0.006896551724137931,0.013793103448275862,0.013793103448275862,0.006896551724137931,0.027586206896551724,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.013793103448275862,0.006896551724137931,0.013793103448275862,0.020689655172413793,0.0,0.0,0.0,0.0,0.034482758620689655,0.013793103448275862,0.0,0.0,0.027586206896551724,0.0,0.0
PROTON TRANSPORTING TWO SECTOR ATPASE COMPLEX,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43137254901960786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0196078431372549,0.5490196078431373,0.5490196078431373,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,0.0
PROTON TRANSPORTING ATP SYNTHASE COMPLEX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHROMOSOMAL REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.00477326968973747,0.0,0.0,1.0,0.4224343675417661,0.1909307875894988,0.07159904534606205,0.0883054892601432,0.06443914081145585,0.016706443914081145,0.007159904534606206,0.0,0.0,0.0,0.0,0.2529832935560859,0.11694510739856802,0.081145584725537,0.13842482100238662,0.5441527446300716,0.45823389021479716,0.6515513126491647,0.016706443914081145,0.016706443914081145,0.011933174224343675,0.002386634844868735,0.002386634844868735,0.00477326968973747,0.03579952267303103,0.028639618138424822,0.0,0.0,0.00954653937947494,0.0
CHROMOSOME TELOMERIC REGION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24858757062146894,0.03389830508474576,0.13559322033898305,0.096045197740113,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.022598870056497175,0.02824858757062147,0.011299435028248588,0.192090395480226,0.05649717514124294,0.1751412429378531,0.005649717514124294,0.0,0.0,0.005649717514124294,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
NUCLEAR CHROMOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.0,0.0,0.32786885245901637,0.18032786885245902,1.0,0.1680327868852459,0.08196721311475409,0.0778688524590164,0.02459016393442623,0.004098360655737705,0.0,0.0,0.0,0.0,0.0860655737704918,0.04918032786885246,0.028688524590163935,0.045081967213114756,0.42213114754098363,0.10655737704918032,0.1680327868852459,0.01639344262295082,0.020491803278688523,0.00819672131147541,0.0,0.0,0.0,0.004098360655737705,0.004098360655737705,0.0,0.0,0.00819672131147541,0.0
SWI SNF SUPERFAMILY TYPE COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.30927835051546393,0.061855670103092786,0.422680412371134,1.0,0.09278350515463918,0.08247422680412371,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.05154639175257732,0.020618556701030927,0.010309278350515464,0.041237113402061855,0.20618556701030927,0.18556701030927836,0.24742268041237114,0.0,0.020618556701030927,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.0,0.0,0.0,0.0,0.0,0.0,0.004158004158004158,0.0,0.0,0.07692307692307693,0.0498960498960499,0.04158004158004158,0.018711018711018712,1.0,0.841995841995842,0.16216216216216217,0.002079002079002079,0.0,0.0,0.0,0.0,0.031185031185031187,0.02286902286902287,0.010395010395010396,0.008316008316008316,0.033264033264033266,0.02079002079002079,0.033264033264033266,0.010395010395010396,0.02079002079002079,0.006237006237006237,0.0,0.0,0.002079002079002079,0.002079002079002079,0.0,0.002079002079002079,0.0,0.006237006237006237,0.004158004158004158
NUCLEAR SPECK,0.0,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0,0.0,0.06666666666666667,0.04197530864197531,0.04691358024691358,0.019753086419753086,1.0,1.0,0.18271604938271604,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0345679012345679,0.024691358024691357,0.009876543209876543,0.009876543209876543,0.03209876543209877,0.019753086419753086,0.03209876543209877,0.012345679012345678,0.024691358024691357,0.007407407407407408,0.0,0.0,0.0024691358024691358,0.0024691358024691358,0.0,0.0024691358024691358,0.0,0.0,0.0049382716049382715
SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0319634703196347,0.0182648401826484,0.0273972602739726,0.0045662100456621,0.3561643835616438,0.3378995433789954,1.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0091324200913242,0.0091324200913242,0.0045662100456621,0.0091324200913242,0.0091324200913242,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0
APICAL PLASMA MEMBRANE,0.0,0.0,0.007125890736342043,0.0,0.0,0.0,0.009501187648456057,0.021377672209026127,0.0,0.007125890736342043,0.0,0.0023752969121140144,0.0,0.0023752969121140144,0.0023752969121140144,0.0,1.0,0.14014251781472684,0.052256532066508314,0.021377672209026127,0.009501187648456057,0.011876484560570071,0.007125890736342043,0.004750593824228029,0.023752969121140142,0.004750593824228029,0.004750593824228029,0.007125890736342043,0.0,0.011876484560570071,0.009501187648456057,0.0023752969121140144,0.0,0.0166270783847981,0.04513064133016627,0.028503562945368172,0.0,0.0023752969121140144,0.0,0.0
BRUSH BORDER MEMBRANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0
